"Site","Site Name","Ecosystem","Experiment","Stock/Flux","Treatment","Trend","Slope","P-value","R-squared","CV","Mean Ratio","N Timepoints","Year Span","Early LRR","Full LRR","LRR Change","Detected","Years to Detect"
"KNZ","Konza Prairie","Grassland","Fertilization","Stock","u u n+p","variable",-1e-04,0.2813,0.0341,0.6751,1.7688,36,35,0.2703,0.3522,0.0818,TRUE,4
"KNZ","Konza Prairie","Grassland","Fertilization","Stock","u u p","increasing",1e-04,0.0473,0.1108,1.052,1.5789,36,35,0.0516,0.084,0.0324,TRUE,28
"LUQ","Luquillo","Forest","Vegetation Removal","Flux","No trim + debris","stable",0,0.7037,0.0314,0.0707,1.0923,7,6,0.0815,0.0862,0.0047,FALSE,NA
"LUQ","Luquillo","Forest","Vegetation Removal","Flux","Trim & clear","stable",0,0.7058,0.031,0.0908,0.9499,7,6,-0.0655,-0.0549,0.0106,TRUE,3.0007
"LUQ","Luquillo","Forest","Vegetation Removal","Flux","Trim + debris","stable",0,0.821,0.0112,0.0785,0.9735,7,6,-0.0229,-0.0295,-0.0066,TRUE,2.0014
"MCM","McMurdo Dry Valleys","Tundra","Nutrient Addition","Flux","CN","variable",3e-04,0.318,0.3224,0.3672,1.4345,5,7,0.0423,0.1605,0.1182,FALSE,NA
"MCM","McMurdo Dry Valleys","Tundra","Nutrient Addition","Flux","CP","variable",2e-04,0.1738,0.5125,0.3394,0.9881,5,7,-0.2998,-0.226,0.0738,TRUE,4.9993
"MCM","McMurdo Dry Valleys","Tundra","Nutrient Addition","Flux","N","stable",1e-04,0.4915,0.1692,0.269,0.8806,5,7,-0.3065,-0.3102,-0.0038,FALSE,NA
"MCM","McMurdo Dry Valleys","Tundra","Nutrient Addition","Flux","P","stable",1e-04,0.2848,0.36,0.1113,0.866,5,7,-0.2978,-0.3034,-0.0057,TRUE,4.9993
"NTL","North Temperate Lakes","Freshwater","Fertilization","Proxy","added","variable",-6e-04,0.602,0.1584,0.3554,3.9423,4,6,1.4546,1.3257,-0.1289,FALSE,NA
"NWT","Niwot Ridge","Tundra","Fertilization","Stock","N","stable",0,0.2007,0.1442,0.142,1.2927,13,13,0.1113,0.2475,0.1363,TRUE,8
"PIE","Plum Island Ecosystems","Coastal","Fertilization","Stock","Enriched","stable",0,0.9969,0,0.186,1.1365,17,16,0.0777,0.1146,0.0369,FALSE,NA
"SBC","Santa Barbara Coastal","Coastal","Vegetation Removal","Stock","ANNUAL","stable",0,0.4986,0.0359,0.1821,0.7218,15,14,-0.3581,-0.3414,0.0167,FALSE,NA
"SBC","Santa Barbara Coastal","Coastal","Vegetation Removal","Stock","CONTINUAL","variable",1e-04,0.6748,0.0152,1.0351,1.0399,14,13,0.0626,0.1008,0.0382,TRUE,4
"SEV","Sevilleta","Grassland","Fertilization","Stock","F","stable",0,0.2999,0.0595,0.2784,1.3302,20,19,0.2472,0.2468,-4e-04,FALSE,NA
"VCR","Virginia Coast Reserve","Coastal","Floral Manipulation","Stock","Inside Juncus","increasing",6e-04,0.0037,0.4627,0.8394,2.0876,16,19,-0.8759,0.3502,1.2261,TRUE,5.9986
