"RECYEAR","PLOT","TREATMENT","BIOMASS","N_CLIPS"
1987,17,"u u n+p",40.405,2
1987,18,"u u n",44.12,2
1987,19,"u u p",19.82,2
1987,20,"u u c",20.145,2
1987,21,"u m n+p",93.21,3
1987,22,"u m n",57.235,3
1987,23,"u m p",43.155,3
1987,24,"u m c",50.29,3
1987,25,"b u c",60.81,2
1987,26,"b u n+p",49.83,2
1987,27,"b u p",64.54,2
1987,28,"b u n",58.94,2
1987,29,"b m c",77.95,3
1987,30,"b m n+p",69.945,3
1987,31,"b m p",52.005,3
1987,32,"b m n",100.705,3
1987,33,"u m n+p",106.465,3
1987,34,"u m c",60.11,3
1987,35,"u m p",53.985,3
1987,36,"u m n",131.665,3
1987,37,"u u n+p",30.125,2
1987,38,"u u c",29.905,2
1987,39,"u u p",55.18,2
1987,40,"u u n",30.24,2
1987,41,"b u n",33.225,2
1987,42,"b u c",75.095,2
1987,43,"b u p",34.335,2
1987,44,"b u n+p",96.98,2
1987,45,"b m n",97.05,3
1987,46,"b m c",47.205,3
1987,47,"b m p",51.675,3
1987,48,"b m n+p",102.53,3
1987,49,"b m n+p",78.93,3
1987,50,"b m n",86.7,3
1987,51,"b m p",62.075,3
1987,52,"b m c",48.18,3
1987,53,"b u n+p",104.65,2
1987,54,"b u n",81.445,2
1987,55,"b u p",43.08,2
1987,56,"b u c",47.14,2
1987,57,"u u c",24.285,2
1987,58,"u u n+p",14.68,2
1987,59,"u u p",37.52,2
1987,60,"u u n",43.81,2
1987,61,"u m c",55.43,3
1987,62,"u m n+p",95.575,3
1987,63,"u m p",46.275,3
1987,64,"u m n",75.545,3
1988,1,"u u n",36.515,1
1988,2,"u u c",26.4,1
1988,3,"u u p",40.74,1
1988,4,"u u n+p",29.185,1
1988,5,"u m n",24.295,1
1988,6,"u m c",14.29,1
1988,7,"u m p",28.605,1
1988,8,"u m n+p",44.07,1
1988,9,"b m c",11.24,1
1988,10,"b m p",28.89,1
1988,11,"b m n+p",24.275,1
1988,12,"b m n",61.385,1
1988,13,"b u c",17.595,1
1988,14,"b u p",14.37,1
1988,15,"b u n+p",51.97,1
1988,16,"b u n",44.15,1
1988,17,"u u n+p",54.81,1
1988,18,"u u n",51.56,1
1988,19,"u u p",34.195,1
1988,20,"u u c",32.54,1
1988,21,"u m n+p",58.48,1
1988,22,"u m n",49.985,1
1988,23,"u m p",38.485,1
1988,24,"u m c",37.945,1
1988,25,"b u c",31.075,1
1988,26,"b u n+p",64.665,1
1988,27,"b u p",22.125,1
1988,28,"b u n",61.09,1
1988,29,"b m c",22.785,1
1988,30,"b m n+p",38.435,1
1988,31,"b m p",33.26,1
1988,32,"b m n",41.385,1
1988,33,"u m n+p",53.355,1
1988,34,"u m c",35.82,1
1988,35,"u m p",53.115,1
1988,36,"u m n",82.4,1
1988,37,"u u n+p",63.56,1
1988,38,"u u c",60.895,1
1988,39,"u u p",53.39,1
1988,40,"u u n",62.625,1
1988,41,"b u n",70.055,1
1988,42,"b u c",43.425,1
1988,43,"b u p",29.525,1
1988,44,"b u n+p",64.475,1
1988,45,"b m n",47.915,1
1988,46,"b m c",26.375,1
1988,47,"b m p",26.03,1
1988,48,"b m n+p",70.595,1
1988,49,"b m n+p",35.455,1
1988,50,"b m n",41.57,1
1988,51,"b m p",28.08,1
1988,52,"b m c",18.69,1
1988,53,"b u n+p",78.675,1
1988,54,"b u n",73.985,1
1988,55,"b u p",53.61,1
1988,56,"b u c",55.395,1
1988,57,"u u c",56.675,1
1988,58,"u u n+p",57.795,1
1988,59,"u u p",54.01,1
1988,60,"u u n",70.515,1
1988,61,"u m c",22.77,1
1988,62,"u m n+p",42.845,1
1988,63,"u m p",26.27,1
1988,64,"u m n",43.32,1
1989,1,"u u n",8.93,2
1989,2,"u u c",9.31,2
1989,3,"u u p",17.48,2
1989,4,"u u n+p",24.58,2
1989,5,"u m n",23.47,2
1989,6,"u m c",22.33,2
1989,7,"u m p",26.9,2
1989,8,"u m n+p",43.76,2
1989,9,"b m c",10.42,2
1989,10,"b m p",6.51,2
1989,11,"b m n+p",20.79,2
1989,12,"b m n",29.46,2
1989,13,"b u c",6.34,2
1989,14,"b u p",7.98,2
1989,15,"b u n+p",18.75,2
1989,16,"b u n",23.53,2
1989,17,"u u n+p",16.63,2
1989,18,"u u n",16.53,2
1989,19,"u u p",13.76,2
1989,20,"u u c",12.5,2
1989,21,"u m n+p",33.52,2
1989,22,"u m n",42.35,2
1989,23,"u m p",28.5,2
1989,24,"u m c",23.63,2
1989,25,"b u c",18.85,2
1989,26,"b u n+p",30.37,2
1989,27,"b u p",16.6,2
1989,28,"b u n",14.4,2
1989,29,"b m c",18.26,2
1989,30,"b m n+p",39.11,2
1989,31,"b m p",14.63,2
1989,32,"b m n",23.68,2
1989,33,"u m n+p",55.75,3
1989,34,"u m c",46.83,3
1989,35,"u m p",43.58,3
1989,36,"u m n",200.31,3
1989,37,"u u n+p",55.34,3
1989,38,"u u c",29.25,3
1989,39,"u u p",12.44,3
1989,40,"u u n",11.89,3
1989,41,"b u n",28.11,3
1989,42,"b u c",67.26,3
1989,43,"b u p",23.1,3
1989,44,"b u n+p",51.08,2
1989,45,"b m n",62.27,3
1989,46,"b m c",36.54,3
1989,47,"b m p",29.97,3
1989,48,"b m n+p",120.15,3
1989,49,"b m n+p",79.52,3
1989,50,"b m n",66.41,3
1989,51,"b m p",40.05,3
1989,52,"b m c",38.62,3
1989,53,"b u n+p",77.48,3
1989,54,"b u n",30.1,3
1989,55,"b u p",26.35,3
1989,56,"b u c",29.55,3
1989,57,"u u c",33.74,3
1989,58,"u u n+p",63.46,3
1989,59,"u u p",30.12,3
1989,60,"u u n",31.69,3
1989,61,"u m c",27.71,3
1989,62,"u m n+p",83.87,3
1989,63,"u m p",58.99,3
1989,64,"u m n",61.86,3
1990,1,"u u n",35.52,1
1990,2,"u u c",25.28,1
1990,3,"u u p",28.41,1
1990,4,"u u n+p",122.61,1
1990,5,"u m n",42.49,2
1990,6,"u m c",29.38,2
1990,7,"u m p",51.85,2
1990,8,"u m n+p",72.32,2
1990,9,"b m c",63.53,2
1990,10,"b m p",37.16,2
1990,11,"b m n+p",84.47,2
1990,12,"b m n",58.14,2
1990,13,"b u c",43.15,1
1990,14,"b u p",58.76,1
1990,15,"b u n+p",79.1,1
1990,16,"b u n",57.49,1
1990,17,"u u n+p",36.24,1
1990,18,"u u n",61.77,1
1990,19,"u u p",33.25,1
1990,20,"u u c",17.3,1
1990,21,"u m n+p",63.92,2
1990,22,"u m n",59.13,2
1990,23,"u m p",29.42,2
1990,24,"u m c",46.94,2
1990,25,"b u c",57.03,1
1990,26,"b u n+p",127.45,1
1990,27,"b u p",67.1,1
1990,28,"b u n",117.56,1
1990,29,"b m c",48.54,2
1990,30,"b m n+p",103.84,2
1990,31,"b m p",33.16,2
1990,32,"b m n",109.28,2
1990,33,"u m n+p",79.32,2
1990,34,"u m c",54.8,2
1990,35,"u m p",47.38,2
1990,36,"u m n",108.76,2
1990,37,"u u n+p",129.7,1
1990,38,"u u c",44.66,1
1990,39,"u u p",48.48,1
1990,40,"u u n",74.93,1
1990,41,"b u n",113.07,1
1990,42,"b u c",36.21,1
1990,43,"b u p",56.01,1
1990,44,"b u n+p",93.18,1
1990,45,"b m n",88.94,2
1990,46,"b m c",33.49,2
1990,47,"b m p",33.12,2
1990,48,"b m n+p",180.48,2
1990,49,"b m n+p",81.07,2
1990,50,"b m n",77.68,2
1990,51,"b m p",40.52,2
1990,52,"b m c",38.86,2
1990,53,"b u n+p",111.94,1
1990,54,"b u n",58.37,1
1990,55,"b u p",85.12,1
1990,56,"b u c",81.18,1
1990,57,"u u c",40.74,1
1990,58,"u u n+p",35.96,1
1990,59,"u u p",22.31,1
1990,60,"u u n",47.78,1
1990,61,"u m c",35.96,2
1990,62,"u m n+p",122.07,2
1990,63,"u m p",46.19,2
1990,64,"u m n",80.52,2
1991,1,"u u n",28.6,1
1991,2,"u u c",13.4,1
1991,3,"u u p",31.01,1
1991,4,"u u n+p",38.48,1
1991,5,"u m n",28.06,2
1991,6,"u m c",36.04,2
1991,7,"u m p",67.48,2
1991,8,"u m n+p",95.15,2
1991,9,"b m c",30.13,2
1991,10,"b m p",27.18,2
1991,11,"b m n+p",78.65,2
1991,12,"b m n",52.49,2
1991,13,"b u c",27.7,1
1991,14,"b u p",31.49,1
1991,15,"b u n+p",133.3,1
1991,16,"b u n",40.29,1
1991,17,"u u n+p",34.36,1
1991,18,"u u n",37.73,1
1991,19,"u u p",35.91,1
1991,20,"u u c",22.98,1
1991,21,"u m n+p",82.19,2
1991,22,"u m n",63.39,2
1991,23,"u m p",56.07,2
1991,24,"u m c",64.93,2
1991,25,"b u c",44.84,1
1991,26,"b u n+p",58.39,1
1991,27,"b u p",31.37,1
1991,28,"b u n",87.5,1
1991,29,"b m c",23.12,1
1991,29,"u m c",26.64,1
1991,30,"b m n+p",83.83,2
1991,31,"b m p",38.93,2
1991,32,"b m n",90.44,2
1991,33,"u m n+p",64.81,2
1991,34,"u m c",57.45,2
1991,35,"u m p",55.94,2
1991,36,"u m n",131.76,2
1991,37,"u u n+p",66.22,1
1991,38,"u u c",22.81,1
1991,39,"u u p",14.16,1
1991,40,"u u n",99.51,1
1991,41,"b u n",132.39,1
1991,42,"b u c",87.09,1
1991,43,"b u p",33.69,1
1991,44,"b u n+p",127.07,1
1991,45,"b m n",76.69,2
1991,46,"b m c",45.08,2
1991,47,"b m p",42.32,2
1991,48,"b m n+p",141.89,2
1991,49,"b m n+p",78.81,2
1991,50,"b m n",85.68,2
1991,51,"b m p",45.87,2
1991,52,"b m c",39.02,2
1991,53,"b u n+p",130.83,1
1991,54,"b u n",111.89,1
1991,55,"b u p",59.58,1
1991,56,"b u c",52.22,1
1991,57,"u u c",62.2,1
1991,58,"u u n+p",59.07,1
1991,59,"u u p",51.67,1
1991,60,"u u n",62.52,1
1991,61,"u m c",56.36,2
1991,62,"u m n+p",90.85,2
1991,63,"u m p",51.63,2
1991,64,"u m n",123.53,2
1992,1,"u u n",44.3,1
1992,2,"u u c",27.8,1
1992,3,"u u p",42.6,1
1992,4,"u u n+p",66.05,1
1992,5,"u m n",61.25,2
1992,6,"u m c",45.65,2
1992,7,"u m p",71.25,2
1992,8,"u m n+p",93.555,2
1992,9,"b m c",51.4,2
1992,10,"b m p",38.2,2
1992,11,"b m n+p",110.075,2
1992,12,"b m n",113.25,2
1992,13,"b u c",36.95,1
1992,14,"b u p",66.75,1
1992,15,"b u n+p",133,1
1992,16,"b u n",140.55,1
1992,17,"u u n+p",49.25,1
1992,18,"u u n",58.75,1
1992,19,"u u p",23.5,1
1992,20,"u u c",38.7,1
1992,21,"u m n+p",66.05,2
1992,22,"u m n",113.4,2
1992,23,"u m p",59.8,2
1992,24,"u m c",55.15,2
1992,25,"b u c",64.75,1
1992,26,"b u n+p",107.4,1
1992,27,"b u p",51.15,1
1992,28,"b u n",128.25,1
1992,29,"b m c",56.35,2
1992,30,"b m n+p",107.55,2
1992,31,"b m p",65.8,2
1992,32,"b m n",127.7,2
1992,33,"u m n+p",110.15,2
1992,34,"u m c",62.7,2
1992,35,"u m p",82.415,2
1992,36,"u m n",142.4,2
1992,37,"u u n+p",59.9,1
1992,38,"u u c",33,1
1992,39,"u u p",37.2,1
1992,40,"u u n",102.6,1
1992,41,"b u n",134.7,1
1992,42,"b u c",50.9,1
1992,43,"b u p",35.815,1
1992,44,"b u n+p",93.55,1
1992,45,"b m n",79,2
1992,46,"b m c",51.1,2
1992,47,"b m p",50,2
1992,48,"b m n+p",99.8,2
1992,49,"b m n+p",79.45,2
1992,50,"b m n",83.45,2
1992,51,"b m p",39.7,2
1992,52,"b m c",47.7,2
1992,53,"b u n+p",139.35,1
1992,54,"b u n",178.6,1
1992,55,"b u p",48.9,1
1992,56,"b u c",54.5,1
1992,57,"u u c",23.6,1
1992,58,"u u n+p",32.95,1
1992,59,"u u p",18.6,1
1992,60,"u u n",67.95,1
1992,61,"u m c",62.15,2
1992,62,"u m n+p",100.28,2
1992,63,"u m p",47.7,2
1992,64,"u m n",103.7,2
1993,1,"u u n",30.125,1
1993,2,"u u c",42.16,1
1993,3,"u u p",42.665,1
1993,4,"u u n+p",71.695,1
1993,5,"u m n",47.75,2
1993,6,"u m c",32.17,2
1993,7,"u m p",60.65,2
1993,8,"u m n+p",60.575,2
1993,9,"b m c",52.045,2
1993,10,"b m p",38.365,2
1993,11,"b m n+p",95.895,2
1993,12,"b m n",80.145,2
1993,13,"b u c",30.12,1
1993,14,"b u p",36.8,1
1993,15,"b u n+p",160.63,1
1993,16,"b u n",153.465,1
1993,17,"u u n+p",24.845,1
1993,18,"u u n",45.87,1
1993,19,"u u p",22.525,1
1993,20,"u u c",38.44,1
1993,21,"u m n+p",64.735,2
1993,22,"u m n",59.925,2
1993,23,"u m p",49.085,2
1993,24,"u m c",43.13,2
1993,25,"b u c",48.245,1
1993,26,"b u n+p",115.96,1
1993,27,"b u p",74.17,1
1993,28,"b u n",163.425,1
1993,29,"b m c",53.65,2
1993,30,"b m n+p",86.21,2
1993,31,"b m p",57.675,2
1993,32,"b m n",113.395,2
1993,33,"u m n+p",82.91,2
1993,34,"u m c",46.02,2
1993,35,"u m p",52.235,2
1993,36,"u m n",104.405,2
1993,37,"u u n+p",94.88,1
1993,38,"u u c",33.095,1
1993,39,"u u p",71.78,1
1993,40,"u u n",28.5,1
1993,41,"b u n",185.28,1
1993,42,"b u c",39.05,1
1993,43,"b u p",60.315,1
1993,44,"b u n+p",165.735,1
1993,45,"b m n",91.61,2
1993,46,"b m c",42.99,2
1993,47,"b m p",52.94,2
1993,48,"b m n+p",127.665,2
1993,49,"b m n+p",92.66,2
1993,50,"b m n",84.06,2
1993,51,"b m p",50.28,2
1993,52,"b m c",58.395,2
1993,53,"b u n+p",308.92,1
1993,54,"b u n",113.58,1
1993,55,"b u p",51.93,1
1993,56,"b u c",71.435,1
1993,57,"u u c",43.12,1
1993,58,"u u n+p",59.415,1
1993,59,"u u p",34.42,1
1993,60,"u u n",54.645,1
1993,61,"u m c",39.375,2
1993,62,"u m n+p",69.12,2
1993,63,"u m p",40.79,2
1993,64,"u m n",70.755,2
1994,1,"u u n",30.17,1
1994,2,"u u c",23.855,1
1994,3,"u u p",46.375,1
1994,4,"u u n+p",54.75,1
1994,5,"u m n",48.15,2
1994,6,"u m c",43.04,3
1994,7,"u m p",55.285,2
1994,8,"u m n+p",69.275,2
1994,9,"b m c",39.6,2
1994,10,"b m p",20.375,2
1994,11,"b m n+p",55.46,2
1994,12,"b m n",79.055,2
1994,13,"b u c",31.045,1
1994,14,"b u p",38.305,1
1994,15,"b u n+p",94.78,1
1994,16,"b u n",64.085,1
1994,17,"u u n+p",103.44,1
1994,18,"u u n",142.225,1
1994,19,"u u p",55.11,1
1994,20,"u u c",24.915,1
1994,21,"u m n+p",57.235,2
1994,22,"u m n",55.73,2
1994,23,"u m p",38.55,2
1994,24,"u m c",38.16,2
1994,25,"b u c",34.1,1
1994,26,"b u n+p",134.89,1
1994,27,"b u p",41.48,1
1994,28,"b u n",82.735,1
1994,29,"b m c",39.77,2
1994,30,"b m n+p",109.42,2
1994,31,"b m p",46.695,2
1994,32,"b m n",71.205,2
1994,33,"u m n+p",62.92,2
1994,34,"u m c",62.595,2
1994,35,"u m p",49.825,2
1994,36,"u m n",87.97,2
1994,37,"u u n+p",106.66,1
1994,38,"u u c",37.11,1
1994,39,"u u p",47.255,1
1994,40,"u u n",55.69,1
1994,41,"b u n",88.11,1
1994,42,"b u c",67.72,1
1994,43,"b u p",50.825,1
1994,44,"b u n+p",97.04,1
1994,45,"b m n",139.43,2
1994,46,"b m c",48.875,2
1994,47,"b m p",30.12,2
1994,48,"b m n+p",105.035,2
1994,49,"b m n+p",72.435,2
1994,50,"b m n",74.07,2
1994,51,"b m p",49.035,2
1994,52,"b m c",40.85,2
1994,53,"b u n+p",136.36,1
1994,54,"b u n",139.28,1
1994,55,"b u p",41.05,1
1994,56,"b u c",29.63,1
1994,57,"u u c",49.38,1
1994,58,"u u n+p",33.4,1
1994,59,"u u p",32.53,1
1994,60,"u u n",61.085,1
1994,61,"u m c",45.255,2
1994,62,"u m n+p",64.725,2
1994,63,"u m p",40.61,2
1994,64,"u m n",60.935,2
1995,1,"u u n",48.13,1
1995,2,"u u c",23.06,1
1995,3,"u u p",49.805,1
1995,4,"u u n+p",51.795,1
1995,5,"u m n",50.54,2
1995,6,"u m c",51.185,2
1995,7,"u m p",52.475,2
1995,8,"u m n+p",81.51,2
1995,9,"b m c",53.19,2
1995,10,"b m p",37.865,2
1995,11,"b m n+p",98.48,2
1995,12,"b m n",66.31,2
1995,13,"b u c",34.25,1
1995,14,"b u p",44.06,1
1995,15,"b u n+p",220.3,1
1995,16,"b u n",118.3,1
1995,17,"u u n+p",42.325,1
1995,18,"u u n",47.445,1
1995,19,"u u p",34.52,1
1995,20,"u u c",45.465,1
1995,21,"u m n+p",73.71,2
1995,22,"u m n",71.78,2
1995,23,"u m p",41.585,2
1995,24,"u m c",53.43,2
1995,25,"b u c",40.76,1
1995,26,"b u n+p",182.18,1
1995,27,"b u p",56.27,1
1995,28,"b u n",110.12,1
1995,29,"b m c",48.605,2
1995,30,"b m n+p",98.31,2
1995,31,"b m p",44.64,2
1995,32,"b m n",120.28,2
1995,33,"u m n+p",52.185,2
1995,34,"u m c",47.82,2
1995,35,"u m p",61.265,2
1995,36,"u m n",112.37,2
1995,37,"u u n+p",72.565,1
1995,38,"u u c",29.93,1
1995,39,"u u p",35.01,1
1995,40,"u u n",119.275,1
1995,41,"b u n",106.025,1
1995,42,"b u c",50.315,1
1995,43,"b u p",39.665,1
1995,44,"b u n+p",156.045,1
1995,45,"b m n",93.285,2
1995,46,"b m c",51.525,2
1995,47,"b m p",51.93,2
1995,48,"b m n+p",114.885,2
1995,49,"b m n+p",92.055,2
1995,50,"b m n",87.15,2
1995,51,"b m p",38.58,2
1995,52,"b m c",63.75,2
1995,53,"b u n+p",143.1,1
1995,54,"b u n",163.07,1
1995,55,"b u p",33.065,1
1995,56,"b u c",57.37,1
1995,57,"u u c",39.855,1
1995,58,"u u n+p",94.83,1
1995,59,"u u p",37.815,1
1995,60,"u u n",33.605,1
1995,61,"u m c",44.1,2
1995,62,"u m n+p",79.44,2
1995,63,"u m p",41.645,2
1995,64,"u m n",58.115,2
1996,1,"u u n",54.33,1
1996,2,"u u c",22.52,1
1996,3,"u u p",73.32,1
1996,4,"u u n+p",56.205,1
1996,5,"u m n",39.415,2
1996,6,"u m c",35.625,2
1996,7,"u m p",42.21,2
1996,8,"u m n+p",75.14,2
1996,9,"b m c",32.59,2
1996,10,"b m p",30.78,2
1996,11,"b m n+p",87.685,2
1996,12,"b m n",87.06,2
1996,13,"b u c",29.87,1
1996,14,"b u p",42.85,1
1996,15,"b u n+p",123.865,1
1996,16,"b u n",81.62,1
1996,17,"u u n+p",105.125,1
1996,18,"u u n",28.765,1
1996,19,"u u p",30.88,1
1996,20,"u u c",26.86,1
1996,21,"u m n+p",75.9,2
1996,22,"u m n",57.515,2
1996,23,"u m p",49.43,2
1996,24,"u m c",44.72,2
1996,25,"b u c",46.15,1
1996,26,"b u n+p",136.145,1
1996,27,"b u p",31.75,1
1996,28,"b u n",116.425,1
1996,29,"b m c",61.485,2
1996,30,"b m n+p",78.48,2
1996,31,"b m p",78.605,2
1996,32,"b m n",95.85,2
1996,33,"u m n+p",90.945,2
1996,34,"u m c",40.26,2
1996,35,"u m p",44.34,2
1996,36,"u m n",134.125,2
1996,37,"u u n+p",61.015,1
1996,38,"u u c",55.89,1
1996,39,"u u p",12.97,1
1996,40,"u u n",89.49,1
1996,41,"b u n",110.235,1
1996,42,"b u c",50.765,1
1996,43,"b u p",39.575,1
1996,44,"b u n+p",117.52,1
1996,45,"b m n",62.97,2
1996,46,"b m c",48,2
1996,47,"b m p",51.41,2
1996,48,"b m n+p",119.645,2
1996,49,"b m n+p",98.525,2
1996,50,"b m n",75.04,2
1996,51,"b m p",77.325,2
1996,52,"b m c",34.59,2
1996,53,"b u n+p",106.19,1
1996,54,"b u n",130.605,1
1996,55,"b u p",51.34,1
1996,56,"b u c",52.445,1
1996,57,"u u c",51.77,1
1996,58,"u u n+p",77.25,1
1996,59,"u u p",31.145,1
1996,60,"u u n",47.815,1
1996,61,"u m c",44.915,2
1996,62,"u m n+p",70.89,2
1996,63,"u m p",54.85,2
1996,64,"u m n",77.24,2
1997,1,"u u n",23.255,1
1997,2,"u u c",25.295,1
1997,3,"u u p",36.89,1
1997,4,"u u n+p",41.995,1
1997,5,"u m n",55.14,2
1997,6,"u m c",37.895,2
1997,7,"u m p",56.555,2
1997,8,"u m n+p",89.1,2
1997,9,"b m c",45.745,2
1997,10,"b m p",33.33,2
1997,11,"b m n+p",103.565,2
1997,12,"b m n",139.205,2
1997,13,"b u c",66.065,1
1997,14,"b u p",32.67,1
1997,15,"b u n+p",39.38,1
1997,16,"b u n",78.66,1
1997,17,"u u n+p",124.37,1
1997,18,"u u n",42.08,1
1997,19,"u u p",29.235,1
1997,20,"u u c",33.065,1
1997,21,"u m n+p",85.3,2
1997,22,"u m n",64.225,2
1997,23,"u m p",44.615,2
1997,24,"u m c",49.885,2
1997,25,"b u c",32.77,1
1997,26,"b u n+p",111.185,1
1997,27,"b u p",28.765,1
1997,28,"b u n",61.245,1
1997,29,"b m c",57.485,2
1997,30,"b m n+p",64.57,2
1997,31,"b m p",64.195,2
1997,32,"b m n",101.595,2
1997,33,"u m n+p",67.52,2
1997,34,"u m c",43.575,2
1997,35,"u m p",42.065,2
1997,36,"u m n",123.93,2
1997,37,"u u n+p",48.67,1
1997,38,"u u c",34.74,1
1997,39,"u u p",42.805,1
1997,40,"u u n",31.05,1
1997,41,"b u n",79.99,1
1997,42,"b u c",39.39,1
1997,43,"b u p",27.015,1
1997,44,"b u n+p",58.555,1
1997,45,"b m n",114.61,2
1997,46,"b m c",42.865,2
1997,47,"b m p",60.075,2
1997,48,"b m n+p",155.285,2
1997,49,"b m n+p",90.215,2
1997,50,"b m n",82.09,2
1997,51,"b m p",39.235,2
1997,52,"b m c",66.75,2
1997,53,"b u n+p",73.54,1
1997,54,"b u n",104.35,1
1997,55,"b u p",30.38,1
1997,56,"b u c",28.4,1
1997,57,"u u c",44.285,1
1997,58,"u u n+p",77.425,1
1997,59,"u u p",26.21,1
1997,60,"u u n",43.78,1
1997,61,"u m c",38.84,2
1997,62,"u m n+p",65.125,2
1997,63,"u m p",40.365,2
1997,64,"u m n",69.53,2
1998,1,"u u n",45.485,1
1998,2,"u u c",22.505,1
1998,3,"u u p",33.325,1
1998,4,"u u n+p",18.015,1
1998,5,"u m n",46.71,2
1998,6,"u m c",40.455,2
1998,7,"u m p",53.315,2
1998,8,"u m n+p",85.16,2
1998,9,"b m c",30.595,2
1998,10,"b m p",48.335,2
1998,11,"b m n+p",119.425,2
1998,12,"b m n",108.41,2
1998,13,"b u c",51.14,1
1998,14,"b u p",30.34,1
1998,15,"b u n+p",69.26,1
1998,16,"b u n",86.75,1
1998,17,"u u n+p",37.32,1
1998,18,"u u n",60.18,1
1998,19,"u u p",22.865,1
1998,20,"u u c",41,1
1998,21,"u m n+p",59.235,2
1998,22,"u m n",54.785,2
1998,23,"u m p",52.24,2
1998,24,"u m c",44.605,2
1998,25,"b u c",40.59,1
1998,26,"b u n+p",91.33,1
1998,27,"b u p",56.52,1
1998,28,"b u n",129.485,1
1998,29,"b m c",50,2
1998,30,"b m n+p",95.03,2
1998,31,"b m p",62.32,2
1998,32,"b m n",133.705,2
1998,33,"u m n+p",73.64,2
1998,34,"u m c",61.605,2
1998,35,"u m p",47.37,2
1998,36,"u m n",126.455,2
1998,37,"u u n+p",28.865,1
1998,38,"u u c",45.12,1
1998,39,"u u p",36.865,1
1998,40,"u u n",18.5,1
1998,41,"b u n",128.23,1
1998,42,"b u c",33.8,1
1998,43,"b u p",39.325,1
1998,44,"b u n+p",87.16,1
1998,45,"b m n",106.775,2
1998,46,"b m c",49,2
1998,47,"b m p",64.185,2
1998,48,"b m n+p",129.44,2
1998,49,"b m n+p",97.38,2
1998,50,"b m n",86.88,2
1998,51,"b m p",48.19,2
1998,52,"b m c",69.355,2
1998,53,"b u n+p",79.725,1
1998,54,"b u n",134.145,1
1998,55,"b u p",44.225,1
1998,56,"b u c",44.17,1
1998,57,"u u c",25.785,1
1998,58,"u u n+p",43.44,1
1998,59,"u u p",30.765,1
1998,60,"u u n",84.755,1
1998,61,"u m c",47.1,2
1998,62,"u m n+p",58.6,2
1998,63,"u m p",59.06,2
1998,64,"u m n",67.21,2
1999,1,"u u n",34.05,1
1999,2,"u u c",30.25,1
1999,3,"u u p",22.47,1
1999,4,"u u n+p",33.755,1
1999,5,"u m n",56.89,2
1999,6,"u m c",38.265,2
1999,7,"u m p",55.865,2
1999,8,"u m n+p",70.92,2
1999,9,"b m c",56.005,2
1999,10,"b m p",43.42,2
1999,11,"b m n+p",108.67,2
1999,12,"b m n",98.255,2
