"year","site_code","treatment_code","Biomass"
2010,"SNW","P",15.89
2010,"SRR","C1",7.4525
2010,"SRR","N",24.6475
2010,"SRR","NP",61.455
2010,"SRR","P",15.84
2010,"UMP","C1",5.97
2010,"UMP","N",19.685
2010,"UMP","NP",16.1775
2010,"UMP","P",8.1475
2010,"WTM","C1",21.055
2010,"WTM","N",70.89
2010,"WTM","NP",79.66
2010,"WTM","P",18.6925
2013,"DBG","C1",1.8175
2013,"DBG","N",0.39
2013,"DBG","P",1.0925
2013,"EME","C1",4.335
2013,"EME","N",6.845
2013,"EME","NP",5.3875
2013,"EME","P",1.5775
2013,"EMW","C1",0.4675
2013,"EMW","N",2.2675
2013,"EMW","NP",3.9925
2013,"EMW","P",2.2375
2013,"LDP","C1",12.9375
2013,"LDP","N",7.6325
2013,"LDP","NP",22.825
2013,"LDP","P",14.435
2013,"MCN","C1",4.1975
2013,"MCN","N",22.9025
2013,"MCN","NP",38.4575
2013,"MCN","P",25.555
2013,"MCS","C1",20.8325
2013,"MCS","N",24.44
2013,"MCS","NP",22.23
2013,"MCS","P",25.9925
2013,"MVP","C1",4.4975
2013,"MVP","N",4.835
2013,"MVP","NP",12.085
2013,"MVP","P",5.755
2013,"PWP","C1",8.45
2013,"PWP","N",13.625
2013,"PWP","NP",18.31
2013,"PWP","P",10.8325
2013,"SME","C1",7.9275
2013,"SME","N",6.2625
2013,"SME","NP",7.82
2013,"SME","P",7.7825
2013,"SMW","C1",4.7525
2013,"SMW","N",10.4025
2013,"SMW","NP",9.15
2013,"SMW","P",5.39
2013,"SNE","C1",3.525
2013,"SNE","N",4.1325
2013,"SNE","NP",3.795
2013,"SNE","P",4.28
2013,"SNW","C1",4.755
2013,"SNW","N",5.5875
2013,"SNW","NP",3.3475
2013,"SNW","P",3.085
2013,"SRR","C1",9.53
2013,"SRR","N",30.5475
2013,"SRR","NP",47.71
2013,"SRR","P",16.42
2013,"UMP","C1",11.4025
2013,"UMP","N",16.165
2013,"UMP","NP",13.83
2013,"UMP","P",7.5325
2013,"WTM","C1",3.9
2013,"WTM","N",5.41
2013,"WTM","NP",6.5
2013,"WTM","P",4.52
2015,"DBG","C1",2.911
2015,"DBG","N",1.606
2015,"DBG","NP",0.206
2015,"DBG","P",3.371
2015,"EME","C1",2.4285
2015,"EME","N",4.0785
2015,"EME","NP",14.7285
2015,"EME","P",1.5835
2015,"EMW","C1",2.241
2015,"EMW","N",5.621
2015,"EMW","NP",5.2435
2015,"EMW","P",9.5385
2015,"LDP","C1",4.731
2015,"LDP","N",5.866
2015,"LDP","NP",8.5435
2015,"LDP","P",3.9485
2015,"MCN","C1",2.8285
2015,"MCN","N",6.606
2015,"MCN","NP",17.9285
2015,"MCN","P",6.5285
2015,"PWP","C1",4.0935
2015,"PWP","N",6.9535
2015,"PWP","NP",5.531
2015,"PWP","P",2.066
2015,"SME","C1",2.0535
2015,"SME","N",3.961
2015,"SME","NP",4.566
2015,"SME","P",3.0135
2015,"SMW","C1",1.8885
2015,"SMW","N",8.461
2015,"SMW","NP",4.041
2015,"SMW","P",8.621
2015,"SNE","C1",3.286
2015,"SNE","N",6.601
2015,"SNE","NP",4.641
2015,"SNE","P",7.236
2015,"SNW","C1",8.526
2015,"SNW","N",6.521
2015,"SNW","NP",17.2435
2015,"SNW","P",3.6535
2015,"WTM","C1",1.971
2015,"WTM","N",3.0435
2015,"WTM","NP",3.571
2015,"WTM","P",0.991
2016,"DBG","C1",0.0865
2016,"DBG","N",-0.3085
2016,"DBG","NP",-0.4435
2016,"DBG","P",-0.3135
2016,"EME","C1",1.639
2016,"EME","N",3.0515
2016,"EME","NP",3.6565
2016,"EME","P",0.344
2016,"EMW","C1",-0.0185
2016,"EMW","N",0.0865
2016,"EMW","NP",3.3015
2016,"EMW","P",0.8365
2016,"LDP","C1",4.779
2016,"LDP","N",2.2915
2016,"LDP","NP",4.554
2016,"LDP","P",2.549
2016,"MCN","C1",4.7115
2016,"MCN","N",4.9815
2016,"MCN","NP",8.9815
2016,"MCN","P",7.8015
2016,"MCS","C1",11.634
2016,"MCS","N",10.1465
2016,"MCS","NP",15.984
2016,"MCS","P",19.524
2016,"MVP","C1",0.329
2016,"MVP","N",-0.0685
2016,"MVP","NP",0.379
2016,"MVP","P",0.409
2016,"PWP","C1",0.974
2016,"PWP","N",1.484
2016,"PWP","NP",4.669
2016,"PWP","P",1.1715
2016,"SME","C1",1.2715
2016,"SME","N",0.0465
2016,"SME","NP",0.684
2016,"SME","P",0.764
2016,"SMW","C1",0.9515
2016,"SMW","N",2.769
2016,"SMW","NP",1.319
2016,"SMW","P",1.8615
2016,"SNE","C1",1.134
2016,"SNE","N",3.3265
2016,"SNE","NP",6.474
2016,"SNE","P",1.654
2016,"SNW","C1",0.374
2016,"SNW","N",0.549
2016,"SNW","NP",0.8765
2016,"SNW","P",0.104
2016,"SRR","C1",6.1815
2016,"SRR","N",8.5565
2016,"SRR","NP",16.759
2016,"SRR","P",10.454
2016,"UMP","C1",1.689
2016,"UMP","N",2.3665
2016,"UMP","NP",3.3865
2016,"UMP","P",3.929
2016,"WTM","C1",0.239
2016,"WTM","N",1.7615
2016,"WTM","NP",4.5615
2016,"WTM","P",1.114
2017,"DBG","C1",0.467
2017,"DBG","N",0.407
2017,"DBG","P",0.9145
2017,"EME","C1",14.912
2017,"EME","N",28.012
2017,"EME","NP",24.942
2017,"EME","P",8.732
2017,"EMW","C1",0.997
2017,"EMW","N",0.6195
2017,"EMW","NP",7.022
2017,"EMW","P",2.2795
2017,"LDP","C1",15.912
2017,"LDP","N",10.6645
2017,"LDP","NP",46.5095
2017,"LDP","P",32.4295
2017,"MCN","C1",10.7295
2017,"MCN","N",43.432
2017,"MCN","NP",47.6695
2017,"MCN","P",30.2045
2017,"MCS","C1",25.287
2017,"MCS","N",22.7845
2017,"MCS","NP",31.077
2017,"MCS","P",35.967
2017,"MVP","C1",9.522
2017,"MVP","N",7.492
2017,"MVP","NP",13.3245
2017,"MVP","P",9.077
2017,"PWP","C1",12.4295
2017,"PWP","N",21.032
2017,"PWP","NP",21.337
2017,"PWP","P",9.4495
2017,"SME","C1",13.827
2017,"SME","N",8.797
2017,"SME","NP",16.307
2017,"SME","P",14.827
2017,"SMW","C1",5.5295
2017,"SMW","N",8.912
2017,"SMW","NP",5.6745
2017,"SMW","P",8.6545
2017,"SNE","C1",5.1395
2017,"SNE","N",12.9045
2017,"SNE","NP",11.162
2017,"SNE","P",5.2595
2017,"SNW","C1",6.7395
2017,"SNW","N",9.8845
2017,"SNW","NP",7.002
2017,"SNW","P",4.957
2017,"SRR","C1",11.927
2017,"SRR","N",35.0345
2017,"SRR","NP",38.0195
2017,"SRR","P",28.727
2017,"UMP","C1",8.9045
2017,"UMP","N",13.667
2017,"UMP","NP",15.452
2017,"UMP","P",12.2945
2017,"WTM","C1",18.662
2017,"WTM","N",33.397
2017,"WTM","NP",67.6345
2017,"WTM","P",53.432
2019,"EME","C1",17.944
2019,"EME","N",22.596
2019,"EME","NP",23.2635
2019,"EME","P",30.214
2019,"EMW","C1",12.7855
2019,"EMW","N",18.4555
2019,"EMW","NP",35.698
2019,"EMW","P",15.453
2019,"LDP","C1",22.791
2019,"LDP","N",38.9515
2019,"LDP","NP",44.0205
2019,"LDP","P",27.454
2019,"MCS","C1",39.5415
2019,"MCS","N",59.689
2019,"MCS","NP",72.0465
2019,"MCS","P",44.3015
2019,"PWP","C1",26.164
2019,"PWP","N",22.5265
2019,"PWP","NP",29.4015
2019,"PWP","P",26.784
2019,"SME","C1",39.1615
2019,"SME","N",24.0855
2019,"SME","NP",35.7905
2019,"SME","P",34.858
2019,"SMW","C1",29.1705
2019,"SMW","N",36.463
2019,"SMW","NP",22.453
2019,"SMW","P",18.7305
2019,"SRR","C1",24.6515
2019,"SRR","N",49.73
2019,"SRR","NP",78.524
2019,"SRR","P",19.294
2019,"WTM","C1",28.2915
2019,"WTM","N",33.549
2019,"WTM","NP",40.1515
2019,"WTM","P",22.6865
2021,"EME","C1",0.384
2021,"EME","N",1.914
2021,"EME","NP",0.614
2021,"EME","P",1.1465
2021,"EMW","C1",0.2215
2021,"EMW","N",0.156500000000001
2021,"EMW","NP",0.409
2021,"EMW","P",0.0190000000000004
2021,"LDP","C1",0.5915
2021,"LDP","N",0.4015
2021,"LDP","NP",0.7465
2021,"LDP","P",0.6515
2021,"MCS","C1",0.9315
2021,"MCS","N",1.019
2021,"MCS","NP",1.124
2021,"MCS","P",1.7715
2021,"PWP","C1",0.9865
2021,"PWP","N",0.8265
2021,"PWP","NP",0.824
2021,"PWP","P",0.434
2021,"SME","C1",0.9065
2021,"SME","N",0.9865
2021,"SME","NP",3.5215
2021,"SME","P",0.6615
2021,"SMW","C1",1.349
2021,"SMW","N",0.6915
2021,"SMW","NP",1.6915
2021,"SMW","P",0.8415
2021,"SRR","C1",0.424
2021,"SRR","N",0.544
2021,"SRR","NP",0.749
2021,"SRR","P",0.4865
2021,"WTM","C1",0.644
2021,"WTM","N",1.7065
2021,"WTM","NP",2.804
2021,"WTM","P",0.9215
2023,"EME","C1",165.244
2023,"EME","N",199.364
2023,"EME","NP",194.454
2023,"EME","P",74.014
2023,"EMW","C1",40.834
2023,"EMW","N",126.574
2023,"EMW","NP",191.804
2023,"EMW","P",59.204
2023,"LDP","C1",57.112
2023,"LDP","N",68.9
2023,"LDP","NP",66.282
2023,"LDP","P",63.244
2023,"MCS","C1",151.92
2023,"MCS","N",243.7
2023,"MCS","NP",278.34
2023,"MCS","P",233.41
2023,"PWP","C1",68.232
2023,"PWP","N",83.962
2023,"PWP","NP",62.162
2023,"PWP","P",36.062
2023,"SME","C1",107.644
2023,"SME","N",126.374
2023,"SME","NP",140.744
2023,"SME","P",115.244
2023,"SMW","C1",45.036
2023,"SMW","N",76.094
2023,"SMW","NP",88.816
2023,"SMW","P",33.842
2023,"SRR","C1",79.424
2023,"SRR","N",411.18
2023,"SRR","NP",297.552
2023,"SRR","P",129.582
2023,"WTM","C1",77.516
2023,"WTM","N",112.906
2023,"WTM","NP",153.686
2023,"WTM","P",72.066
2024,"EME","C1",66.88
2024,"EME","N",55.22
2024,"EME","NP",58.06
2024,"EME","P",92.05
2024,"EMW","C1",14.91
2024,"EMW","N",31.94
2024,"EMW","NP",26.53
2024,"EMW","P",29.38
2024,"LDP","C1",75.99
2024,"LDP","N",43.53
2024,"LDP","NP",61.03
2024,"LDP","P",81.08
2024,"MCS","C1",68.39
2024,"MCS","N",105.79
2024,"MCS","NP",106.14
2024,"MCS","P",171.93
2024,"PWP","C1",37.81
2024,"PWP","N",34.38
2024,"PWP","NP",23.55
2024,"PWP","P",30.4
2024,"SME","C1",59.87
2024,"SME","N",80.55
2024,"SME","NP",84.26
2024,"SME","P",67.18
2024,"SMW","C1",31.89
2024,"SMW","N",48.59
2024,"SMW","NP",29.78
2024,"SMW","P",31.43
2024,"SRR","C1",66.47
2024,"SRR","N",102.35
2024,"SRR","NP",154.53
2024,"SRR","P",65.17
2024,"WTM","C1",42.68
2024,"WTM","N",56.52
2024,"WTM","NP",79.97
2024,"WTM","P",57.53
