Date,Plot,Cover_Fertilizer,total_SCF
2005,4,unshaded_0,4.583
2005,5,shaded_0,4.248
2005,5,unshaded_0,4.034
2005,6,shaded_16,4.017
2005,6,unshaded_16,4.553
2005,7,shaded_50,3.886
2005,7,unshaded_50,5.354
2005,8,shaded_16,4.354
2005,8,unshaded_16,3.696
2005,9,shaded_50,4.555
2005,9,unshaded_50,5.114
2003,1,shaded_0,19.017
2003,1,unshaded_0,13.58
2003,2,shaded_50,17.386
2003,2,unshaded_50,19.408
2003,3,shaded_16,11.067
2003,3,unshaded_16,16.655
2003,4,shaded_0,19.765
2003,4,unshaded_0,16.032
2003,5,shaded_0,12.334
2003,5,unshaded_0,16.975
2003,6,shaded_16,21.981
2003,6,unshaded_16,24.922
2003,7,shaded_50,10.831
2003,7,unshaded_50,10.757
2003,8,shaded_16,10.254
2003,8,unshaded_16,15.662
2003,9,shaded_50,15.437
2003,9,unshaded_50,15.365
1999,1,shaded_0,17.609
1999,1,unshaded_0,15.139
1999,2,shaded_50,12.752
1999,2,unshaded_50,10.18
1999,3,shaded_16,14.478
1999,3,unshaded_16,8.775
1999,4,shaded_0,15.545
1999,4,unshaded_0,10.071
1999,5,shaded_0,11.872
1999,5,unshaded_0,12.688
1999,6,shaded_16,10.876
1999,6,unshaded_16,11.099
1999,7,shaded_50,8.165
1999,7,unshaded_50,9.754
1999,8,shaded_16,10.093
1999,8,unshaded_16,11.618
1999,9,shaded_50,8.771
1999,9,unshaded_50,12.467
2000,1,shaded_0,16.109
2000,1,unshaded_0,10.978
2000,2,shaded_50,8.028
2000,2,unshaded_50,9.241
2000,3,shaded_16,11.085
2000,3,unshaded_16,9.084
2000,4,shaded_0,11.864
2000,4,unshaded_0,8.498
2000,5,shaded_0,11.253
2000,5,unshaded_0,14.024
2000,6,shaded_16,11.471
2000,6,unshaded_16,11.776
2000,7,shaded_50,9.402
2000,7,unshaded_50,11.341
2000,8,shaded_16,6.285
2000,8,unshaded_16,10.265
2000,9,shaded_50,9.908
2000,9,unshaded_50,18.452
2002,1,shaded_0,15.635
2002,1,unshaded_0,13.393
2002,2,shaded_50,8.446
2002,2,unshaded_50,10.69
2002,3,shaded_16,10.174
2002,3,unshaded_16,12.61
2002,4,shaded_0,11.153
2002,4,unshaded_0,11.42
2002,5,shaded_0,10.468
2002,5,unshaded_0,11.742
2002,6,shaded_16,9.537
2002,6,unshaded_16,10.889
2002,7,shaded_50,5.713
2002,7,unshaded_50,9.748
2002,8,shaded_16,16.585
2002,8,unshaded_16,13.154
2002,9,shaded_50,8.177
2002,9,unshaded_50,8.151
2004,1,shaded_0,16.196
2004,1,unshaded_0,8.179
2004,2,shaded_50,17.09
2004,2,unshaded_50,8.473
2004,3,shaded_16,15.553
2004,3,unshaded_16,11.091
2004,4,shaded_0,10.872
2004,4,unshaded_0,6.555
2004,5,shaded_0,10.099
2004,5,unshaded_0,9.288
2004,6,shaded_16,12.415
2004,6,unshaded_16,16.93
2004,7,shaded_50,8.325
2004,7,unshaded_50,10.275
2004,8,shaded_16,12.225
2004,8,unshaded_16,11.088
2004,9,shaded_50,11.281
2004,9,unshaded_50,7.681
2005,1,shaded_0,13.256
2005,1,unshaded_0,18.037
2005,2,shaded_50,16.162
2005,2,unshaded_50,7.715
2005,3,shaded_16,14.026
2005,3,unshaded_16,14.306
2005,4,shaded_0,13.273
2005,4,unshaded_0,10.456
2005,5,shaded_0,11.991
2005,5,unshaded_0,10.519
2005,6,shaded_16,15.53
2005,6,unshaded_16,16.55
2005,7,shaded_50,8.836
2005,7,unshaded_50,15.145
2005,8,shaded_16,12.039
2005,8,unshaded_16,11.707
2005,9,shaded_50,12.386
2005,9,unshaded_50,13.606
2001,1,shaded_0,16.33
2001,1,unshaded_0,10.378
2001,2,shaded_50,14.372
2001,2,unshaded_50,9.666
2001,3,shaded_16,12.981
2001,3,unshaded_16,10.436
2001,4,shaded_0,12.345
2001,4,unshaded_0,8.34
2001,5,shaded_0,9.066
2001,5,unshaded_0,10.289
2001,6,shaded_16,12.662
2001,6,unshaded_16,10.986
2001,7,shaded_50,3.703
2001,7,unshaded_50,7.743
2001,8,shaded_16,11.366
2001,8,unshaded_16,9.554
2001,9,shaded_50,9.475
2001,9,unshaded_50,11.281
2002,1,shaded_0,28.287
2002,1,unshaded_0,26.751
2002,2,shaded_50,19.167
2002,2,unshaded_50,17.257
2002,3,shaded_16,19.39
2002,3,unshaded_16,19.854
2002,4,shaded_0,19.27
2002,4,unshaded_0,22.865
2002,5,shaded_0,18.063
2002,5,unshaded_0,21.031
2002,6,shaded_16,18.727
2002,6,unshaded_16,21.028
2002,7,shaded_50,13.729
2002,7,unshaded_50,15.961
2002,8,shaded_16,16.985
2002,8,unshaded_16,19.011
2002,9,shaded_50,14.885
2002,9,unshaded_50,17
2000,1,shaded_0,36.622
2000,1,unshaded_0,18.007
2000,2,shaded_50,22.349
2000,2,unshaded_50,17.592
2000,3,shaded_16,15.772
2000,3,unshaded_16,18.675
2000,4,shaded_0,21.603
2000,4,unshaded_0,20.019
2000,5,shaded_0,17.434
2000,5,unshaded_0,20.47
2000,6,shaded_16,18.745
2000,6,unshaded_16,19.396
2000,7,shaded_50,11.597
2000,7,unshaded_50,16.434
2000,8,shaded_16,14.803
2000,8,unshaded_16,15.693
2000,9,shaded_50,13.251
2000,9,unshaded_50,21.025
2001,1,shaded_0,29.687
2001,1,unshaded_0,18.91
2001,2,shaded_50,21.983
2001,2,unshaded_50,13.27
2001,3,shaded_16,19.353
2001,3,unshaded_16,16.193
2001,4,shaded_0,23.061
2001,4,unshaded_0,15.422
2001,5,shaded_0,16.032
2001,5,unshaded_0,29.708
2001,6,shaded_16,16.256
2001,6,unshaded_16,18.662
2001,7,shaded_50,13.004
2001,7,unshaded_50,12.29
2001,8,shaded_16,16.118
2001,8,unshaded_16,18.209
2001,9,shaded_50,19.425
2001,9,unshaded_50,17.825
2005,1,shaded_0,35.046
2005,1,unshaded_0,25.723
2005,2,shaded_50,32.729
2005,2,unshaded_50,18.947
2005,3,shaded_16,26.78
2005,3,unshaded_16,26.036
2005,4,shaded_0,23.4
2005,4,unshaded_0,20.263
2005,5,shaded_0,17.467
2005,5,unshaded_0,19.571
2005,6,shaded_16,26.251
2005,6,unshaded_16,32.553
2005,7,shaded_50,18.411
2005,7,unshaded_50,16.364
2005,8,shaded_16,21.581
2005,8,unshaded_16,25.085
2005,9,shaded_50,28.097
2005,9,unshaded_50,21.407
2004,1,shaded_0,21.162
2004,1,unshaded_0,13.156
2004,2,shaded_50,15.184
2004,2,unshaded_50,3.284
2004,3,shaded_16,19.649
2004,3,unshaded_16,8.551
2004,4,shaded_0,19.658
2004,4,unshaded_0,8.754
2004,5,shaded_0,14.27
2004,5,unshaded_0,14.53
2004,6,shaded_16,16.975
2004,6,unshaded_16,24.04
2004,7,shaded_50,13.209
2004,7,unshaded_50,22.046
2004,8,shaded_16,19.349
2004,8,unshaded_16,15.224
2004,9,shaded_50,20.553
2004,9,unshaded_50,19.401
1999,1,shaded_0,29.463
1999,1,unshaded_0,30.116
1999,2,shaded_50,21.366
1999,2,unshaded_50,26.425
1999,3,shaded_16,26.327
1999,3,unshaded_16,24.407
1999,4,shaded_0,30.448
1999,4,unshaded_0,25.676
1999,5,shaded_0,22.718
1999,5,unshaded_0,26.595
1999,6,shaded_16,24.333
1999,6,unshaded_16,26.619
1999,7,shaded_50,14.267
1999,7,unshaded_50,18.372
1999,8,shaded_16,21.022
1999,8,unshaded_16,23.534
1999,9,shaded_50,22.614
1999,9,unshaded_50,28.28
2004,2,shaded_50,9.093
2004,2,unshaded_50,11.276
2004,3,unshaded_16,10.942
2004,4,unshaded_0,6.954
2004,8,unshaded_16,3.805
2003,1,shaded_0,22.71
2003,1,unshaded_0,29.018
2003,2,shaded_50,21.644
2003,2,unshaded_50,17.562
2003,3,shaded_16,18.359
2003,3,unshaded_16,15.076
2003,4,shaded_0,17.748
2003,4,unshaded_0,20.959
2003,5,shaded_0,16.383
2003,5,unshaded_0,18.074
2003,6,shaded_16,20.003
2003,6,unshaded_16,20.848
2003,7,shaded_50,15.735
2003,7,unshaded_50,16.794
2003,8,shaded_16,17.04
2003,8,unshaded_16,18.412
2003,9,shaded_50,15.087
2003,9,unshaded_50,23.58
2000,1,shaded_0,44.454
2000,1,unshaded_0,35.48
2000,2,shaded_50,45.289
2000,2,unshaded_50,22.437
2000,3,shaded_16,28.737
2000,3,unshaded_16,33.339
2000,4,shaded_0,35.624
2000,4,unshaded_0,28.031
2000,5,shaded_0,30.784
2000,5,unshaded_0,33.36
2000,6,shaded_16,32.377
2000,6,unshaded_16,29.691
2000,7,shaded_50,22.363
2000,7,unshaded_50,21.753
2000,8,shaded_16,31.34
2000,8,unshaded_16,25.776
2000,9,shaded_50,24.511
2000,9,unshaded_50,31.314
2002,1,shaded_0,34.852
2002,1,unshaded_0,24.501
2002,2,shaded_50,29.006
2002,2,unshaded_50,24.326
2002,3,shaded_16,27.296
2002,3,unshaded_16,20.759
2002,4,shaded_0,26.598
2002,4,unshaded_0,23.247
2002,5,shaded_0,22.28
2002,5,unshaded_0,22.844
2002,6,shaded_16,22.031
2002,6,unshaded_16,29.072
2002,7,shaded_50,20.707
2002,7,unshaded_50,18.79
2002,8,shaded_16,14.506
2002,8,unshaded_16,21.749
2002,9,shaded_50,22.607
2002,9,unshaded_50,22.057
2003,1,shaded_0,28.148
2003,1,unshaded_0,39.465
2003,2,shaded_50,26.604
2003,2,unshaded_50,19.221
2003,3,shaded_16,21.828
2003,3,unshaded_16,26.781
2003,4,shaded_0,26.772
2003,4,unshaded_0,26.006
2003,5,shaded_0,22.088
2003,5,unshaded_0,25.905
2003,6,shaded_16,27.81
2003,6,unshaded_16,28.187
2003,7,shaded_50,20.961
2003,7,unshaded_50,16.782
2003,8,shaded_16,21.501
2003,8,unshaded_16,17.858
2003,9,shaded_50,22.095
2003,9,unshaded_50,29.882
2001,1,shaded_0,55.69
2001,1,unshaded_0,29.65
2001,2,shaded_50,54.187
2001,2,unshaded_50,34.46
2001,3,shaded_16,44.074
2001,3,unshaded_16,47.648
2001,4,shaded_0,59.468
2001,4,unshaded_0,32.38
2001,5,shaded_0,21.707
2001,5,shaded_0,17.796
2001,5,unshaded_0,30.361
2001,6,shaded_16,44.513
2001,6,unshaded_16,29.434
2001,7,shaded_50,49.142
2001,7,unshaded_50,23.73
2001,8,shaded_16,36.986
2001,8,unshaded_16,28.316
2001,9,shaded_50,31.613
2001,9,unshaded_50,30.056
2000,1,shaded_0,32.27
2000,1,unshaded_0,16.08
2000,2,shaded_50,25.031
2000,2,unshaded_50,18.192
2000,3,shaded_16,28.971
2000,3,unshaded_16,22.35
2000,4,shaded_0,34.645
2000,4,unshaded_0,17.565
2000,5,shaded_0,27.552
2000,5,unshaded_0,16.899
2000,6,shaded_16,36.313
2000,6,unshaded_16,17.99
2000,7,shaded_50,24.361
2000,7,unshaded_50,12.437
2000,8,shaded_16,22.766
2000,8,unshaded_16,15.755
2000,9,shaded_50,31.362
2000,9,unshaded_50,24.088
2001,1,shaded_0,35.21
2001,1,unshaded_0,37.223
2001,2,shaded_50,30.169
2001,2,unshaded_50,19.825
2001,3,shaded_16,35.875
2001,3,unshaded_16,32.959
2001,4,shaded_0,34.121
2001,4,unshaded_0,28.718
2001,5,shaded_0,24.661
2001,5,unshaded_0,40.277
2001,6,shaded_16,26.352
2001,6,unshaded_16,28.174
2001,7,shaded_50,13.973
2001,7,unshaded_50,16.146
2001,8,shaded_16,22.786
2001,8,unshaded_16,27.508
2001,9,shaded_50,26.658
2001,9,unshaded_50,21.866
2005,1,shaded_0,38.955
2005,1,unshaded_0,28.402
2005,2,shaded_50,33.417
2005,2,unshaded_50,16.385
2005,3,shaded_16,23.834
2005,3,unshaded_16,24.924
2005,4,shaded_0,23.069
2005,4,unshaded_0,24.703
2005,5,shaded_0,18.681
2005,5,unshaded_0,25.51
2005,6,shaded_16,21.666
2005,6,unshaded_16,22.549
2005,7,shaded_50,11.954
2005,7,unshaded_50,15.426
2005,8,shaded_16,18.882
2005,8,unshaded_16,17.328
2005,9,shaded_50,18.208
2005,9,unshaded_50,13.918
1999,1,shaded_0,34.268
1999,1,unshaded_0,43.547
1999,2,shaded_50,23.12
1999,2,unshaded_50,24.48
1999,3,shaded_16,22.962
1999,3,unshaded_16,28.032
1999,4,shaded_0,17.713
1999,4,unshaded_0,32.291
1999,5,shaded_0,26.291
1999,5,unshaded_0,32.673
1999,6,shaded_16,25.242
1999,6,unshaded_16,27.944
1999,7,shaded_50,18.443
1999,7,unshaded_50,22.437
1999,8,shaded_16,19.156
1999,8,unshaded_16,26.67
1999,9,shaded_50,20.307
1999,9,unshaded_50,28.423
1999,1,shaded_0,33.94
1999,1,unshaded_0,33.04
1999,2,shaded_50,22.029
1999,2,unshaded_50,31.889
1999,3,shaded_16,24.293
1999,3,unshaded_16,21.438
1999,4,shaded_0,25.847
1999,4,unshaded_0,25.905
1999,5,shaded_0,23.289
1999,5,unshaded_0,26.874
1999,6,shaded_16,20.309
1999,6,unshaded_16,21.869
1999,7,shaded_50,18.846
1999,7,unshaded_50,26.459
1999,8,shaded_16,19.841
1999,8,unshaded_16,24.693
1999,9,shaded_50,20.647
1999,9,unshaded_50,27.095
2004,1,shaded_0,34.687
2004,1,unshaded_0,18.945
2004,2,shaded_50,29.27
2004,2,unshaded_50,14.377
2004,3,shaded_16,18.935
2004,3,unshaded_16,18.33
2004,4,shaded_0,16.36
2004,4,unshaded_0,17.839
2004,5,shaded_0,20.315
2004,5,unshaded_0,17.849
2004,6,shaded_16,19.155
2004,6,unshaded_16,26.823
2004,7,shaded_50,17.291
2004,7,unshaded_50,20.186
2004,8,shaded_16,24.471
2004,8,unshaded_16,15.741
2004,9,shaded_50,21.871
2004,9,unshaded_50,20.23
2003,1,shaded_0,31.62
2003,1,unshaded_0,16.776
2003,2,shaded_50,25.024
2003,2,unshaded_50,11.052
2003,3,shaded_16,19.361
2003,3,unshaded_16,18.611
2003,4,shaded_0,15.52
2003,4,unshaded_0,12.53
2003,5,shaded_0,16.334
2003,5,unshaded_0,14.088
2003,6,shaded_16,17.518
2003,6,unshaded_16,19.453
2003,7,shaded_50,11.605
2003,7,unshaded_50,11.795
2003,8,shaded_16,16.729
2003,8,unshaded_16,17.824
2003,9,shaded_50,16.486
2003,9,unshaded_50,10.105
2004,4,shaded_0,4.948
2002,1,shaded_0,29.139
2002,1,unshaded_0,24.103
2002,2,shaded_50,19.304
2002,2,unshaded_50,15.951
2002,3,shaded_16,19.551
2002,3,unshaded_16,17.151
2002,4,shaded_0,20.605
2002,4,unshaded_0,22.274
2002,5,shaded_0,20.474
2002,5,unshaded_0,22.846
2002,6,shaded_16,17.978
2002,6,unshaded_16,22.459
2002,7,shaded_50,12.96
2002,7,unshaded_50,11.46
2002,8,shaded_16,10.048
2002,8,unshaded_16,14.069
2002,9,shaded_50,17.032
2002,9,unshaded_50,17.983
1999,1,shaded_0,32.867
1999,1,unshaded_0,27.947
1999,2,shaded_50,21.132
1999,2,unshaded_50,22.076
1999,3,shaded_16,24.627
1999,3,unshaded_16,20.856
1999,4,shaded_0,28.231
1999,4,unshaded_0,21.919
1999,5,shaded_0,33.953
1999,5,unshaded_0,24.107
1999,6,shaded_16,25.987
1999,6,unshaded_16,28.939
1999,7,shaded_50,19.074
1999,7,unshaded_50,24.37
1999,8,shaded_16,17.824
1999,8,unshaded_16,18.97
1999,9,shaded_50,17.48
1999,9,unshaded_50,21.707
2001,1,shaded_0,27.478
2001,1,unshaded_0,14.639
2001,2,shaded_50,26.02
2001,2,unshaded_50,16.637
2001,3,shaded_16,22.567
2001,3,unshaded_16,17.393
2001,4,shaded_0,21.701
2001,4,unshaded_0,17.267
2001,5,shaded_0,19.153
2001,5,unshaded_0,20.578
2001,6,shaded_16,21.453
2001,6,unshaded_16,19.454
2001,7,shaded_50,12.118
2001,7,unshaded_50,15.535
2001,8,shaded_16,22.887
2001,8,unshaded_16,18.854
2001,9,shaded_50,18.575
2001,9,unshaded_50,13.671
2005,1,shaded_0,30.447
2005,1,unshaded_0,14.042
2005,2,shaded_50,24.755
2005,2,unshaded_50,9.399
2005,3,shaded_16,16.99
2005,3,unshaded_16,16.982
2005,4,shaded_0,16.583
2005,4,unshaded_0,13.076
2005,5,shaded_0,14.314
2005,5,unshaded_0,14.147
2005,6,shaded_16,21.998
2005,6,unshaded_16,16.803
2005,7,shaded_50,12.575
2005,7,unshaded_50,13.889
2005,8,shaded_16,16.146
2005,8,unshaded_16,14.5
2005,9,shaded_50,17.178
2005,9,unshaded_50,10.946
2000,1,shaded_0,17.001
2000,1,unshaded_0,8.147
2000,2,shaded_50,15.586
2000,2,unshaded_50,7.851
2000,3,shaded_16,11.197
2000,3,unshaded_16,12.086
2000,4,shaded_0,14.641
2000,4,unshaded_0,10.622
2000,5,shaded_0,12.884
2000,5,unshaded_0,15.289
2000,6,shaded_16,16.012
2000,6,unshaded_16,19.333
2000,7,shaded_50,11.534
2000,7,unshaded_50,10.417
2000,8,shaded_16,16.601
2000,8,unshaded_16,13.359
2000,9,shaded_50,16.607
2000,9,unshaded_50,11.877
1999,1,shaded_0,16.356
1999,1,unshaded_0,13.297
1999,2,shaded_50,14.022
1999,2,unshaded_50,10.347
1999,3,shaded_16,12.131
1999,3,unshaded_16,8.948
1999,4,shaded_0,14.934
1999,4,unshaded_0,10.417
1999,5,shaded_0,13.233
1999,5,unshaded_0,18.918
1999,6,shaded_16,12.937
1999,6,unshaded_16,10.695
1999,7,shaded_50,11.542
1999,7,unshaded_50,10.538
1999,8,shaded_16,10.324
1999,8,unshaded_16,10.376
1999,9,shaded_50,8.455
1999,9,unshaded_50,15.517
2004,1,shaded_0,23.944
2004,1,unshaded_0,8.195
2004,2,shaded_50,25.496
2004,2,unshaded_50,10.139
2004,3,shaded_16,18.601
2004,3,unshaded_16,14.729
2004,4,shaded_0,16.322
2004,4,unshaded_0,8.718
2004,5,shaded_0,16.239
2004,5,unshaded_0,12.782
2004,6,shaded_16,14.144
2004,6,unshaded_16,17.035
2004,7,shaded_50,12.86
2004,7,unshaded_50,19.769
2004,8,shaded_16,20.142
2004,8,unshaded_16,11.399
2004,9,shaded_50,20.787
2004,9,unshaded_50,11.162
