"","year","site_code","treatment_code","Biomass"
"245",2015,"EME","N",4.0785
"246",2015,"EME","NP",14.7285
"247",2015,"EME","P",1.5835
"248",2015,"EMW","C1",2.241
"249",2015,"EMW","N",5.621
"250",2015,"EMW","NP",5.2435
"251",2015,"EMW","P",9.5385
"252",2015,"LDP","C1",4.731
"253",2015,"LDP","N",5.866
"254",2015,"LDP","NP",8.5435
"255",2015,"LDP","P",3.9485
"256",2015,"MCN","C1",2.8285
"257",2015,"MCN","N",6.606
"258",2015,"MCN","NP",17.9285
"259",2015,"MCN","P",6.5285
"260",2015,"PWP","C1",4.0935
"261",2015,"PWP","N",6.9535
"262",2015,"PWP","NP",5.531
"263",2015,"PWP","P",2.066
"264",2015,"SME","C1",2.0535
"265",2015,"SME","N",3.961
"266",2015,"SME","NP",4.566
"267",2015,"SME","P",3.0135
"268",2015,"SMW","C1",1.8885
"269",2015,"SMW","N",8.461
"270",2015,"SMW","NP",4.041
"271",2015,"SMW","P",8.621
"272",2015,"SNE","C1",3.286
"273",2015,"SNE","N",6.601
"274",2015,"SNE","NP",4.641
"275",2015,"SNE","P",7.236
"276",2015,"SNW","C1",8.526
"277",2015,"SNW","N",6.521
"278",2015,"SNW","NP",17.2435
"279",2015,"SNW","P",3.6535
"280",2015,"WTM","C1",1.971
"281",2015,"WTM","N",3.0435
"282",2015,"WTM","NP",3.571
"283",2015,"WTM","P",0.991
"284",2016,"DBG","C1",0.0865
"285",2016,"DBG","N",-0.3085
"286",2016,"DBG","NP",-0.4435
"287",2016,"DBG","P",-0.3135
"288",2016,"EME","C1",1.639
"289",2016,"EME","N",3.0515
"290",2016,"EME","NP",3.6565
"291",2016,"EME","P",0.344
"292",2016,"EMW","C1",-0.0185
"293",2016,"EMW","N",0.0865
"294",2016,"EMW","NP",3.3015
"295",2016,"EMW","P",0.8365
"296",2016,"LDP","C1",4.779
"297",2016,"LDP","N",2.2915
"298",2016,"LDP","NP",4.554
"299",2016,"LDP","P",2.549
"300",2016,"MCN","C1",4.7115
"301",2016,"MCN","N",4.9815
"302",2016,"MCN","NP",8.9815
"303",2016,"MCN","P",7.8015
"304",2016,"MCS","C1",11.634
"305",2016,"MCS","N",10.1465
"306",2016,"MCS","NP",15.984
"307",2016,"MCS","P",19.524
"308",2016,"MVP","C1",0.329
"309",2016,"MVP","N",-0.0685
"310",2016,"MVP","NP",0.379
"311",2016,"MVP","P",0.409
"312",2016,"PWP","C1",0.974
"313",2016,"PWP","N",1.484
"314",2016,"PWP","NP",4.669
"315",2016,"PWP","P",1.1715
"316",2016,"SME","C1",1.2715
"317",2016,"SME","N",0.0465
"318",2016,"SME","NP",0.684
"319",2016,"SME","P",0.764
"320",2016,"SMW","C1",0.9515
"321",2016,"SMW","N",2.769
"322",2016,"SMW","NP",1.319
"323",2016,"SMW","P",1.8615
"324",2016,"SNE","C1",1.134
"325",2016,"SNE","N",3.3265
"326",2016,"SNE","NP",6.474
"327",2016,"SNE","P",1.654
"328",2016,"SNW","C1",0.374
"329",2016,"SNW","N",0.549
"330",2016,"SNW","NP",0.8765
"331",2016,"SNW","P",0.104
"332",2016,"SRR","C1",6.1815
"333",2016,"SRR","N",8.5565
"334",2016,"SRR","NP",16.759
"335",2016,"SRR","P",10.454
"336",2016,"UMP","C1",1.689
"337",2016,"UMP","N",2.3665
"338",2016,"UMP","NP",3.3865
"339",2016,"UMP","P",3.929
"340",2016,"WTM","C1",0.239
"341",2016,"WTM","N",1.7615
"342",2016,"WTM","NP",4.5615
"343",2016,"WTM","P",1.114
"344",2017,"DBG","C1",0.467
"345",2017,"DBG","N",0.407
"346",2017,"DBG","P",0.9145
"347",2017,"EME","C1",14.912
"348",2017,"EME","N",28.012
"349",2017,"EME","NP",24.942
"350",2017,"EME","P",8.732
"351",2017,"EMW","C1",0.997
"352",2017,"EMW","N",0.6195
"353",2017,"EMW","NP",7.022
"354",2017,"EMW","P",2.2795
"355",2017,"LDP","C1",15.912
"356",2017,"LDP","N",10.6645
"357",2017,"LDP","NP",46.5095
"358",2017,"LDP","P",32.4295
"359",2017,"MCN","C1",10.7295
"360",2017,"MCN","N",43.432
"361",2017,"MCN","NP",47.6695
"362",2017,"MCN","P",30.2045
"363",2017,"MCS","C1",25.287
"364",2017,"MCS","N",22.7845
"365",2017,"MCS","NP",31.077
"366",2017,"MCS","P",35.967
"367",2017,"MVP","C1",9.522
"368",2017,"MVP","N",7.492
"369",2017,"MVP","NP",13.3245
"370",2017,"MVP","P",9.077
"371",2017,"PWP","C1",12.4295
"372",2017,"PWP","N",21.032
"373",2017,"PWP","NP",21.337
"374",2017,"PWP","P",9.4495
"375",2017,"SME","C1",13.827
"376",2017,"SME","N",8.797
"377",2017,"SME","NP",16.307
"378",2017,"SME","P",14.827
"379",2017,"SMW","C1",5.5295
"380",2017,"SMW","N",8.912
"381",2017,"SMW","NP",5.6745
"382",2017,"SMW","P",8.6545
"383",2017,"SNE","C1",5.1395
"384",2017,"SNE","N",12.9045
"385",2017,"SNE","NP",11.162
"386",2017,"SNE","P",5.2595
"387",2017,"SNW","C1",6.7395
"388",2017,"SNW","N",9.8845
"389",2017,"SNW","NP",7.002
"390",2017,"SNW","P",4.957
"391",2017,"SRR","C1",11.927
"392",2017,"SRR","N",35.0345
"393",2017,"SRR","NP",38.0195
"394",2017,"SRR","P",28.727
"395",2017,"UMP","C1",8.9045
"396",2017,"UMP","N",13.667
"397",2017,"UMP","NP",15.452
"398",2017,"UMP","P",12.2945
"399",2017,"WTM","C1",18.662
"400",2017,"WTM","N",33.397
"401",2017,"WTM","NP",67.6345
"402",2017,"WTM","P",53.432
"403",2018,"WTM","C1",0.163
"404",2018,"WTM","NP",0.203
"405",2018,"WTM","P",0.333
"406",2019,"EME","C1",17.944
"407",2019,"EME","N",22.596
"408",2019,"EME","NP",23.2635
"409",2019,"EME","P",30.214
"410",2019,"EMW","C1",12.7855
"411",2019,"EMW","N",18.4555
"412",2019,"EMW","NP",35.698
"413",2019,"EMW","P",15.453
"414",2019,"LDP","C1",22.791
"415",2019,"LDP","N",38.9515
"416",2019,"LDP","NP",44.0205
"417",2019,"LDP","P",27.454
"418",2019,"MCS","C1",39.5415
"419",2019,"MCS","N",59.689
"420",2019,"MCS","NP",72.0465
"421",2019,"MCS","P",44.3015
"422",2019,"PWP","C1",26.164
"423",2019,"PWP","N",22.5265
"424",2019,"PWP","NP",29.4015
"425",2019,"PWP","P",26.784
"426",2019,"SME","C1",39.1615
"427",2019,"SME","N",24.0855
"428",2019,"SME","NP",35.7905
"429",2019,"SME","P",34.858
"430",2019,"SMW","C1",29.1705
"431",2019,"SMW","N",36.463
"432",2019,"SMW","NP",22.453
"433",2019,"SMW","P",18.7305
"434",2019,"SRR","C1",24.6515
"435",2019,"SRR","N",49.73
"436",2019,"SRR","NP",78.524
"437",2019,"SRR","P",19.294
"438",2019,"WTM","C1",28.2915
"439",2019,"WTM","N",33.549
"440",2019,"WTM","NP",40.1515
"441",2019,"WTM","P",22.6865
"442",2021,"EME","C1",0.384
"443",2021,"EME","N",1.914
"444",2021,"EME","NP",0.614
"445",2021,"EME","P",1.1465
"446",2021,"EMW","C1",0.2215
"447",2021,"EMW","N",0.156500000000001
"448",2021,"EMW","NP",0.409
"449",2021,"EMW","P",0.0190000000000004
"450",2021,"LDP","C1",0.5915
"451",2021,"LDP","N",0.401500000000001
"452",2021,"LDP","NP",0.7465
"453",2021,"LDP","P",0.6515
"454",2021,"MCS","C1",0.9315
"455",2021,"MCS","N",1.019
"456",2021,"MCS","NP",1.124
"457",2021,"MCS","P",1.7715
"458",2021,"PWP","C1",0.9865
"459",2021,"PWP","N",0.8265
"460",2021,"PWP","NP",0.824
"461",2021,"PWP","P",0.434
"462",2021,"SME","C1",0.9065
"463",2021,"SME","N",0.9865
"464",2021,"SME","NP",3.5215
"465",2021,"SME","P",0.6615
"466",2021,"SMW","C1",1.349
"467",2021,"SMW","N",0.6915
"468",2021,"SMW","NP",1.6915
"469",2021,"SMW","P",0.8415
"470",2021,"SRR","C1",0.424
"471",2021,"SRR","N",0.544
"472",2021,"SRR","NP",0.749
"473",2021,"SRR","P",0.4865
"474",2021,"WTM","C1",0.644
"475",2021,"WTM","N",1.7065
"476",2021,"WTM","NP",2.804
"477",2021,"WTM","P",0.9215
"478",2023,"EME","C1",165.244
"479",2023,"EME","N",199.364
"480",2023,"EME","NP",194.454
"481",2023,"EME","P",74.014
"482",2023,"EMW","C1",40.834
"483",2023,"EMW","N",126.574
"484",2023,"EMW","NP",191.804
"485",2023,"EMW","P",59.204
"486",2023,"LDP","C1",57.112
"487",2023,"LDP","N",68.9
"488",2023,"LDP","NP",66.282
"489",2023,"LDP","P",63.244
"490",2023,"MCS","C1",151.92
"491",2023,"MCS","N",243.7
"492",2023,"MCS","NP",278.34
"493",2023,"MCS","P",233.41
"494",2023,"PWP","C1",68.232
"495",2023,"PWP","N",83.962
"496",2023,"PWP","NP",62.162
"497",2023,"PWP","P",36.062
"498",2023,"SME","C1",107.644
"499",2023,"SME","N",126.374
"500",2023,"SME","NP",140.744
"501",2023,"SME","P",115.244
"502",2023,"SMW","C1",45.036
"503",2023,"SMW","N",76.094
"504",2023,"SMW","NP",88.816
"505",2023,"SMW","P",33.842
"506",2023,"SRR","C1",79.424
"507",2023,"SRR","N",411.18
"508",2023,"SRR","NP",297.552
"509",2023,"SRR","P",129.582
"510",2023,"WTM","C1",77.516
"511",2023,"WTM","N",112.906
"512",2023,"WTM","NP",153.686
"513",2023,"WTM","P",72.066
"514",2024,"EME","C1",66.88
"515",2024,"EME","N",55.22
"516",2024,"EME","NP",58.06
"517",2024,"EME","P",92.05
"518",2024,"EMW","C1",14.91
"519",2024,"EMW","N",31.94
"520",2024,"EMW","NP",26.53
"521",2024,"EMW","P",29.38
"522",2024,"LDP","C1",75.99
"523",2024,"LDP","N",43.53
"524",2024,"LDP","NP",61.03
"525",2024,"LDP","P",81.08
"526",2024,"MCS","C1",68.39
"527",2024,"MCS","N",105.79
"528",2024,"MCS","NP",106.14
"529",2024,"MCS","P",171.93
"530",2024,"PWP","C1",37.81
"531",2024,"PWP","N",34.38
"532",2024,"PWP","NP",23.55
"533",2024,"PWP","P",30.4
"534",2024,"SME","C1",59.87
"535",2024,"SME","N",80.55
"536",2024,"SME","NP",84.26
"537",2024,"SME","P",67.18
"538",2024,"SMW","C1",31.89
"539",2024,"SMW","N",48.59
"540",2024,"SMW","NP",29.78
"541",2024,"SMW","P",31.43
"542",2024,"SRR","C1",66.47
"543",2024,"SRR","N",102.35
"544",2024,"SRR","NP",154.53
"545",2024,"SRR","P",65.17
"546",2024,"WTM","C1",42.68
"547",2024,"WTM","N",56.52
"548",2024,"WTM","NP",79.97
"549",2024,"WTM","P",57.53
