"EOYBYear","locationName","marshRegion_sd","marshRegion_mean","marshRegion_sum","isExperiment_sd","isExperiment_mean","isExperiment_sum","transect_sd","transect_mean","transect_sum","locationID_sd","locationID_mean","locationID_sum","ITISID_sd","ITISID_mean","ITISID_sum","liveMass_sd","liveMass_mean","liveMass_sum","deadMass_sd","deadMass_mean","deadMass_sum","unknownMass_sd","unknownMass_mean","unknownMass_sum","totalMass_sd","totalMass_mean","totalMass_sum","latitude_sd","latitude_mean","latitude_sum","longitude_sd","longitude_mean","longitude_sum"
2001,"(C)Control Plot",1.47297986057844,2.67567567567568,99,0,1,37,0.506711709709532,1.51351351351351,56,0,8,296,308.544001836883,40948.5882352941,1392252,15.1001041302616,12.9332432432432,478.53,21.1049331402128,18.0683783783784,668.53,0,0,0,31.3688271053281,31.0016216216216,1147.06,0,37.46,1386.02,0,-75.833,-2805.821
2001,"(P)Pumped Plot",1.2440333788203,3.61904761904762,76,0,1,21,0.511766315719159,1.47619047619048,31,0,7,147,311.665686272968,40952,859992,11.693903499158,12.5209523809524,262.94,30.5784317623978,27.277619047619,572.83,0,0,0,38.0312059085318,39.7985714285714,835.77,0,37.46,786.66,0,-75.833,-1592.493
2002,"(B)Border Control",1.13147142960707,3.73684210526316,142,0,1,38,0.506009406240056,1.52631578947368,58,0,6,228,309.372309372464,40966.5,1310928,12.3705291505719,12.9763157894737,493.1,20.7049519849687,21.6110526315789,821.22,0,0,0,26.6086530006546,34.5873684210526,1314.32,0,37.46,1423.48,0,-75.833,-2881.654
2002,"(C)Control Plot",1.5069905136275,3.12,156,0,1,50,0.504672049504448,1.48,74,0,8,400,307.722311957706,40960.0212765957,1925121,18.2374311384749,17.9456,897.28,16.3371493391783,14.2538,712.69,0,0,0,27.1124650457523,32.1994,1609.97,0,37.46,1873,0,-75.833,-3791.65
2002,"(P)Pumped Plot",1.16111073444862,3.61538461538462,141,0,1,39,0.506369683541833,1.48717948717949,58,0,7,273,307.940787180086,40938.8181818182,1350981,12.7418260427689,12.5051282051282,487.7,24.8686163320882,20.8451282051282,812.96,0,0,0,34.6075702463143,33.3502564102564,1300.66,0,37.46,1460.94,0,-75.833,-2957.487
2003,"(B)Border Control",1.25812865023207,3.58823529411765,122,0,1,34,0.506640397104899,1.52941176470588,52,0,6,204,308.544001836883,40948.5882352941,1392252,11.2086610260296,16.0529411764706,545.8,6.81925618392217,6.43235294117647,218.7,0,0,0,15.3921099889155,22.4852941176471,764.5,0,37.46,1273.64,0,-75.833,-2578.322
2003,"(C)Control Plot",1.44022385470596,2.92063492063492,184,0,1,63,0.50395263067897,1.50793650793651,95,0,8,504,306.976769222209,40977,2376666,10.9496819622419,15.5650793650794,980.6,5.5158552825657,4.77777777777778,301,0,0,0,14.1313848177155,20.3428571428571,1281.6,0,37.46,2359.98,0,-75.833,-4777.479
2003,"(P)Pumped Plot",1.26225089064115,3.62857142857143,127,0,1,35,0.50709255283711,1.48571428571429,52,0,7,245,308.8193646778,40957.8,1433523,9.61759417146819,17.28,604.8,6.41056507164658,4.96285714285714,173.7,0,0,0,14.0037660000756,22.2428571428571,778.5,0,37.46,1311.1,0,-75.833,-2654.155
2004,"(B)Border Control",1.0215078369105,3,72,0,1,24,0.510753918455249,1.5,36,0,6,144,311.049136339247,40966.5,983196,7.12985923799504,12.4016666666667,297.64,14.1896289375042,17.5529166666667,421.27,0,0,0,18.85406886755,29.9545833333333,718.91,0,37.46,899.04,0,-75.833,-1819.992
2004,"(C)Control Plot",1.26225089064115,3.62857142857143,127,0,1,35,0.50709255283711,1.51428571428571,53,0,8,280,308.8193646778,40957.8,1433523,9.71458560337898,14.0902857142857,493.16,12.6888494554944,15.4977142857143,542.42,0,0,0,20.6192834930001,29.588,1035.58,0,37.46,1311.1,0,-75.833,-2654.155
2004,"(P)Pumped Plot",1.0215078369105,3,72,0,1,24,0.510753918455249,1.5,36,0,7,168,311.049136339247,40966.5,983196,10.7718925375525,16.2358333333333,389.66,28.3533128160525,22.7879166666667,546.91,0,0,0,37.9298352009281,39.02375,936.57,0,37.46,899.04,0,-75.833,-1819.992
2005,"(B)Border Control",1.01709525543122,3.03448275862069,88,0,1,29,0.508547627715608,1.51724137931034,44,0,6,174,310.374386829841,40978.52,1024463,12.0291061729539,13.4110344827586,388.92,5.55476108303995,5.46724137931034,158.55,0,0,0,14.9605868078584,18.878275862069,547.47,0,37.46,1086.34,0,-75.833,-2199.157
2005,"(C)Control Plot",1.39569065828905,2.79787234042553,263,0,1,94,0.502225657293811,1.52127659574468,143,0,8,752,2800.30316294754,40135.7945205479,2929913,10.7409034648351,9.08053191489362,853.57,2.90798006643855,2.4463829787234,229.96,0,0,0,12.3628969155345,11.5594680851064,1086.59,0,37.46,3521.24,0,-75.833,-7128.302
2005,"(P)Pumped Plot",1.01574900036674,2.92857142857143,82,0,1,28,0.50787450018337,1.53571428571429,43,0,7,196,307.976439325295,40999.8888888889,1106997,10.8301911621386,13.4146428571429,375.61,6.30643901230108,4.05785714285714,113.62,0,0,0,15.7747720826407,17.4725,489.23,0,37.46,1048.88,0,-75.833,-2123.324
2006,"(B)Border Control",1.20871539569967,3.83333333333333,184,0,1,48,0.504852341308647,1.52083333333333,73,0,6,288,308.481437524687,40974.6216216216,1516061,9.58125535673655,8.80729166666667,422.75,20.7373271862549,25.09375,1204.5,0,0,0,26.0698056566778,33.9010416666667,1627.25,0,37.46,1798.08,0,-75.833,-3639.984
2006,"(C)Control Plot",1.45025173788212,3.02564102564103,236,0,1,78,0.502574126453753,1.52564102564103,119,0,8,624,1241.58991908645,40679.0847457627,2400066,17.8037118600028,13.5319230769231,1055.49,19.1198619506607,24.1910256410256,1886.9,0,0,0,31.587530299359,37.7229487179487,2942.39,0,37.46,2921.88,0,-75.833,-5914.974
2006,"(P)Pumped Plot",1.22237592358109,3.80434782608696,175,0,1,46,0.503610155185335,1.54347826086957,71,0,7,322,308.707376725022,40966.3888888889,1474790,9.91144382497586,8.5645652173913,393.97,17.8525685454922,20.0691304347826,923.18,0,0,0,25.7016439905393,28.6336956521739,1317.15,0,37.46,1723.16,0,-75.833,-3488.318
2007,"(B)Border Control",1.01342341941906,2.97297297297297,110,0,1,37,0.506711709709532,1.51351351351351,56,0,6,222,310.374386829841,40978.52,1024463,10.6547691319547,10.8594594594595,401.8,16.1027794450479,19.2967567567568,713.98,0,0,0,17.9537392192254,30.1562162162162,1115.78,0,37.46,1386.02,0,-75.833,-2805.821
2007,"(C)Control Plot",1.36888672585897,2.96629213483146,264,0,1,89,0.500255297438131,1.55056179775281,138,0,8,712,2737.88603139429,40496.6666666667,2429800,10.8282039185705,9.38101123595506,834.91,12.4300358914411,12.5031460674157,1112.78,0,0,0,15.6692934452561,21.8848314606742,1947.75,0,37.46,3333.94,0,-75.833,-6749.137
2007,"(P)Pumped Plot",1.01342341941906,3,114,0,1,38,0.506009406240056,1.52631578947368,58,0,7,266,309.321460868537,40989.6153846154,1065730,11.930686518243,11.2405263157895,427.14,13.6362585859137,17.9763157894737,683.1,0,0,0,20.5579312947112,29.0247368421053,1102.94,0,37.46,1423.48,0,-75.833,-2881.654
2008,"(B)Border Control",1.01201881248011,2.94736842105263,112,0,1,38,0.506711709709532,1.5,57,0,6,228,349.572796424436,40932.16,1023304,13.231915090262,12.0452631578947,457.72,26.1831593843926,12.3539473684211,469.45,0,0,0,0,0,0,0,37.46,1423.48,0,-75.833,-2881.654
2008,"(C)Control Plot",1.51204838632256,2.6875,86,0,1,32,0.491869376837965,1.625,52,0,8,256,1609.46509047893,40531.8260869565,932232,9.16286539891034,10.1559375,324.99,15.8693774110808,7.3665625,235.73,0,0,0,0,0,0,0,37.46,1198.72,0,-75.833,-2426.656
2008,"(P)Pumped Plot",0,4,72,0,1,18,0.514495755427527,1.5,27,0,7,126,318.03987743106,40966.5,491598,10.1363338005744,12.473125,199.57,23.903231848653,12.3211111111111,221.78,0,0,0,0,0,0,0,37.46,674.28,0,-75.833,-1364.994
2009,"(B)Border Control",1.01342341941906,2.97297297297297,110,0,1,37,0.506711709709532,1.48648648648649,55,0,6,222,4095.3779893173,39975.3461538462,1039359,9.55813396667597,9.03027027027027,334.12,11.8445396436235,9.04972972972973,334.84,0,0,0,11.4104452634904,18.08,668.96,0,37.46,1386.02,0,-75.833,-2805.821
2009,"(C)Control Plot",1.3407009329439,3.01176470588235,256,0,1,85,0.502654020600423,1.51764705882353,129,0,8,680,1231.97013616136,40670.9836065574,2480930,13.3496265697517,11.8111764705882,1003.95,10.6912327337378,8.81788235294118,749.52,0,0,0,16.2375962641327,20.6290588235294,1753.47,0,37.46,3184.1,0,-75.833,-6445.805
2009,"(P)Pumped Plot",1.01201881248011,2.94736842105263,112,0,1,38,0.506009406240056,1.47368421052632,56,0,7,266,310.530288377801,40966.5,1065129,11.0633335811986,11.3747368421053,432.24,14.7492369525609,12.2434210526316,465.25,0,0,0,17.7884515916493,23.6181578947368,897.49,0,37.46,1423.48,0,-75.833,-2881.654
2010,"(C)Control Plot",1.42993410283885,2.95384615384615,192,0,1,65,0.500960615679056,1.55384615384615,101,0,8,520,4188.58293362033,40005.734375,2560367,10.1492721840231,12.1726153846154,791.22,12.0033388443992,12.1858461538462,792.08,0,0,0,20.4921714648827,24.3584615384615,1583.3,0,37.46,2434.9,0,-75.833,-4929.145
