"","BLOCK","PLOT","treatment","START_DATE","HEIGHT_mean","HEIGHT_sd","DIAMETER_mean","DIAMETER_sd"
"49","A",3,"Trim + debris",2012-09-28,25.4954128440367,39.354425571929,0.399272727272727,0.489472116121423
"50","A",3,"Trim + debris",2013-09-30,25.7013888888889,49.5113294742652,0.365172413793103,0.606102190971443
"51","A",3,"Trim + debris",2014-09-09,26.277397260274,58.4680293075631,0.387482993197279,0.599658399946666
"52","A",3,"Trim + debris",2015-09-10,39.5116279069767,90.6086225511687,0.484883720930233,0.819832654506606
"53","A",3,"Trim + debris",2016-09-12,61.7241379310345,82.3155659009563,0.649310344827586,0.729741271307168
"54","A",3,"Trim + debris",2017-10-12,82.2068965517241,108.509834745304,0.998965517241379,0.981028413843591
"55","A",3,"Trim + debris",2018-09-21,86.6176470588235,120.235126896221,1.04764705882353,1.23880210668877
"56","A",3,"Trim + debris",2019-09-20,60.8208955223881,107.691327324925,0.706567164179104,1.03379933613362
"57","A",3,"Trim + debris",2021-09-13,46.3802816901408,90.2206697704068,0.553426573426573,0.900348215027366
"58","A",4,"No trim + debris",2003-06-05,23.6997732426304,20.2391255861986,0.296984126984127,0.275663203964914
"59","A",4,"No trim + debris",2003-10-06,24.6604597701149,22.3127869307628,0.388965517241379,1.05676560110299
"60","A",4,"No trim + debris",2004-06-22,24.254979253112,21.4862946719851,0.349107883817427,0.294354773393653
"61","A",4,"No trim + debris",2005-08-08,30.1120218579235,27.7594606734108,0.351693989071038,0.410959577056746
"62","A",4,"No trim + debris",2006-07-08,22.632183908046,20.5085525925886,0.334329501915709,0.440882888962744
"63","A",4,"No trim + debris",2007-10-24,19.7453416149068,18.8000313193567,0.277577639751553,0.286520160485271
"64","A",4,"No trim + debris",2008-08-11,18.2101449275362,15.1783806713535,0.277246376811594,0.25542989331924
"65","A",4,"No trim + debris",2009-09-11,18.4373737373737,16.273197076157,0.274814814814815,0.247483379286414
"66","A",4,"No trim + debris",2010-08-20,19.3502202643172,16.9934796825483,0.304625550660793,0.268371384233209
"67","A",4,"No trim + debris",2011-09-26,18.6125654450262,14.3272522511493,0.323193717277487,0.285511100645664
"68","A",4,"No trim + debris",2012-09-28,18.7116564417178,13.8348834144389,0.347852760736196,0.303294141406436
"69","A",4,"No trim + debris",2013-09-30,20.2777777777778,14.5742272415546,0.361121495327103,0.387985428394933
"70","A",4,"No trim + debris",2014-09-09,16.3379888268156,12.5191542405528,0.26659217877095,0.308821802632491
"71","A",4,"No trim + debris",2015-09-10,18,14.0071410359145,0.303909090909091,0.363459664116299
"72","A",4,"No trim + debris",2016-09-12,16.7628865979381,10.5071139935817,0.261443298969072,0.272288287071088
"73","A",4,"No trim + debris",2017-10-12,17.2833333333333,7.663105663228,0.300833333333333,0.343700029305974
"74","A",4,"No trim + debris",2018-09-21,34.7364864864865,28.825385988173,0.468648648648649,0.540525882316419
"75","A",4,"No trim + debris",2019-09-20,63.1888111888112,70.4269625713581,0.803706293706294,0.833586919622509
"76","A",4,"No trim + debris",2021-09-13,74.9976315789474,104.970950530519,0.884407894736842,1.14637680521716
"77","B",1,"Control",2003-06-05,30.630534351145,44.7118946368857,0.645114503816794,1.74031976125177
"78","B",1,"Control",2003-10-06,30.4609929078014,43.6856085702139,0.517730496453901,1.26780877827755
"79","B",1,"Control",2004-06-22,30.5139344262295,47.8784502942,5.88219512195122,59.9306006094069
"80","B",1,"Control",2005-08-08,22.2888888888889,36.6438064173584,0.684545454545455,2.06453002643596
"81","B",1,"Control",2006-07-08,28.2,49.8623820415465,0.582705882352941,1.71205069756605
"82","B",1,"Control",2007-10-24,30.2014925373134,59.9608495819319,0.569850746268657,1.60441483011183
"83","B",1,"Control",2008-08-11,23.1826923076923,45.2910768174377,0.398095238095238,1.28365171351567
"84","B",1,"Control",2009-09-11,22.9655172413793,43.7339150127087,0.401896551724138,1.21774125458508
"85","B",1,"Control",2010-08-20,21.7166666666667,44.5485634987698,0.3905,1.2113960624701
"86","B",1,"Control",2011-09-26,23.8208955223881,41.436305766194,0.52865671641791,1.60216793990006
"87","B",1,"Control",2012-09-28,27.4705882352941,46.3108423335946,0.642549019607843,1.83892016481114
"88","B",1,"Control",2013-09-30,22.3614606741573,32.097316637722,0.426292134831461,1.42190523755858
"89","B",1,"Control",2014-09-09,21.7024509803922,28.3851240302107,0.420392156862745,1.39024317380598
"90","B",1,"Control",2015-09-10,36.2,53.8180169401328,1.34904761904762,3.15821928428332
"91","B",1,"Control",2016-09-12,21.2392592592593,26.026262590784,0.50641975308642,1.81259158985275
"92","B",1,"Control",2017-10-12,22.4759615384615,34.5879760508274,0.69,2.32265314824638
"93","B",1,"Control",2018-09-21,31.453125,25.922647202238,0.52075,1.37690225191215
"94","B",1,"Control",2019-09-20,48.6386138613861,51.272689131792,0.698514851485148,1.28988555637101
"95","B",1,"Control",2021-09-13,68.3165467625899,84.3890263464325,0.980071942446043,1.61656349427378
"96","B",2,"Trim + debris",2003-06-05,34.4261744966443,37.8015522274838,0.370134228187919,0.24295752764513
"97","B",2,"Trim + debris",2003-10-06,30.6016483516484,33.2467228896817,0.312252747252747,0.249655855655599
"98","B",2,"Trim + debris",2004-06-22,30.5,30.6852060665238,0.300173410404624,0.237162180767839
"99","B",2,"Trim + debris",2005-08-08,30.6540756302521,22.7246960354023,0.326806722689076,0.238523704111288
"100","B",2,"Trim + debris",2006-07-08,71.9636363636364,57.2978961215723,0.906590909090909,2.97351854306382
"101","B",2,"Trim + debris",2007-10-24,80.1866028708134,83.4453743039778,0.800521327014218,0.697202719218628
"102","B",2,"Trim + debris",2008-08-11,84.3091463414634,102.121126693051,0.871646341463415,0.819310107390616
"103","B",2,"Trim + debris",2009-09-11,75.2965517241379,111.521057063598,2.40848275862069,20.052685305459
"104","B",2,"Trim + debris",2010-08-20,51.9248275862069,96.5246359823883,0.74,0.839219213846352
"105","B",2,"Trim + debris",2011-09-26,45.3995967741935,94.1000488357631,0.626048387096774,0.703359902262845
"106","B",2,"Trim + debris",2012-09-28,89.6555555555556,143.218710810049,0.934,1.11240684498256
"107","B",2,"Trim + debris",2013-09-30,65.7714285714286,129.333145934685,0.658761904761905,1.00780387213418
"108","B",2,"Trim + debris",2014-09-09,63.4810344827586,120.341590565316,0.606379310344828,0.969208907845196
"109","B",2,"Trim + debris",2015-09-10,37.4515789473684,58.8071952606563,0.498842105263158,0.759010582854043
"110","B",2,"Trim + debris",2016-09-12,59.9396315789474,69.0500565487629,0.671315789473684,0.917168321758446
"111","B",2,"Trim + debris",2017-10-12,66.0563829787234,64.6646079239585,0.783191489361702,0.89043327953482
"112","B",2,"Trim + debris",2018-09-21,79.0825242718447,66.711667303028,0.888155339805825,0.868551586254906
"113","B",2,"Trim + debris",2019-09-20,93.889898989899,85.2926062002954,1.06959595959596,1.14218901826838
"114","B",2,"Trim + debris",2021-09-13,98.8333333333333,109.866134071106,1.31455555555556,2.35865804596126
"115","B",3,"No trim + debris",2003-06-05,28.2932098765432,44.9537251740498,0.517777777777778,1.47192821523587
"116","B",3,"No trim + debris",2003-10-06,29.1022988505747,50.5930733384447,0.446571428571429,1.45681699727413
"117","B",3,"No trim + debris",2004-06-22,29.9006024096386,51.8148574655992,0.446987951807229,1.397674462414
"118","B",3,"No trim + debris",2005-08-08,27.8997916666667,33.4633092492826,0.945957446808511,2.50867942011977
"119","B",3,"No trim + debris",2006-07-08,24.6153846153846,38.355868515426,0.597032967032967,1.95735053041122
"120","B",3,"No trim + debris",2007-10-24,22.85,33.5280298836479,0.592,1.7819187252606
"121","B",3,"No trim + debris",2008-08-11,19.6555555555556,27.3061835712657,0.420902777777778,1.38009775329995
"122","B",3,"No trim + debris",2009-09-11,21.3738095238095,25.9115115068849,0.459920634920635,1.31468901024189
"123","B",3,"No trim + debris",2010-08-20,18.95,19.7471295056102,0.269484536082474,0.274197203722448
"124","B",3,"No trim + debris",2011-09-26,21.7931034482759,29.6644560355406,0.691724137931034,2.14912216091829
"125","B",3,"No trim + debris",2012-09-28,23.9487179487179,34.3503331562503,0.698461538461538,2.51616337344738
"126","B",3,"No trim + debris",2013-09-30,21.9583333333333,27.0784111586554,0.5275,1.74929880689077
"127","B",3,"No trim + debris",2014-09-09,20.3886363636364,21.8822734735675,0.491818181818182,1.71765915654312
"128","B",3,"No trim + debris",2015-09-10,23.13,27.4116037547635,0.7318,2.36664896132114
"129","B",3,"No trim + debris",2016-09-12,16.5985915492958,17.6655532336761,0.375845070422535,1.41884292232718
"130","B",3,"No trim + debris",2017-10-12,27.7,35.3491513335186,0.7332,2.25035130590759
"131","B",3,"No trim + debris",2018-09-21,28.956043956044,27.39014911643,0.488241758241758,1.29246671429875
"132","B",3,"No trim + debris",2019-09-20,29.9545714285714,32.6271724020286,0.482857142857143,1.11039061486241
"133","B",3,"No trim + debris",2021-09-13,33.2388888888889,43.6119715880587,0.494833333333333,1.13673966546396
"134","B",4,"Trim + clear",2003-06-05,29.524358974359,37.3023288664087,0.399316239316239,0.586630337420733
"135","B",4,"Trim + clear",2003-10-06,29.0669144981413,36.0502497320429,0.375539033457249,0.625910819431292
"136","B",4,"Trim + clear",2004-06-22,31.3714028776978,37.6277993263007,0.382302158273381,0.682378846624245
"137","B",4,"Trim + clear",2005-08-08,25.6236933797909,22.9558224925889,0.931358885017422,8.85767348774533
"138","B",4,"Trim + clear",2006-07-08,36.7711711711712,33.7845675025368,0.45990990990991,0.683439611860815
"139","B",4,"Trim + clear",2007-10-24,41.6389344262295,40.5112339462493,0.571420765027322,0.937144981111475
"140","B",4,"Trim + clear",2008-08-11,42.5852785145889,46.0630511686692,0.708271276595745,2.72573717311105
"141","B",4,"Trim + clear",2009-09-11,36.6971608832808,42.4795903132284,0.550849056603774,0.820922522452497
"142","B",4,"Trim + clear",2010-08-20,38.6153846153846,47.7760705466845,0.537777777777778,0.508147580889611
"143","B",4,"Trim + clear",2011-09-26,39.7545634920635,52.8084240477437,0.544940239043825,0.553512688575739
"144","B",4,"Trim + clear",2012-09-28,39.4814814814815,52.3019820837416,0.637083333333333,1.42342309730926
"145","B",4,"Trim + clear",2013-09-30,40.1695906432749,53.4460740797425,0.669766081871345,1.59399791616085
"146","B",4,"Trim + clear",2014-09-09,43.5559210526316,65.3015559519226,0.674539473684211,1.78842075394285
"147","B",4,"Trim + clear",2015-09-10,39.5818181818182,50.2645080280916,0.602363636363636,0.707866580587939
"148","B",4,"Trim + clear",2016-09-12,37.9181818181818,52.4399406255449,0.574454545454545,0.72560709964315
"149","B",4,"Trim + clear",2017-10-12,42.4807692307692,48.9648695133103,0.670576923076923,0.723565283479669
"150","B",4,"Trim + clear",2018-09-21,39.1842105263158,43.825018889919,0.574605263157895,0.642469072229885
"151","B",4,"Trim + clear",2019-09-20,30.9690721649485,36.3058344737934,0.472577319587629,0.531007843536145
"152","B",4,"Trim + clear",2021-09-13,36.3297872340426,42.0215992330704,0.573617021276596,0.574609453275164
"153","C",1,"No trim + debris",2003-06-05,24.3107255520505,19.5866674762793,0.312302839116719,0.293345062545395
"154","C",1,"No trim + debris",2003-10-06,23.7182410423453,18.9582339234767,0.386970684039088,1.15650007662877
"155","C",1,"No trim + debris",2004-06-22,24.6235460992908,22.1860294964681,0.331063829787234,0.302984448416802
"156","C",1,"No trim + debris",2005-08-08,19.959595959596,14.2287573079648,0.245656565656566,0.215937262318185
"157","C",1,"No trim + debris",2006-07-08,18.160447761194,15.98273890389,0.257276119402985,0.199601771767562
"158","C",1,"No trim + debris",2007-10-24,15.7982905982906,11.9749523236236,0.263,0.183390654604214
"159","C",1,"No trim + debris",2008-08-11,17.4620273348519,11.5944452035947,0.276879271070615,0.156894990049599
"160","C",1,"No trim + debris",2009-09-11,17.9598997493734,6.49378489026083,0.260651629072682,0.133009526394394
"161","C",1,"No trim + debris",2010-08-20,17.9434306569343,15.4440231306012,0.285547445255474,0.186197420566676
"162","C",1,"No trim + debris",2011-09-26,16.3396846846847,6.91066121016396,0.30972972972973,0.15948139629351
"163","C",1,"No trim + debris",2012-09-28,18.4324324324324,8.49661230618128,0.332941176470588,0.325935232969806
"164","C",1,"No trim + debris",2013-09-30,18.7440758293839,7.27035077911413,0.332748815165877,0.177991515142928
"165","C",1,"No trim + debris",2014-09-09,16.7197010869565,7.91672421230725,0.215244565217391,0.137909439830495
"166","C",1,"No trim + debris",2015-09-10,16.4887387387387,7.66322293374913,0.201441441441441,0.147475571084472
"167","C",1,"No trim + debris",2016-09-12,17.3750545454545,8.39177048956707,0.220181818181818,0.135795720736718
"168","C",1,"No trim + debris",2017-10-12,20.0390625,20.5458589592651,0.278359375,0.152288460969596
"169","C",1,"No trim + debris",2018-09-21,48.1729055258467,34.9414875226119,0.526916221033868,0.439003671198424
"170","C",1,"No trim + debris",2019-09-20,55.8400702987698,67.9113502305461,0.614049295774648,0.650451595423457
"171","C",1,"No trim + debris",2021-09-13,58.4553571428571,82.4272330442722,0.726190476190476,0.944674189763089
"172","C",2,"Trim + debris",2003-06-05,20.9612592592593,12.8618150241661,0.293111111111111,0.206200404861809
"173","C",2,"Trim + debris",2003-10-06,20.4876978417266,11.9065421863602,0.284748201438849,0.201513587614132
"174","C",2,"Trim + debris",2004-06-22,19.2396089385475,10.9350763504436,0.513016759776536,2.35092639037805
"175","C",2,"Trim + debris",2005-08-08,31.2529069767442,18.1259802794418,0.340760233918129,0.300001972244406
"176","C",2,"Trim + debris",2006-07-08,66.2013422818792,66.5469738449153,0.751342281879195,0.750431999654578
"177","C",2,"Trim + debris",2007-10-24,67.7205882352941,84.9813653801446,0.748455882352941,0.730675870457514
"178","C",2,"Trim + debris",2008-08-11,50.7065868263473,80.5390395029839,0.684131736526946,0.747412601578789
"179","C",2,"Trim + debris",2009-09-11,31.056,38.5718441520537,0.47568,0.511678666806147
"180","C",2,"Trim + debris",2010-08-20,24.0494505494506,28.444200243152,0.374175824175824,0.354661234087673
"181","C",2,"Trim + debris",2011-09-26,24.4354838709677,25.1157131716917,0.413548387096774,0.409850419632292
"182","C",2,"Trim + debris",2012-09-28,21.2769230769231,15.9310111224811,0.390615384615385,0.302189287342578
"183","C",2,"Trim + debris",2013-09-30,19.6808510638298,11.4028979206311,0.339148936170213,0.31885095980528
"184","C",2,"Trim + debris",2014-09-09,22.5344827586207,14.6804745815077,0.324655172413793,0.329716600890221
"185","C",2,"Trim + debris",2015-09-10,41.9793868921776,31.8137116905601,0.398181818181818,0.329162510619807
"186","C",2,"Trim + debris",2016-09-12,59.2962962962963,58.9611238508363,0.621759259259259,0.575709598473338
"187","C",2,"Trim + debris",2017-10-12,52.1575,48.7574954315692,0.716625,0.616724593869536
"188","C",2,"Trim + debris",2018-09-21,74.4186046511628,68.1217707476457,0.92906976744186,0.815950730789084
"189","C",2,"Trim + debris",2019-09-20,70.4757281553398,99.8812868555736,0.844271844660194,1.05192317055407
"190","C",2,"Trim + debris",2021-09-13,71.7654320987654,121.317998623961,0.83283950617284,1.3291728956083
"191","C",3,"Trim + clear",2003-06-05,21.902489626556,21.470324336378,0.315601659751037,0.284463953188977
"192","C",3,"Trim + clear",2003-10-06,21.5384615384615,20.8661125985981,0.29996336996337,0.269110050428338
"193","C",3,"Trim + clear",2004-06-22,22.2019455252918,21.8620326768269,0.336108949416342,0.334405424722234
"194","C",3,"Trim + clear",2005-08-08,22.7432432432432,18.7307379838346,0.254594594594595,0.250098838886961
"195","C",3,"Trim + clear",2006-07-08,37.2117903930131,27.7932723441682,0.396427015250545,0.320071431386777
"196","C",3,"Trim + clear",2007-10-24,47.3849693251534,45.2819521307141,0.565565749235474,0.45534545079476
"197","C",3,"Trim + clear",2008-08-11,44.7397567567568,52.034350111629,0.566513513513514,0.557773356931889
"198","C",3,"Trim + clear",2009-09-11,44.6014760147601,58.2454245352782,0.673468634686347,1.0536984941648
"199","C",3,"Trim + clear",2010-08-20,43.4577114427861,65.7632074395427,0.607871287128713,0.650256683544931
"200","C",3,"Trim + clear",2011-09-26,43.813355704698,69.8643567788512,1.55134228187919,11.0315600485618
"201","C",3,"Trim + clear",2012-09-28,48.3166666666667,80.5201559748072,0.655333333333333,0.742578896392125
"202","C",3,"Trim + clear",2013-09-30,40.7941463414634,71.8414300184313,0.59739837398374,0.77100832148597
"203","C",3,"Trim + clear",2014-09-09,40.1853448275862,73.41089038308,0.584521739130435,0.797291735417701
"204","C",3,"Trim + clear",2015-09-10,41.3723404255319,80.9863899414823,0.512258064516129,0.742553070907127
"205","C",3,"Trim + clear",2016-09-12,27.7388888888889,44.758456274761,0.388425925925926,0.466710825310225
"206","C",3,"Trim + clear",2017-10-12,38.0232558139535,58.6115088536344,0.511162790697674,0.721190184619859
"207","C",3,"Trim + clear",2018-09-21,33.4608695652174,36.8187325883532,0.495217391304348,0.564265316197363
"208","C",3,"Trim + clear",2019-09-20,27.86,36.2468167831002,0.37156,0.463522793311913
"209","C",3,"Trim + clear",2021-09-13,31.3086826347305,41.5498894428364,0.455149700598802,0.473918370643133
"210","C",4,"Control",2003-06-05,23.0576923076923,32.3891773267677,0.513715846994536,1.29284351658423
"211","C",4,"Control",2003-10-06,26.8892045454545,43.873513616736,0.523920454545455,1.26137973185004
"212","C",4,"Control",2004-06-22,27.9626865671642,46.9676991415686,0.450671641791045,1.0869127125734
"213","C",4,"Control",2005-08-08,32.4266666666667,57.0429954800178,0.49972972972973,1.15707706018814
"214","C",4,"Control",2006-07-08,20.4,28.3036544521359,0.3151875,0.853177539734946
"215","C",4,"Control",2007-10-24,25.3766233766234,31.002881428497,0.493506493506494,1.3026155532476
"216","C",4,"Control",2008-08-11,21.7767857142857,24.9319650181324,0.364196428571429,0.90762698056139
"217","C",4,"Control",2009-09-11,19.7794117647059,20.3723474893006,0.366666666666667,0.939673772476314
"218","C",4,"Control",2010-08-20,20.5792682926829,22.3396162406381,0.397926829268293,1.10675003903363
"219","C",4,"Control",2011-09-26,18.9338235294118,20.641196383628,0.269411764705882,0.264743651583104
"220","C",4,"Control",2012-09-28,19.21875,20.3450151844903,0.26546875,0.281514778362536
"221","C",4,"Control",2013-09-30,18.5185185185185,19.732877211568,0.269074074074074,0.298153237279205
"222","C",4,"Control",2014-09-09,18.9709090909091,20.4249133490129,0.280909090909091,0.280618697072831
"223","C",4,"Control",2015-09-10,16.2794117647059,7.86233338239857,0.229705882352941,0.24739219324448
"224","C",4,"Control",2016-09-12,17.4885057471264,14.0854900211741,0.219195402298851,0.114670593854285
"225","C",4,"Control",2017-10-12,18.8181818181818,7.65715577953294,0.218636363636364,0.066066017094408
"226","C",4,"Control",2018-09-21,33.5855614973262,27.1572611546081,0.478983957219251,0.398219875990286
"227","C",4,"Control",2019-09-20,44.888,48.41424597008,0.62,0.630098481497569
"228","C",4,"Control",2021-09-13,57.1945945945946,80.4337086821311,0.771837837837838,0.981896941636595
