"Date","Plot","Cover_Fertilizer(g/m2/year)","total_SCF"
"10/9/2001",6,"unshaded_16",8.959
"10/9/2001",7,"shaded_50",7.437
"10/9/2001",7,"unshaded_50",7.17
"10/9/2001",8,"shaded_16",8.822
"10/9/2001",8,"unshaded_16",8.944
"10/9/2001",9,"shaded_50",8.283
"10/9/2001",9,"unshaded_50",7.141
"4/14/2003",1,"shaded_0",9.519
"4/14/2003",1,"unshaded_0",5.445
"4/14/2003",2,"shaded_50",6.738
"4/14/2003",2,"unshaded_50",3.872
"4/14/2003",3,"shaded_16",7.641
"4/14/2003",3,"unshaded_16",5.708
"4/14/2003",4,"shaded_0",7.466
"4/14/2003",4,"unshaded_0",4.549
"4/14/2003",5,"shaded_0",7.596
"4/14/2003",5,"unshaded_0",7.25
"4/14/2003",6,"shaded_16",8.735
"4/14/2003",6,"unshaded_16",8.218
"4/14/2003",7,"shaded_50",5.165
"4/14/2003",7,"unshaded_50",5.876
"4/14/2003",8,"shaded_16",6.427
"4/14/2003",8,"unshaded_16",6.27
"4/14/2003",9,"shaded_50",7.195
"4/14/2003",9,"unshaded_50",4.378
"4/15/2004",1,"shaded_0",5.874
"4/15/2004",1,"unshaded_0",3.011
"4/15/2004",2,"shaded_50",6.327
"4/15/2004",2,"unshaded_50",2.677
"4/15/2004",3,"shaded_16",5.562
"4/15/2004",3,"unshaded_16",4.477
"4/15/2004",4,"shaded_0",5.315
"4/15/2004",4,"unshaded_0",3.633
"4/15/2004",5,"shaded_0",4.894
"4/15/2004",5,"unshaded_0",3.898
"4/15/2004",6,"shaded_16",6.24
"4/15/2004",6,"unshaded_16",6.238
"4/15/2004",7,"shaded_50",3.325
"4/15/2004",7,"unshaded_50",3.346
"4/15/2004",8,"shaded_16",5.873
"4/15/2004",8,"unshaded_16",4.323
"4/15/2004",9,"shaded_50",4.316
"4/15/2004",9,"unshaded_50",2.743
"4/19/2002",1,"shaded_0",7.864
"4/19/2002",1,"unshaded_0",4.859
"4/19/2002",2,"shaded_50",9.502
"4/19/2002",2,"unshaded_50",6.972
"4/19/2002",3,"shaded_16",5.538
"4/19/2002",3,"unshaded_16",4.887
"4/19/2002",4,"shaded_0",9.374
"4/19/2002",4,"unshaded_0",7.076
"4/19/2002",5,"shaded_0",5.492
"4/19/2002",5,"unshaded_0",5.704
"4/19/2002",6,"shaded_16",9.036
"4/19/2002",6,"unshaded_16",8.947
"4/19/2002",7,"shaded_50",5.25
"4/19/2002",7,"unshaded_50",4.875
"4/19/2002",8,"shaded_16",7.035
"4/19/2002",8,"unshaded_16",8.329
"4/19/2002",9,"shaded_50",8.011
"4/19/2002",9,"unshaded_50",7.94
"4/24/2001",1,"shaded_0",8.037
"4/24/2001",1,"unshaded_0",7.157
"4/24/2001",2,"shaded_50",5.734
"4/24/2001",2,"unshaded_50",5.454
"4/24/2001",3,"shaded_16",8.702
"4/24/2001",3,"unshaded_16",5.854
"4/24/2001",4,"shaded_0",6.627
"4/24/2001",4,"unshaded_0",5.179
"4/24/2001",5,"shaded_0",6.165
"4/24/2001",5,"unshaded_0",5.283
"4/24/2001",6,"shaded_16",9.367
"4/24/2001",6,"unshaded_16",7.776
"4/24/2001",7,"shaded_50",4.873
"4/24/2001",7,"unshaded_50",7.365
"4/24/2001",8,"shaded_16",6.424
"4/24/2001",8,"unshaded_16",7.037
"4/24/2001",9,"shaded_50",5.771
"4/24/2001",9,"unshaded_50",9.088
"4/25/1999",1,"shaded_0",14.024
"4/25/1999",1,"unshaded_0",7.329
"4/25/1999",2,"shaded_50",8.021
"4/25/1999",2,"unshaded_50",8.765
"4/25/1999",3,"shaded_16",8.846
"4/25/1999",3,"unshaded_16",7.657
"4/25/1999",4,"shaded_0",9.195
"4/25/1999",4,"unshaded_0",7.394
"4/25/1999",5,"shaded_0",7.603
"4/25/1999",5,"unshaded_0",9.04
"4/25/1999",6,"shaded_16",8.379
"4/25/1999",6,"unshaded_16",8.305
"4/25/1999",7,"shaded_50",9.902
"4/25/1999",7,"unshaded_50",8.579
"4/25/1999",8,"shaded_16",8.291
"4/25/1999",8,"unshaded_16",7.085
"4/25/1999",9,"shaded_50",7.858
"4/25/1999",9,"unshaded_50",7.83
"4/29/2005",1,"shaded_0",7.139
"4/29/2005",1,"unshaded_0",3.551
"4/29/2005",2,"shaded_50",8.579
"4/29/2005",2,"unshaded_50",4.4
"4/29/2005",3,"shaded_16",5.125
"4/29/2005",3,"unshaded_16",5.585
"4/29/2005",4,"shaded_0",4.466
"4/29/2005",4,"unshaded_0",4.583
"4/29/2005",5,"shaded_0",4.248
"4/29/2005",5,"unshaded_0",4.034
"4/29/2005",6,"shaded_16",4.017
"4/29/2005",6,"unshaded_16",4.553
"4/29/2005",7,"shaded_50",3.886
"4/29/2005",7,"unshaded_50",5.354
"4/29/2005",8,"shaded_16",4.354
"4/29/2005",8,"unshaded_16",3.696
"4/29/2005",9,"shaded_50",4.555
"4/29/2005",9,"unshaded_50",5.114
"5/12/2003",1,"shaded_0",19.017
"5/12/2003",1,"unshaded_0",13.58
"5/12/2003",2,"shaded_50",17.386
"5/12/2003",2,"unshaded_50",19.408
"5/12/2003",3,"shaded_16",11.067
"5/12/2003",3,"unshaded_16",16.655
"5/12/2003",4,"shaded_0",19.765
"5/12/2003",4,"unshaded_0",16.032
"5/12/2003",5,"shaded_0",12.334
"5/12/2003",5,"unshaded_0",16.975
"5/12/2003",6,"shaded_16",21.981
"5/12/2003",6,"unshaded_16",24.922
"5/12/2003",7,"shaded_50",10.831
"5/12/2003",7,"unshaded_50",10.757
"5/12/2003",8,"shaded_16",10.254
"5/12/2003",8,"unshaded_16",15.662
"5/12/2003",9,"shaded_50",15.437
"5/12/2003",9,"unshaded_50",15.365
"5/13/1999",1,"shaded_0",17.609
"5/13/1999",1,"unshaded_0",15.139
"5/13/1999",2,"shaded_50",12.752
"5/13/1999",2,"unshaded_50",10.18
"5/13/1999",3,"shaded_16",14.478
"5/13/1999",3,"unshaded_16",8.775
"5/13/1999",4,"shaded_0",15.545
"5/13/1999",4,"unshaded_0",10.071
"5/13/1999",5,"shaded_0",11.872
"5/13/1999",5,"unshaded_0",12.688
"5/13/1999",6,"shaded_16",10.876
"5/13/1999",6,"unshaded_16",11.099
"5/13/1999",7,"shaded_50",8.165
"5/13/1999",7,"unshaded_50",9.754
"5/13/1999",8,"shaded_16",10.093
"5/13/1999",8,"unshaded_16",11.618
"5/13/1999",9,"shaded_50",8.771
"5/13/1999",9,"unshaded_50",12.467
"5/16/2000",1,"shaded_0",16.109
"5/16/2000",1,"unshaded_0",10.978
"5/16/2000",2,"shaded_50",8.028
"5/16/2000",2,"unshaded_50",9.241
"5/16/2000",3,"shaded_16",11.085
"5/16/2000",3,"unshaded_16",9.084
"5/16/2000",4,"shaded_0",11.864
"5/16/2000",4,"unshaded_0",8.498
"5/16/2000",5,"shaded_0",11.253
"5/16/2000",5,"unshaded_0",14.024
"5/16/2000",6,"shaded_16",11.471
"5/16/2000",6,"unshaded_16",11.776
"5/16/2000",7,"shaded_50",9.402
"5/16/2000",7,"unshaded_50",11.341
"5/16/2000",8,"shaded_16",6.285
"5/16/2000",8,"unshaded_16",10.265
"5/16/2000",9,"shaded_50",9.908
"5/16/2000",9,"unshaded_50",18.452
"5/16/2002",1,"shaded_0",15.635
"5/16/2002",1,"unshaded_0",13.393
"5/16/2002",2,"shaded_50",8.446
"5/16/2002",2,"unshaded_50",10.69
"5/16/2002",3,"shaded_16",10.174
"5/16/2002",3,"unshaded_16",12.61
"5/16/2002",4,"shaded_0",11.153
"5/16/2002",4,"unshaded_0",11.42
"5/16/2002",5,"shaded_0",10.468
"5/16/2002",5,"unshaded_0",11.742
"5/16/2002",6,"shaded_16",9.537
"5/16/2002",6,"unshaded_16",10.889
"5/16/2002",7,"shaded_50",5.713
"5/16/2002",7,"unshaded_50",9.748
"5/16/2002",8,"shaded_16",16.585
"5/16/2002",8,"unshaded_16",13.154
"5/16/2002",9,"shaded_50",8.177
"5/16/2002",9,"unshaded_50",8.151
"5/19/2004",1,"shaded_0",16.196
"5/19/2004",1,"unshaded_0",8.179
"5/19/2004",2,"shaded_50",17.09
"5/19/2004",2,"unshaded_50",8.473
"5/19/2004",3,"shaded_16",15.553
"5/19/2004",3,"unshaded_16",11.091
"5/19/2004",4,"shaded_0",10.872
"5/19/2004",4,"unshaded_0",6.555
"5/19/2004",5,"shaded_0",10.099
"5/19/2004",5,"unshaded_0",9.288
"5/19/2004",6,"shaded_16",12.415
"5/19/2004",6,"unshaded_16",16.93
"5/19/2004",7,"shaded_50",8.325
"5/19/2004",7,"unshaded_50",10.275
"5/19/2004",8,"shaded_16",12.225
"5/19/2004",8,"unshaded_16",11.088
"5/19/2004",9,"shaded_50",11.281
"5/19/2004",9,"unshaded_50",7.681
"5/31/2005",1,"shaded_0",13.256
"5/31/2005",1,"unshaded_0",18.037
"5/31/2005",2,"shaded_50",16.162
"5/31/2005",2,"unshaded_50",7.715
"5/31/2005",3,"shaded_16",14.026
"5/31/2005",3,"unshaded_16",14.306
"5/31/2005",4,"shaded_0",13.273
"5/31/2005",4,"unshaded_0",10.456
"5/31/2005",5,"shaded_0",11.991
"5/31/2005",5,"unshaded_0",10.519
"5/31/2005",6,"shaded_16",15.53
"5/31/2005",6,"unshaded_16",16.55
"5/31/2005",7,"shaded_50",8.836
"5/31/2005",7,"unshaded_50",15.145
"5/31/2005",8,"shaded_16",12.039
"5/31/2005",8,"unshaded_16",11.707
"5/31/2005",9,"shaded_50",12.386
"5/31/2005",9,"unshaded_50",13.606
"6/1/2001",1,"shaded_0",16.33
"6/1/2001",1,"unshaded_0",10.378
"6/1/2001",2,"shaded_50",14.372
"6/1/2001",2,"unshaded_50",9.666
"6/1/2001",3,"shaded_16",12.981
"6/1/2001",3,"unshaded_16",10.436
"6/1/2001",4,"shaded_0",12.345
"6/1/2001",4,"unshaded_0",8.34
"6/1/2001",5,"shaded_0",9.066
"6/1/2001",5,"unshaded_0",10.289
"6/1/2001",6,"shaded_16",12.662
"6/1/2001",6,"unshaded_16",10.986
"6/1/2001",7,"shaded_50",3.703
"6/1/2001",7,"unshaded_50",7.743
"6/1/2001",8,"shaded_16",11.366
"6/1/2001",8,"unshaded_16",9.554
"6/1/2001",9,"shaded_50",9.475
"6/1/2001",9,"unshaded_50",11.281
"6/13/2002",1,"shaded_0",28.287
"6/13/2002",1,"unshaded_0",26.751
"6/13/2002",2,"shaded_50",19.167
"6/13/2002",2,"unshaded_50",17.257
"6/13/2002",3,"shaded_16",19.39
"6/13/2002",3,"unshaded_16",19.854
"6/13/2002",4,"shaded_0",19.27
"6/13/2002",4,"unshaded_0",22.865
"6/13/2002",5,"shaded_0",18.063
"6/13/2002",5,"unshaded_0",21.031
"6/13/2002",6,"shaded_16",18.727
"6/13/2002",6,"unshaded_16",21.028
"6/13/2002",7,"shaded_50",13.729
"6/13/2002",7,"unshaded_50",15.961
"6/13/2002",8,"shaded_16",16.985
"6/13/2002",8,"unshaded_16",19.011
"6/13/2002",9,"shaded_50",14.885
"6/13/2002",9,"unshaded_50",17
"6/14/2000",1,"shaded_0",36.622
"6/14/2000",1,"unshaded_0",18.007
"6/14/2000",2,"shaded_50",22.349
"6/14/2000",2,"unshaded_50",17.592
"6/14/2000",3,"shaded_16",15.772
"6/14/2000",3,"unshaded_16",18.675
"6/14/2000",4,"shaded_0",21.603
"6/14/2000",4,"unshaded_0",20.019
"6/14/2000",5,"shaded_0",17.434
"6/14/2000",5,"unshaded_0",20.47
"6/14/2000",6,"shaded_16",18.745
"6/14/2000",6,"unshaded_16",19.396
"6/14/2000",7,"shaded_50",11.597
"6/14/2000",7,"unshaded_50",16.434
"6/14/2000",8,"shaded_16",14.803
"6/14/2000",8,"unshaded_16",15.693
"6/14/2000",9,"shaded_50",13.251
"6/14/2000",9,"unshaded_50",21.025
"6/28/2001",1,"shaded_0",29.687
"6/28/2001",1,"unshaded_0",18.91
"6/28/2001",2,"shaded_50",21.983
"6/28/2001",2,"unshaded_50",13.27
"6/28/2001",3,"shaded_16",19.353
"6/28/2001",3,"unshaded_16",16.193
"6/28/2001",4,"shaded_0",23.061
"6/28/2001",4,"unshaded_0",15.422
"6/28/2001",5,"shaded_0",16.032
"6/28/2001",5,"unshaded_0",29.708
"6/28/2001",6,"shaded_16",16.256
"6/28/2001",6,"unshaded_16",18.662
"6/28/2001",7,"shaded_50",13.004
"6/28/2001",7,"unshaded_50",12.29
"6/28/2001",8,"shaded_16",16.118
"6/28/2001",8,"unshaded_16",18.209
"6/28/2001",9,"shaded_50",19.425
"6/28/2001",9,"unshaded_50",17.825
"6/28/2005",1,"shaded_0",35.046
"6/28/2005",1,"unshaded_0",25.723
"6/28/2005",2,"shaded_50",32.729
"6/28/2005",2,"unshaded_50",18.947
"6/28/2005",3,"shaded_16",26.78
"6/28/2005",3,"unshaded_16",26.036
"6/28/2005",4,"shaded_0",23.4
"6/28/2005",4,"unshaded_0",20.263
"6/28/2005",5,"shaded_0",17.467
"6/28/2005",5,"unshaded_0",19.571
"6/28/2005",6,"shaded_16",26.251
"6/28/2005",6,"unshaded_16",32.553
"6/28/2005",7,"shaded_50",18.411
"6/28/2005",7,"unshaded_50",16.364
"6/28/2005",8,"shaded_16",21.581
"6/28/2005",8,"unshaded_16",25.085
"6/28/2005",9,"shaded_50",28.097
"6/28/2005",9,"unshaded_50",21.407
"6/7/2004",1,"shaded_0",21.162
"6/7/2004",1,"unshaded_0",13.156
"6/7/2004",2,"shaded_50",15.184
"6/7/2004",2,"unshaded_50",3.284
"6/7/2004",3,"shaded_16",19.649
"6/7/2004",3,"unshaded_16",8.551
"6/7/2004",4,"shaded_0",19.658
"6/7/2004",4,"unshaded_0",8.754
"6/7/2004",5,"shaded_0",14.27
"6/7/2004",5,"unshaded_0",14.53
"6/7/2004",6,"shaded_16",16.975
"6/7/2004",6,"unshaded_16",24.04
"6/7/2004",7,"shaded_50",13.209
"6/7/2004",7,"unshaded_50",22.046
"6/7/2004",8,"shaded_16",19.349
"6/7/2004",8,"unshaded_16",15.224
"6/7/2004",9,"shaded_50",20.553
"6/7/2004",9,"unshaded_50",19.401
"6/8/1999",1,"shaded_0",29.463
"6/8/1999",1,"unshaded_0",30.116
"6/8/1999",2,"shaded_50",21.366
"6/8/1999",2,"unshaded_50",26.425
"6/8/1999",3,"shaded_16",26.327
"6/8/1999",3,"unshaded_16",24.407
"6/8/1999",4,"shaded_0",30.448
"6/8/1999",4,"unshaded_0",25.676
"6/8/1999",5,"shaded_0",22.718
"6/8/1999",5,"unshaded_0",26.595
"6/8/1999",6,"shaded_16",24.333
"6/8/1999",6,"unshaded_16",26.619
"6/8/1999",7,"shaded_50",14.267
"6/8/1999",7,"unshaded_50",18.372
"6/8/1999",8,"shaded_16",21.022
"6/8/1999",8,"unshaded_16",23.534
"6/8/1999",9,"shaded_50",22.614
"6/8/1999",9,"unshaded_50",28.28
"6/8/2004",2,"shaded_50",9.093
"6/8/2004",2,"unshaded_50",11.276
"6/8/2004",3,"unshaded_16",10.942
"6/8/2004",4,"unshaded_0",6.954
"6/8/2004",8,"unshaded_16",3.805
"6/9/2003",1,"shaded_0",22.71
"6/9/2003",1,"unshaded_0",29.018
"6/9/2003",2,"shaded_50",21.644
"6/9/2003",2,"unshaded_50",17.562
"6/9/2003",3,"shaded_16",18.359
"6/9/2003",3,"unshaded_16",15.076
"6/9/2003",4,"shaded_0",17.748
"6/9/2003",4,"unshaded_0",20.959
"6/9/2003",5,"shaded_0",16.383
"6/9/2003",5,"unshaded_0",18.074
"6/9/2003",6,"shaded_16",20.003
"6/9/2003",6,"unshaded_16",20.848
"6/9/2003",7,"shaded_50",15.735
"6/9/2003",7,"unshaded_50",16.794
"6/9/2003",8,"shaded_16",17.04
"6/9/2003",8,"unshaded_16",18.412
"6/9/2003",9,"shaded_50",15.087
"6/9/2003",9,"unshaded_50",23.58
"7/12/2000",1,"shaded_0",44.454
"7/12/2000",1,"unshaded_0",35.48
"7/12/2000",2,"shaded_50",45.289
"7/12/2000",2,"unshaded_50",22.437
"7/12/2000",3,"shaded_16",28.737
"7/12/2000",3,"unshaded_16",33.339
"7/12/2000",4,"shaded_0",35.624
"7/12/2000",4,"unshaded_0",28.031
"7/12/2000",5,"shaded_0",30.784
"7/12/2000",5,"unshaded_0",33.36
"7/12/2000",6,"shaded_16",32.377
"7/12/2000",6,"unshaded_16",29.691
"7/12/2000",7,"shaded_50",22.363
"7/12/2000",7,"unshaded_50",21.753
"7/12/2000",8,"shaded_16",31.34
"7/12/2000",8,"unshaded_16",25.776
"7/12/2000",9,"shaded_50",24.511
"7/12/2000",9,"unshaded_50",31.314
"7/16/2002",1,"shaded_0",34.852
"7/16/2002",1,"unshaded_0",24.501
"7/16/2002",2,"shaded_50",29.006
"7/16/2002",2,"unshaded_50",24.326
"7/16/2002",3,"shaded_16",27.296
"7/16/2002",3,"unshaded_16",20.759
"7/16/2002",4,"shaded_0",26.598
"7/16/2002",4,"unshaded_0",23.247
"7/16/2002",5,"shaded_0",22.28
"7/16/2002",5,"unshaded_0",22.844
"7/16/2002",6,"shaded_16",22.031
"7/16/2002",6,"unshaded_16",29.072
"7/16/2002",7,"shaded_50",20.707
"7/16/2002",7,"unshaded_50",18.79
"7/16/2002",8,"shaded_16",14.506
"7/16/2002",8,"unshaded_16",21.749
"7/16/2002",9,"shaded_50",22.607
"7/16/2002",9,"unshaded_50",22.057
"7/16/2003",1,"shaded_0",28.148
"7/16/2003",1,"unshaded_0",39.465
"7/16/2003",2,"shaded_50",26.604
"7/16/2003",2,"unshaded_50",19.221
"7/16/2003",3,"shaded_16",21.828
"7/16/2003",3,"unshaded_16",26.781
"7/16/2003",4,"shaded_0",26.772
"7/16/2003",4,"unshaded_0",26.006
"7/16/2003",5,"shaded_0",22.088
"7/16/2003",5,"unshaded_0",25.905
"7/16/2003",6,"shaded_16",27.81
"7/16/2003",6,"unshaded_16",28.187
"7/16/2003",7,"shaded_50",20.961
"7/16/2003",7,"unshaded_50",16.782
"7/16/2003",8,"shaded_16",21.501
"7/16/2003",8,"unshaded_16",17.858
"7/16/2003",9,"shaded_50",22.095
"7/16/2003",9,"unshaded_50",29.882
"7/17/2001",1,"shaded_0",55.69
"7/17/2001",1,"unshaded_0",29.65
"7/17/2001",2,"shaded_50",54.187
"7/17/2001",2,"unshaded_50",34.46
"7/17/2001",3,"shaded_16",44.074
"7/17/2001",3,"unshaded_16",47.648
"7/17/2001",4,"shaded_0",59.468
"7/17/2001",4,"unshaded_0",32.38
"7/17/2001",5,"shaded_0",21.707
"7/18/2001",5,"shaded_0",17.796
"7/18/2001",5,"unshaded_0",30.361
"7/18/2001",6,"shaded_16",44.513
"7/18/2001",6,"unshaded_16",29.434
"7/18/2001",7,"shaded_50",49.142
"7/18/2001",7,"unshaded_50",23.73
"7/18/2001",8,"shaded_16",36.986
"7/18/2001",8,"unshaded_16",28.316
"7/18/2001",9,"shaded_50",31.613
"7/18/2001",9,"unshaded_50",30.056
"7/19/2000",1,"shaded_0",32.27
"7/19/2000",1,"unshaded_0",16.08
"7/19/2000",2,"shaded_50",25.031
"7/19/2000",2,"unshaded_50",18.192
"7/19/2000",3,"shaded_16",28.971
"7/19/2000",3,"unshaded_16",22.35
"7/19/2000",4,"shaded_0",34.645
"7/19/2000",4,"unshaded_0",17.565
"7/19/2000",5,"shaded_0",27.552
"7/19/2000",5,"unshaded_0",16.899
"7/19/2000",6,"shaded_16",36.313
"7/19/2000",6,"unshaded_16",17.99
"7/19/2000",7,"shaded_50",24.361
"7/19/2000",7,"unshaded_50",12.437
"7/19/2000",8,"shaded_16",22.766
"7/19/2000",8,"unshaded_16",15.755
"7/19/2000",9,"shaded_50",31.362
"7/19/2000",9,"unshaded_50",24.088
"7/25/2001",1,"shaded_0",35.21
"7/25/2001",1,"unshaded_0",37.223
"7/25/2001",2,"shaded_50",30.169
"7/25/2001",2,"unshaded_50",19.825
"7/25/2001",3,"shaded_16",35.875
"7/25/2001",3,"unshaded_16",32.959
"7/25/2001",4,"shaded_0",34.121
"7/25/2001",4,"unshaded_0",28.718
"7/25/2001",5,"shaded_0",24.661
"7/25/2001",5,"unshaded_0",40.277
"7/25/2001",6,"shaded_16",26.352
"7/25/2001",6,"unshaded_16",28.174
"7/25/2001",7,"shaded_50",13.973
"7/25/2001",7,"unshaded_50",16.146
"7/25/2001",8,"shaded_16",22.786
"7/25/2001",8,"unshaded_16",27.508
"7/25/2001",9,"shaded_50",26.658
"7/25/2001",9,"unshaded_50",21.866
"7/27/2005",1,"shaded_0",38.955
"7/27/2005",1,"unshaded_0",28.402
"7/27/2005",2,"shaded_50",33.417
"7/27/2005",2,"unshaded_50",16.385
"7/27/2005",3,"shaded_16",23.834
"7/27/2005",3,"unshaded_16",24.924
"7/27/2005",4,"shaded_0",23.069
"7/27/2005",4,"unshaded_0",24.703
"7/27/2005",5,"shaded_0",18.681
"7/27/2005",5,"unshaded_0",25.51
"7/27/2005",6,"shaded_16",21.666
"7/27/2005",6,"unshaded_16",22.549
"7/27/2005",7,"shaded_50",11.954
"7/27/2005",7,"unshaded_50",15.426
"7/27/2005",8,"shaded_16",18.882
"7/27/2005",8,"unshaded_16",17.328
"7/27/2005",9,"shaded_50",18.208
"7/27/2005",9,"unshaded_50",13.918
"7/29/1999",1,"shaded_0",34.268
"7/29/1999",1,"unshaded_0",43.547
"7/29/1999",2,"shaded_50",23.12
"7/29/1999",2,"unshaded_50",24.48
"7/29/1999",3,"shaded_16",22.962
"7/29/1999",3,"unshaded_16",28.032
"7/29/1999",4,"shaded_0",17.713
"7/29/1999",4,"unshaded_0",32.291
"7/29/1999",5,"shaded_0",26.291
"7/29/1999",5,"unshaded_0",32.673
"7/29/1999",6,"shaded_16",25.242
"7/29/1999",6,"unshaded_16",27.944
"7/29/1999",7,"shaded_50",18.443
"7/29/1999",7,"unshaded_50",22.437
"7/29/1999",8,"shaded_16",19.156
"7/29/1999",8,"unshaded_16",26.67
"7/29/1999",9,"shaded_50",20.307
"7/29/1999",9,"unshaded_50",28.423
"7/6/1999",1,"shaded_0",33.94
"7/6/1999",1,"unshaded_0",33.04
"7/6/1999",2,"shaded_50",22.029
"7/6/1999",2,"unshaded_50",31.889
"7/6/1999",3,"shaded_16",24.293
"7/6/1999",3,"unshaded_16",21.438
"7/6/1999",4,"shaded_0",25.847
"7/6/1999",4,"unshaded_0",25.905
"7/6/1999",5,"shaded_0",23.289
"7/6/1999",5,"unshaded_0",26.874
"7/6/1999",6,"shaded_16",20.309
"7/6/1999",6,"unshaded_16",21.869
"7/6/1999",7,"shaded_50",18.846
"7/6/1999",7,"unshaded_50",26.459
"7/6/1999",8,"shaded_16",19.841
"7/6/1999",8,"unshaded_16",24.693
"7/6/1999",9,"shaded_50",20.647
"7/6/1999",9,"unshaded_50",27.095
"8/17/2004",1,"shaded_0",34.687
"8/17/2004",1,"unshaded_0",18.945
"8/17/2004",2,"shaded_50",29.27
"8/17/2004",2,"unshaded_50",14.377
"8/17/2004",3,"shaded_16",18.935
"8/17/2004",3,"unshaded_16",18.33
"8/17/2004",4,"shaded_0",16.36
"8/17/2004",4,"unshaded_0",17.839
"8/17/2004",5,"shaded_0",20.315
"8/17/2004",5,"unshaded_0",17.849
"8/17/2004",6,"shaded_16",19.155
"8/17/2004",6,"unshaded_16",26.823
"8/17/2004",7,"shaded_50",17.291
"8/17/2004",7,"unshaded_50",20.186
"8/17/2004",8,"shaded_16",24.471
"8/17/2004",8,"unshaded_16",15.741
"8/17/2004",9,"shaded_50",21.871
"8/17/2004",9,"unshaded_50",20.23
"8/18/2003",1,"shaded_0",31.62
"8/18/2003",1,"unshaded_0",16.776
"8/18/2003",2,"shaded_50",25.024
"8/18/2003",2,"unshaded_50",11.052
"8/18/2003",3,"shaded_16",19.361
"8/18/2003",3,"unshaded_16",18.611
"8/18/2003",4,"shaded_0",15.52
"8/18/2003",4,"unshaded_0",12.53
"8/18/2003",5,"shaded_0",16.334
"8/18/2003",5,"unshaded_0",14.088
"8/18/2003",6,"shaded_16",17.518
"8/18/2003",6,"unshaded_16",19.453
"8/18/2003",7,"shaded_50",11.605
"8/18/2003",7,"unshaded_50",11.795
"8/18/2003",8,"shaded_16",16.729
"8/18/2003",8,"unshaded_16",17.824
"8/18/2003",9,"shaded_50",16.486
"8/18/2003",9,"unshaded_50",10.105
"8/18/2004",4,"shaded_0",4.948
"8/20/2002",1,"shaded_0",29.139
"8/20/2002",1,"unshaded_0",24.103
"8/20/2002",2,"shaded_50",19.304
"8/20/2002",2,"unshaded_50",15.951
"8/20/2002",3,"shaded_16",19.551
"8/20/2002",3,"unshaded_16",17.151
"8/20/2002",4,"shaded_0",20.605
"8/20/2002",4,"unshaded_0",22.274
"8/20/2002",5,"shaded_0",20.474
"8/20/2002",5,"unshaded_0",22.846
"8/20/2002",6,"shaded_16",17.978
