"Year","Field_Plot","NAdd","total_Carpercent"
1989,"C_40",17,1.318
1989,"C_41",0,3.249
1989,"C_42",1.02,1.438
1989,"C_43",0,1.712
1989,"C_44",27.2,1.978
1989,"C_45",3.4,1.559
1989,"C_46",3.4,1.625
1989,"C_47",0,1.463
1989,"C_48",17,1.963
1989,"C_49",5.44,2.389
1989,"C_5",3.4,2.044
1989,"C_50",3.4,2.282
1989,"C_51",27.2,2.371
1989,"C_52",9.52,5.813
1989,"C_53",0,2.06
1989,"C_54",0,1.645
1989,"C_6",5.44,2.985
1989,"C_7",2.04,1.739
1989,"C_8",0,1.998
1989,"C_9",9.52,2.45
1993,"C_1",9.52,2.413
1993,"C_10",3.4,2.36
1993,"C_11",1.02,1.586
1993,"C_12",17,2.648
1993,"C_13",9.52,2.271
1993,"C_14",5.44,2.817
1993,"C_15",27.2,2.181
1993,"C_16",5.44,2.264
1993,"C_17",1.02,2.473
1993,"C_18",0,1.888
1993,"C_19",3.4,3.991
1993,"C_2",2.04,4.375
1993,"C_20",2.04,1.967
1993,"C_21",27.2,1.816
1993,"C_22",17,2.927
1993,"C_23",27.2,2.282
1993,"C_24",9.52,2.736
1993,"C_25",17,2.54
1993,"C_26",0,2.3
1993,"C_27",1.02,1.92
1993,"C_28",0,1.784
1993,"C_29",27.2,1.902
1993,"C_3",17,1.98
1993,"C_30",0,3.27
1993,"C_31",9.52,2.225
1993,"C_32",2.04,2.262
1993,"C_33",0,3.797
1993,"C_34",2.04,2.059
1993,"C_35",5.44,1.861
1993,"C_36",2.04,2.231
1993,"C_37",1.02,1.784
1993,"C_38",5.44,0.828
1993,"C_39",0,2.026
1993,"C_4",1.02,2.063
1993,"C_40",17,2.316
1993,"C_41",0,1.488
1993,"C_42",1.02,1.826
1993,"C_43",0,2.626
1993,"C_44",27.2,1.757
1993,"C_45",3.4,2.404
1993,"C_46",3.4,1.687
1993,"C_47",0,2.344
1993,"C_48",17,2.079
1993,"C_49",5.44,2.667
1993,"C_5",3.4,1.769
1993,"C_50",3.4,4.802
1993,"C_51",27.2,2.759
1993,"C_52",9.52,5.303
1993,"C_53",0,1.644
1993,"C_54",0,1.557
1993,"C_6",5.44,1.901
1993,"C_7",2.04,1.874
1993,"C_8",0,2.085
1993,"C_9",9.52,2.35
2009,"C_1",9.52,1.014
2009,"C_10",3.4,1.033
2009,"C_11",1.02,1.014
2009,"C_12",17,1.49
2009,"C_13",9.52,0.946
2009,"C_14",5.44,0.84
2009,"C_15",27.2,0.871
2009,"C_16",5.44,0.95
2009,"C_17",1.02,0.773
2009,"C_18",0,0.745
2009,"C_19",3.4,1.005
2009,"C_2",2.04,0.786
2009,"C_20",2.04,0.669
2009,"C_21",27.2,0.802
2009,"C_22",17,1.255
2009,"C_23",27.2,1.254
2009,"C_24",9.52,0.896
2009,"C_25",17,0.881
2009,"C_26",0,0.743
2009,"C_27",1.02,0.614
2009,"C_28",0,0.637
2009,"C_29",27.2,0.909
2009,"C_3",17,0.895
2009,"C_30",0,0.621
2009,"C_31",9.52,0.852
2009,"C_32",2.04,0.724
2009,"C_33",0,0.67
2009,"C_34",2.04,0.76
2009,"C_35",5.44,0.749
2009,"C_36",2.04,0.74
2009,"C_37",1.02,1.116
2009,"C_38",5.44,0.884
2009,"C_39",0,0.679
2009,"C_4",1.02,1.035
2009,"C_40",17,0.928
2009,"C_41",0,0.809
2009,"C_42",1.02,0.786
2009,"C_43",0,0.99
2009,"C_44",27.2,1.302
2009,"C_45",3.4,0.949
2009,"C_46",3.4,0.868
2009,"C_47",0,0.772
2009,"C_48",17,0.73
2009,"C_49",5.44,0.936
2009,"C_5",3.4,1
2009,"C_50",3.4,0.857
2009,"C_51",27.2,0.967
2009,"C_52",9.52,1.027
2009,"C_53",0,0.777
2009,"C_54",0,0.506
2009,"C_6",5.44,1.069
2009,"C_7",2.04,0.859
2009,"C_8",0,1.064
2009,"C_9",9.52,1.203
2011,"B_1",0,0.804
2011,"B_10",1.02,0.524
2011,"B_12",0,1.163
2011,"B_13",1.02,0.688
2011,"B_15",17,0.953
2011,"B_16",9.52,0.749
2011,"B_17",0,0.6
2011,"B_19",9.52,0.823
2011,"B_2",3.4,0.575
2011,"B_20",2.04,0.801
2011,"B_21",0,0.759
2011,"B_22",28.2,1.016
2011,"B_23",2.04,0.498
2011,"B_24",3.4,0.547
2011,"B_25",2.04,1.114
2011,"B_26",1.02,1.374
2011,"B_27",5.44,0.744
2011,"B_28",2.04,0.522
2011,"B_29",9.52,0.663
2011,"B_3",28.2,0.766
2011,"B_30",5.44,0.586
2011,"B_31",1.02,0.595
2011,"B_32",9.52,0.756
2011,"B_33",0,0.577
2011,"B_34",0,0.665
2011,"B_35",0,0.559
2011,"B_36",3.4,0.55
2011,"B_37",0,0.645
2011,"B_38",3.4,0.576
2011,"B_39",28.2,0.78
2011,"B_40",1.02,0.821
2011,"B_41",3.4,0.613
2011,"B_42",17,0.803
2011,"B_43",2.04,0.61
2011,"B_44",28.2,0.545
2011,"B_45",5.44,1.032
2011,"B_46",5.44,0.586
2011,"B_47",28.2,1.53
2011,"B_48",2.04,0.603
2011,"B_49",1.02,0.637
2011,"B_5",5.44,1.495
2011,"B_50",17,0.706
2011,"B_51",9.52,0.591
2011,"B_52",0,0.479
2011,"B_53",17,0.989
2011,"B_54",0,0.569
2011,"B_6",0,0.53
2011,"B_7",9.52,0.645
2011,"B_9",5.44,0.61
