"Block_Plot","DATE","YEAR_mean","YEAR_sd","Reported_CO2_Flux_ug_C_cm-2_hr-1_mean","Reported_CO2_Flux_ug_C_cm-2_hr-1_sd","Reported_CH4_Flux_ng_C_cm-2_hr-1_mean","Reported_CH4_Flux_ng_C_cm-2_hr-1_sd","Reported_N2O_Flux_ng_N_cm-2_hr-1_mean","Reported_N2O_Flux_ng_N_cm-2_hr-1_sd"
"A-1",2004-07-29,2004,0,19.456,3.31328085136168,2.62,5.85849810104945,0,0
"A-1",2004-08-27,2004,0,19.968,8.56119559407446,-1.228,1.68744481391244,0.072,0.160996894379985
"A-1",2004-09-23,2004,0,19.946,4.83064488448489,2.714,6.06868849093443,0.414,0.578774567513121
"A-1",2004-10-28,2004,0,14.598,5.07686615935461,-0.232,0.518767770779951,0.08,0.576194411635517
"A-1",2004-11-18,2004,0,13.852,6.83635648573127,13.248,22.0030990998995,0.352,0.521075810223426
"A-1",2004-12-17,2004,0,11.3,4.88562176186409,0,0,-0.424,0.948092822459911
"A-1",2005-01-27,2005,0,9.526,2.72454216337351,0,0,0.15,0.335410196624968
"A-1",2005-02-24,2005,0,8.612,3.25929747031473,1.106,2.47309118311477,1.448,3.2378264314197
"A-1",2005-03-21,2005,0,17.022,5.73980139029218,-2.008,2.01934890496912,0.14,0.313049516849971
"A-1",2005-05-02,2005,0,13.32,3.31089866954578,-3.256,6.23303136523474,0.316,0.706597480889934
"A-1",2005-05-27,2005,0,18.084,8.74765282804479,-1.826,2.14599161228557,0.226,0.505351362914952
"A-1",2005-06-27,2005,0,27.446,20.5728821510259,0,0,-0.018,1.0362046129988
"A-1",2005-08-24,2005,0,21.444,8.44533776707599,-1.86,3.43045186527956,0.402,0.898899326954915
"A-1",2005-09-30,2005,0,10.298,4.95946771337409,0,0,0.91,1.76360426400029
"A-1",2005-10-21,2005,0,16.208,9.78100046007565,1.572,5.54054780685087,1.992,4.45424741117958
"A-1",2005-11-17,2005,0,14.414,2.80533955164076,-0.422,0.943620686504911,0.728,1.01917613786823
"A-1",2006-01-27,2006,0,13.32,4.35321145822254,0.538,1.69254837449333,0.56,1.25219806739988
"A-1",2006-02-23,2006,0,14.77,4.0206653678216,22.454,44.174084936759,0.628,1.40425068986987
"A-1",2006-03-23,2006,0,13.696,3.3960020612479,-1.71,2.3984995309568,0.354,0.791568064034926
"A-1",2006-04-21,2006,0,21.388,9.34038917818738,-5.882,8.28954884176455,0.276,0.617154761789942
"A-1",2006-05-18,2006,0,39.094,6.25647105004091,40.8,59.9469878309161,5.46,8.95862433635879
"A-1",2006-06-22,2006,0,15.508,6.72015401609219,0,0,0,0
"A-1",2006-07-20,2006,0,20.848,7.26936517173267,0,0,-0.18,0.402492235949962
"A-1",2006-08-24,2006,0,21.218,8.14789359282508,-1.184,1.6247245920463,-0.118,0.263856021344975
"A-1",2006-09-20,2006,0,18.974,3.88556688270837,-0.562,2.19356331114468,0.882,1.22939822677601
"A-1",2006-10-26,2006,0,19.974,8.85091690165488,3.016,11.5880900065541,0.38,0.84970583144992
"A-1",2006-11-17,2006,0,11.852,3.94014847435982,0,0,0.826,1.55784466491368
"A-1",2006-12-20,2006,0,12.942,4.29513911299739,20.182,35.9438349373018,0.268,0.599266217969944
"A-1",2007-01-26,2007,0,7.878,5.13349491087699,-1.49,3.33174128647469,1.67,3.66199399234898
"A-1",2007-02-22,2007,0,7.774,2.18522996501512,-0.852,1.90512991682982,0.162,0.362243012354966
"A-1",2007-03-22,2007,0,6.402,2.67498971960641,0,0,0.04,0.395790348543266
"A-1",2007-04-26,2007,0,8.888,10.9380514718116,0,0,0.202,0.451685731454958
"A-1",2007-05-24,2007,0,10.7025,3.51941638154207,0,0,-0.41,2.46104313926703
"A-1",2007-06-21,2007,0,12.508,1.07810945640969,-1.394,3.11707876063471,0.274,0.378919516520329
"A-1",2007-07-20,2007,0,12.606,4.22147841401564,-0.718,2.70577530478789,0,0
"A-1",2007-08-24,2007,0,13.806,3.25874669159786,-0.864,2.47945155225909,0,0
"A-1",2007-09-20,2007,0,12.654,3.07704891088848,-0.65,0.915805656239357,0,0
"A-1",2007-10-18,2007,0,12.45,2.55532776762591,0.0140000000000001,6.57258548822303,-0.682,1.52499836065486
"A-1",2007-11-16,2007,0,7.438,1.24768585789853,-2.222,4.96854304600453,-0.51,1.14039466852489
"A-1",2007-12-20,2007,0,9.79,2.99574142186315,-3.4075,6.815,-0.75,1.5
"A-1",2008-01-24,2008,0,9.156,5.35403399316814,4.208,9.40937404931911,0,0
"A-1",2008-02-20,2008,0,10.9625,2.96519111244677,42.37,84.74,0,0
"A-1",2008-04-03,2008,0,3.835,0.445477272147525,-2.8,3.95979797464467,0,0
"A-1",2008-04-24,2008,0,20.17,5.63149180945866,0,0,0,0
"A-1",2008-05-23,2008,0,12.09,4.61541439092959,0,0,0.218,0.487462819094954
"A-1",2008-06-26,2008,0,15.698,1.71040053788579,-0.792,1.77096583817983,0.156,0.348826604489967
"A-1",2008-07-24,2008,0,13.476,3.85240574187092,-1.476,3.30043633478969,0.074,0.165469030334984
"A-1",2008-08-28,2008,0,16.842,4.28923303167361,0,0,0,0
"A-1",2008-09-20,2008,0,13.435,1.66738317931622,-2.865,5.73,3.0675,6.43849555408715
"A-1",2008-10-23,2008,0,9.366,3.84730165180741,-1.502,3.35857410220468,0,0
"A-1",2008-11-20,2008,0,8.59,2.15556257158079,0,0,-0.264,0.590321946059944
"A-1",2008-12-18,2008,0,8.344,7.64705695022601,0,0,0,0
"A-1",2009-01-22,2009,0,8.48,3.52744477868423,0,0,0,0
"A-1",2009-02-26,2009,0,11.028,1.96033670577276,0,0,0.544,0.746545377053532
"A-1",2009-03-26,2009,0,9.465,3.549483530506,1.725,3.45,0.015,1.06975074978551
"A-1",2009-04-21,2009,0,5.728,2.60322300235689,-2.456,2.59443250056732,-0.264,0.590321946059944
"A-1",2009-05-21,2009,0,7.344,5.31243635255991,0,0,0.062,0.138636214604987
"A-1",2009-06-20,2009,0,14,8.3057660694243,0,0,-0.892,1.71372985035565
"A-1",2009-07-20,2009,0,15.464,4.55478100461482,-0.942,2.1063760348048,0.234,0.34348216838724
"A-1",2009-08-20,2009,0,17.71,8.62569417496354,-0.906,1.82608324016185,0.242,0.541128450554949
"A-1",2009-09-20,2009,0,9.636,5.01613197593524,21.878,42.8075918500445,70.698,158.08553387328
"A-1",2009-10-20,2009,0,10.576,4.31794279721258,1.336,3.42807234462752,0.398,0.682656575446249
"A-1",2009-12-20,2009,0,9.83,4.54007158533872,-0.848,1.89618564491982,0,0
"A-2",2003-01-22,2003,0,14.5275,2.92997582470118,0,0,0,0
"A-2",2003-02-21,2003,0,14.6,10.6978338928963,9.518,21.282895009843,-0.712,0.996278073632056
"A-2",2003-03-20,2003,0,9.988,4.5896808167889,0,0,0,0
"A-2",2003-04-21,2003,0,7.03,NA,0,NA,0,NA
"A-2",2003-05-23,2003,0,10.192,5.02223257127744,-3.46,6.22026928677529,-1.016,0.899294167667065
"A-2",2003-06-26,2003,0,14.62,7.8746174510258,4.428,9.90130900436907,0,0
"A-2",2003-08-04,2003,0,15.466,5.16051644702349,0.556,1.24325379548988,0,0
"A-2",2003-08-27,2003,0,13.812,4.82892016914755,2.724,6.09104917070943,-0.56,1.25219806739988
"A-2",2003-09-25,2003,0,21.574,16.3218558993761,0.312,0.697653208979934,0.99,0.929462210097861
"A-2",2003-10-30,2003,0,9.204,4.97406071535119,2.708,6.05527208306943,2.636,3.73178643547564
"A-2",2003-11-28,2003,0,8.564,2.23053356845397,2.254,3.48704459392191,0,0
"A-2",2003-12-22,2003,0,9.292,5.03969443518156,0,0,0,0
"A-2",2004-01-30,2004,0,13.562,9.31658843139483,-1.552,4.55020548986527,4.468,11.2484296681804
"A-2",2004-02-26,2004,0,7.148,3.0119877157784,1.068,5.51487715185026,0.46,1.0285912696499
"A-2",2004-03-26,2004,0,11.752,3.65636021201413,6.43,14.3779170953236,0.796,1.2915997832146
"A-2",2004-04-30,2004,0,11.958,4.97667760659659,0.17,0.380131556174964,0.434,0.970453502234909
"A-2",2004-05-26,2004,0,20.938,8.98225027484761,647.552,1366.59749748051,2.298,2.41553720733091
"A-2",2004-06-25,2004,0,14.214,4.8357760494051,0.96,1.6935318125149,0.496,1.07697725138463
"A-2",2004-07-29,2004,0,18.158,1.72270717186642,296.252,654.319601051352,0.716,0.727481958539179
"A-2",2004-08-27,2004,0,11.94,6.02085126871608,8.546,21.091180147161,-0.16,0.357770876399966
"A-2",2004-09-23,2004,0,16.542,9.26314039621553,274.15,546.891010302784,2.016,3.21269824291047
"A-2",2004-10-28,2004,0,10.296,2.81941128606665,1.888,4.2216963415196,0,0
"A-2",2004-11-18,2004,0,11.968,5.01603129974286,4756.114,9518.43806589768,2.426,1.47923290931482
"A-2",2004-12-17,2004,0,11.64,8.76124420387881,41.51,71.2293910545359,0.044,0.358650247455651
"A-2",2005-01-27,2005,0,11.58,4.96961266096262,561.144,756.429892805672,1.014,1.5348224653034
"A-2",2005-02-24,2005,0,8.84,5.63740484029073,6.4175,12.835,0.2875,0.575
"A-2",2005-03-21,2005,0,13.185,5.83586897271235,-3.3375,2.3822031119673,6.1975,8.33559585952518
"A-2",2005-05-02,2005,0,12.272,7.36309853254729,-1.194,2.66986516513475,2.126,3.10199613152563
"A-2",2005-05-27,2005,0,17.975,6.5357912043353,220.85,439.642413104104,4.1,3.91367687305259
"A-2",2005-06-27,2005,0,18.072,6.17945952329166,0,0,2.696,0.890522318642267
"A-2",2005-08-24,2005,0,18.554,5.94689666969252,77.768,173.894534474204,1.026,1.4907313641297
"A-2",2005-09-30,2005,0,14.444,6.32322148908292,3.684,3.57284620435865,1.848,2.16045597039144
"A-2",2005-10-21,2005,0,16.0425,9.8483141535324,31.1975,36.4386172212942,1.6225,1.31591223111574
"A-2",2005-11-17,2005,0,16.724,6.81256779782778,329.206,303.531565129559,2.758,2.14335484696305
"A-2",2006-01-27,2006,0,12.738,4.4233437578375,13.886,9.48875281583412,2.592,2.35221597647835
"A-2",2006-02-23,2006,0,16.29,5.04800455625785,237.272,301.199885657349,2.836,1.35898123607355
"A-2",2006-03-23,2006,0,11.696,2.46602514180209,5.684,12.7098103841088,6.174,4.01005361560167
"A-2",2006-04-21,2006,0,16.964,6.27048084280624,4.9,13.4341709829822,6.186,7.09588824601966
"A-2",2006-05-18,2006,0,22.922,14.3192115704741,104.482,182.701948730713,6.842,9.40346585041919
"A-2",2006-06-22,2006,0,13.264,4.97327658591396,-1.342,3.00080322580472,2.218,3.8470859101403
"A-2",2006-07-20,2006,0,15.638,10.9167243255475,5.582,12.4817314504038,1.274,1.53338840480812
"A-2",2006-08-24,2006,0,18.085,10.194784614367,-1.23,2.46,2.73,1.43942117996552
"A-2",2006-09-20,2006,0,22.282,13.3587525615231,-0.59,1.31928010672488,6.036,9.15231555400053
"A-2",2006-10-26,2006,0,13.644,5.99006928173623,0,0,1.552,1.78313487992356
"A-2",2006-11-17,2006,0,16.59,13.7198724483867,0,0,0.992,2.72450362451585
"A-2",2006-12-20,2006,0,9.975,3.16072249124574,0,0,1.998,1.90832911207685
"A-2",2007-01-26,2007,0,8.09,1.78794574861767,15.888,26.0907084993873,1.814,1.57972465955305
"A-2",2007-02-22,2007,0,8.72,6.17025526214273,-1.314,2.93819332243472,2.604,3.72812016973702
"A-2",2007-03-22,2007,0,11.424,6.37398462502068,-0.698,1.56077544829485,2.56,2.74376566054756
"A-2",2007-04-26,2007,0,10.715,5.38108260482963,-2.52,3.5638181771802,0.53,1.58391918985787
"A-2",2007-05-24,2007,0,19.734,6.85969605740662,-0.53,1.18511602807489,5.004,8.28857526961057
"A-2",2007-06-21,2007,0,15.542,7.33410321716295,1.322,3.27221943029498,0.216,0.340998533721188
"A-2",2007-07-20,2007,0,11.326,1.57293674380122,-3.146,5.90177769828719,-0.25,0.559016994374947
"A-2",2007-08-24,2007,0,12.83,6.55666836129448,0,0,0.354,0.500279921643873
"A-2",2007-09-20,2007,0,14.432,6.9063029183493,0,0,0.364,0.813928743809924
"A-2",2007-10-18,2007,0,11.79,5.0998088199461,9.3,20.795432190748,-0.582,1.30139156290488
"A-2",2007-11-16,2007,0,12.486,9.48189748942689,-0.63,1.40872282582487,0.388,0.867594375269918
"A-2",2007-12-20,2007,0,6.694,2.58896311290833,8.566,19.1541582952632,0,0
"A-2",2008-01-24,2008,0,11.1825,5.82163422073218,0,0,0,0
"A-2",2008-02-20,2008,0,8.58,3.71908590919866,15.61,29.9085489450759,-0.53,1.18511602807489
"A-2",2008-04-03,2008,0,4.4375,2.34524163644886,0,0,0,0
"A-2",2008-04-24,2008,0,23.318,7.52256405755378,5.892,10.0227700761815,0.364,0.813928743809924
"A-2",2008-05-23,2008,0,16.406,9.46770986036222,-1.862,1.91677333036538,-0.266,1.6562849996302
"A-2",2008-06-26,2008,0,11.92,5.98718631746165,-0.508,1.13592253256989,0,0
"A-2",2008-07-24,2008,0,13.666,7.62073027996661,-2.334,3.51667172195529,1.106,1.07463016894185
"A-2",2008-08-28,2008,0,18.144,7.98749835680734,-0.962,2.1510973943548,0.722,0.478089949695661
"A-2",2008-09-20,2008,0,18.832,15.132882078441,-0.85,1.90065778087482,1.064,1.70043523840222
"A-2",2008-10-23,2008,0,8.72,6.19636183578719,-0.146,0.326465924714969,0.216,0.482990683139955
"A-2",2008-11-20,2008,0,10.325,3.56193299581374,0,0,0,0
"A-2",2008-12-18,2008,0,6.838,4.23091834002974,-1.944,4.34691614825959,0.822,1.82051366377734
"A-2",2009-01-22,2009,0,5.884,3.62908115092512,-3.208,5.71946850677578,0.094,0.21019038988498
"A-2",2009-02-26,2009,0,13.8475,7.53749461028,-0.8425,1.685,1.09,2.18
"A-2",2009-03-26,2009,0,7.258,3.58158763678903,22.326,49.9224536656603,-8.034,10.8405571812523
"A-2",2009-04-21,2009,0,14.62,6.61350134195193,-2.054,2.81293085588679,0.21,0.71175838597097
"A-2",2009-05-21,2009,0,9.702,6.49758570547553,-1.71,3.8523629112533,-0.038,0.270222130847938
"A-2",2009-06-20,2009,0,13.458,3.92522865576007,-0.892,1.99457263592981,-0.184,0.411436507859961
"A-2",2009-07-20,2009,0,15.518,5.62130945598977,26.448,66.3721746667984,0,0
"A-2",2009-08-20,2009,0,16.74,9.16656151454841,0,0,0.278,0.621626897744942
"A-2",2009-09-20,2009,0,9.4775,4.65538666492913,4.375,5.44557006504676,0.525,0.639661368746516
"A-2",2009-10-20,2009,0,11.024,5.72822223730889,-0.884,1.24636671970973,1.03,1.372643435128
"A-2",2009-12-20,2009,0,13.662,6.54789050000074,1.928,4.31113906061959,0.37,0.827345151674922
"A-3",2003-01-22,2003,0,9.982,2.22780609569145,0,0,-0.496,1.1090897168399
"A-3",2003-02-21,2003,0,7.692,1.38042384795395,0,0,0,0
"A-3",2003-03-20,2003,0,6.744,1.37134240800757,0,0,-0.54,0.750299940023988
"A-3",2003-04-21,2003,0,9.252,2.50800119617196,0.91,2.03482185952481,-0.774,0.738633874121679
"A-3",2003-05-23,2003,0,9.916,3.87387790205112,0,0,-0.33,0.737902432574931
"A-3",2003-06-26,2003,0,19.622,12.0629440850897,-7.482,16.7302606076534,0,0
"A-3",2003-08-04,2003,0,11.67,8.66912913734707,-5.505,7.78524566086389,0,0
"A-3",2003-08-27,2003,0,20.654,6.42770798963363,0,0,1.854,2.59134714000267
"A-3",2003-09-25,2003,0,19.562,4.32388945279594,0.884,5.95096882868664,1.826,2.39926655459538
"A-3",2003-10-30,2003,0,9.78,2.13907690371338,2.548,5.69750120666946,0,0
"A-3",2003-11-28,2003,0,15.64,2.2923241481082,-0.552,1.23430952357988,0.106,0.75304714327856
"A-3",2003-12-22,2003,0,10.948,4.050119751316,0,0,0,0
"A-3",2004-01-30,2004,0,12.182,1.18216750082211,-4.606,5.3250896706065,-0.664,0.428520711284764
"A-3",2004-02-26,2004,0,8.71,1.57878117546416,-2.812,6.28782315272941,-4.18,4.7417349145645
"A-3",2004-03-26,2004,0,10.266,2.58360794239374,-0.548,1.22536525166988,1.29,1.46887712215828
"A-3",2004-04-30,2004,0,16.96,8.55331806961486,-1.454,3.25124283928469,0,0
"A-3",2004-05-26,2004,0,14.332,5.23271631182123,0,0,2.174,2.24173593449362
"A-3",2004-06-25,2004,0,19.198,5.48226413081311,-2.392,3.67920779516461,0.174,0.656985540175733
"A-3",2004-07-29,2004,0,16.646,3.95482363702858,3.436,9.39475545184652,1.88,2.96482714504573
"A-3",2004-08-27,2004,0,13.508,3.77699880857805,-1.972,4.40952605162959,1.696,1.37099598832382
"A-3",2004-09-23,2004,0,17.264,5.02405015898528,3.472,8.68232514940554,1.07,1.7506284585828
"A-3",2004-10-28,2004,0,15.688,4.38831630582847,-1.848,1.9467331609648,1.28,1.78119342015403
"A-3",2004-11-18,2004,0,14.272,6.8927222488651,30.386,71.1896953919596,2.386,1.59239756342441
"A-3",2004-12-17,2004,0,10.924,3.49886838849363,14.86,10.7416944659583,1.26,1.03041253874358
"A-3",2005-01-27,2005,0,10.778,3.9826837685159,33.036,63.1671883179867,0.844,0.53303846015086
"A-3",2005-02-24,2005,0,10.264,1.6029285698371,0,0,1.402,1.36558412410221
"A-3",2005-03-21,2005,0,16.9825,6.4710966355531,-5.3475,10.564684488111,11.49,19.7875482732618
"A-3",2005-05-02,2005,0,12.3933333333333,5.63143261820057,-4.56,5.94959662498223,2.69333333333333,2.4563048127896
"A-3",2005-05-27,2005,0,19.644,3.42743781854609,-1.404,1.9361895568358,13.014,12.5375567795324
"A-3",2005-06-27,2005,0,25.618,15.6371247357051,0,0,28.14,24.0268339570573
"A-3",2005-08-24,2005,0,22.272,9.75101892111794,476.19,847.827592910257,21.024,22.4341387175884
"A-3",2005-09-30,2005,0,26.972,10.982425506235,807.73,1757.86444491605,7.686,6.59520507641726
"A-3",2005-10-21,2005,0,19.312,13.9297835589789,99.956,215.91144406909,5.846,5.64789606844885
"A-3",2005-11-17,2005,0,20.642,9.92589139573872,4514.98,8280.28087401629,4.022,1.88319409514792
"A-3",2006-01-27,2006,0,14.378,4.21877588880945,858.494,1180.4378205056,4.864,3.06542492976096
"A-3",2006-02-23,2006,0,16.76,6.85558896084064,369.732,476.151689559115,5.33,2.56398127918283
"A-3",2006-03-23,2006,0,15.424,2.1939416582945,0.824,6.26140000319417,7.824,5.92590330666979
"A-3",2006-04-21,2006,0,20.856,10.2312135155122,3.58,6.9760769777863,6.44,5.20131233440177
"A-3",2006-05-18,2006,0,14.47,5.00233445503197,11.794,28.1603423274647,3.376,3.30342700842625
"A-3",2006-06-22,2006,0,14.61,3.98849595712469,0.0679999999999998,7.89941263639266,20.16,27.3654252662004
"A-3",2006-07-20,2006,0,15.3475,4.46024943248693,5.2525,10.505,3.355,2.42614234262268
"A-3",2006-08-24,2006,0,15.62,7.59878937726267,0.9175,8.90184391011211,2.4275,2.46368795372574
"A-3",2006-09-20,2006,0,19.08,3.29431834122529,10.3125,22.3573393989535,6.9475,6.20479586019288
"A-3",2006-10-26,2006,0,18.286,5.45121821247325,-1.768,1.87052666380354,3.106,1.92868608124806
"A-3",2006-11-17,2006,0,13.636,5.0769065384346,20.002,44.7258316859508,1.53,3.42118400557468
"A-3",2006-12-20,2006,0,14.892,2.97319188751752,41.694,89.8976728286111,2.588,2.45195228338563
"A-3",2007-01-26,2007,0,10.266,6.529435657084,266.184,588.790308369627,1.258,1.92180123842191
"A-3",2007-02-22,2007,0,10.8625,8.17015452730241,-1.125,2.25,2.35,2.98729532074305
"A-3",2007-03-22,2007,0,9.026,4.80274192519232,-6.242,9.76726266668405,1.466,2.04700512945132
"A-3",2007-04-26,2007,0,36.51,31.53696244092,0,0,0,0
"A-3",2007-05-24,2007,0,12.69,9.65679812360184,-3.2,7.15541752799933,1.926,3.16668280697641
"A-3",2007-06-21,2007,0,13.87,3.93933370000562,-3.762,3.25784744885331,1.476,2.70429843027725
"A-3",2007-07-20,2007,0,16.702,2.67193188535935,-0.348,0.778151656169927,0,0
"A-3",2007-08-24,2007,0,16.148,6.8983671981129,-1.77,2.61938924178901,7.144,14.9831615488855
"A-3",2007-09-20,2007,0,9.282,3.22173400515933,-0.386,0.863122239314919,0.316,0.706597480889934
"A-3",2007-10-18,2007,0,15.38,5.59093909821955,0,0,-0.422,2.07268424995222
"A-3",2007-11-16,2007,0,12.622,4.17527484125297,-1.788,2.4500448975478,0,0
"A-3",2007-12-20,2007,0,7.24,2.73114444876136,1.71,15.3855516638176,0,0
"A-3",2008-01-24,2008,0,6.506,2.69550180856923,2.266,5.06693003701452,0.408,0.912315734819914
"A-3",2008-02-20,2008,0,7.8425,3.87668565486895,19.5025,33.0966467334683,0,0
"A-3",2008-04-03,2008,0,6.11666666666667,2.43643865782279,0,0,2.25,3.89711431702997
"A-3",2008-04-24,2008,0,17.54,9.63156269771422,-6.5775,9.04903816251576,0.8625,1.20693482287432
"A-3",2008-05-23,2008,0,11.202,1.38391473725804,-2.028,2.87267645236981,9.392,19.1571480132091
"A-3",2008-06-26,2008,0,15.17,2.93203853999227,-1.48,2.18363229505336,1.386,1.34730471683283
"A-3",2008-07-24,2008,0,NA,NA,NA,NA,NA,NA
"A-3",2008-08-28,2008,0,17.342,5.07653129607215,-1.518,2.07911519642371,0.376,0.840761559539921
"A-3",2008-09-20,2008,0,11.748,1.87310437509499,0,0,0.664,0.645778599831243
"A-3",2008-10-23,2008,0,13.802,3.73349969867415,-1.758,3.93100750444463,1.648,1.08222918090393
"A-3",2008-11-20,2008,0,9.456,1.63438979438811,0,0,0.74,1.04830816080006
"A-3",2008-12-18,2008,0,10.346,2.70254139653771,0.376,4.83625164771231,0.634,1.41766709773487
"A-3",2009-01-22,2009,0,8.778,2.78681179845357,15.278,31.0832128326529,0.93,2.0795432190748
"A-3",2009-02-26,2009,0,12.26,2.22007882742933,-0.436,0.974925638189908,1.064,1.81469832203592
"A-3",2009-03-26,2009,0,6.642,2.30751381360979,-0.596,1.33269651458987,0.886,0.531911646798601
"A-3",2009-04-21,2009,0,8.424,4.15438082029079,-0.124,2.09991190291402,0.716,1.60102467188985
"A-3",2009-05-21,2009,0,6.912,3.41542383899861,3.104,10.1483166091722,1.286,2.87558341906473
"A-3",2009-06-20,2009,0,13.656,6.44091841277313,1.596,3.56876449208966,1.024,2.28973360895978
"A-3",2009-07-20,2009,0,15.632,5.15279729855542,0,0,1.342,1.421133350534
"A-3",2009-08-20,2009,0,9.362,3.20614566107031,0.774,1.73071661458484,1.508,1.24045153069356
"A-3",2009-09-20,2009,0,6.278,4.47387639525278,2.202,4.92382168645454,0.546,1.09168676826277
"A-3",2009-10-20,2009,0,16.304,6.39750967173947,9.66,27.5100990547108,1.072,1.02260451788558
"A-3",2009-12-20,2009,0,14.364,9.35419317739376,-1.746,2.57042408952297,1.624,2.48231343709855
"A-4",2003-01-22,2003,0,14.2,2.68703368047369,0,0,0,0
"A-4",2003-02-21,2003,0,10.8775,2.08634249345595,0,0,0,0
"A-4",2003-03-20,2003,0,10.79,4.45504208734328,0,0,0.08,0.178885438199983
"A-4",2003-04-21,2003,0,14.4075,1.32492452615234,0,0,0,0
"A-4",2003-05-23,2003,0,10.68,1.47945936071255,0,0,-0.158,2.12176106100569
"A-4",2003-06-26,2003,0,20.068,5.45905852688905,-0.7,1.56524758424985,0,0
"A-4",2003-08-04,2003,0,13.9725,2.44598139813041,0,0,0.37,0.74
"A-4",2003-08-27,2003,0,20.402,7.72175627691006,-0.71,1.58760826402485,1.27,1.66676333053016
"A-4",2003-09-25,2003,0,20.106,4.08492717193342,0,0,2.106,3.57367877683487
"A-4",2003-10-30,2003,0,10.654,2.4525354227819,3.872,8.65805520887919,0.912,1.33070282182011
"A-4",2003-11-28,2003,0,10.58,3.17689313638341,13.672,30.5715213883771,0.194,0.433797187634959
"A-4",2003-12-22,2003,0,10.45,2.0609463845525,0,0,-0.358,0.522321739926647
"A-4",2004-01-30,2004,0,13.246,2.90190971603184,-1.21,1.78653295519562,-0.128,1.65664419837212
"A-4",2004-02-26,2004,0,8.662,2.97878666574161,-2.16,4.82990683139955,-1.014,1.81586893800186
"A-4",2004-03-26,2004,0,11.056,3.64489094487064,296.102,661.975924652853,0.362,0.543433528593884
"A-4",2004-04-30,2004,0,17.626,4.88780421048143,0,0,1.804,3.5674682899782
"A-4",2004-05-26,2004,0,17.096,6.87152675902525,10.228,22.8705032738679,1.932,2.08981338879815
"A-4",2004-06-25,2004,0,18.902,2.97142558378971,-1.83,5.49434254483646,1.19,1.68469581824138
"A-4",2004-07-29,2004,0,23.874,7.05286679301403,120.39,212.576466712569,2.104,2.95047114881674
"A-4",2004-08-27,2004,0,16.708,5.42636803027587,-3.502,4.61021908373127,0.128,0.286216701119973
"A-4",2004-09-23,2004,0,25.242,9.73604231708141,8.608,22.1791697319805,1.748,3.69449184597828
"A-4",2004-10-28,2004,0,14.918,5.68497757251513,0.788,1.76202156626983,1.46,3.26465924714969
"A-4",2004-11-18,2004,0,13.62,6.63555197402597,61.616,100.969863226608,2.072,3.76036833302271
"A-4",2004-12-17,2004,0,14.984,5.63564814373644,230.982,430.603346155136,0.698,1.02287340370155
"A-4",2005-01-27,2005,0,13.062,4.70855285623938,1394.914,3079.58078765276,1.496,1.29912662970166
"A-4",2005-02-24,2005,0,11.96,3.90967389944481,175.412,351.1525846694,1.312,1.54213164159225
"A-4",2005-03-21,2005,0,15.586,5.79186757445299,-1.42,3.12912927185823,9.73,13.9992535515291
"A-4",2005-05-02,2005,0,11.812,5.49639154354928,-1.54,2.11043834309368,0,0
