"site","year","season","date","web","transect","block","plot","subplot","quad","treatment","kartez","genus","sp.epithet","family","LifeHistory","PhotoPath","FunctionalGroup","cover","volume","biomass.BM","biomass.BIM","SiteCluster","MetStation","season.precip","GDD","SPEI.comp"
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"10",NA,"2","F","KAPA","Kallstroemia","parviflora","Zygophyllaceae","annual","C4","forb",1.4,8.2,2.1645993,1.6492,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"11",NA,"2","F","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",1,7,0.639066,0.738,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"14",NA,"1","F","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",3.85,27.1,9.043164559,9.3401,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"1",NA,"3","F","SPHA","Sphaeralcea","hastulata","Malvaceae","perennial","C3","forb",1.6,28.1,3.5125,3.5125,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"16",NA,"3","F","PLJA","Pleuraphis","jamesii","Poaceae","perennial","C4","grass",7.4,107.4,15.99826819,14.1118,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"1",NA,"1","F","HYFIC","Hymenopappus","filifolius","Asteraceae","perennial","C3","forb",0.5,8,1.0341345,1.15,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"11",NA,"2","F","TOAN","Townsendia","annua","Asteraceae","annual","C3","forb",0.25,1.5,0.113875,0.113875,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"16",NA,"4","F","SPCR","Sporobolus","cryptandrus","Poaceae","perennial","C4","grass",1.7,17.8,4.1837,4.1837,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"3",NA,"1","C","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",2.55,13.55,5.944083639,6.1863,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"10",NA,"2","F","HYFIC","Hymenopappus","filifolius","Asteraceae","perennial","C3","forb",1,6,2.068269,2.3,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"20",NA,"1","C","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",0.25,4.25,0.41225,0.41225,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"17",NA,"3","F","SPHA","Sphaeralcea","hastulata","Malvaceae","perennial","C3","forb",7,99.5,12.4375,12.4375,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"6",NA,"1","F","SOEL","Solanum","elaeagnifolium","Solanaceae","perennial","C3","forb",1.5,18,1.390736,1.692,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"11",NA,"1","F","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",18,84,11.503188,13.284,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"13",NA,"2","C","PLJA","Pleuraphis","jamesii","Poaceae","perennial","C4","grass",7,109.5,14.96494752,13.349,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"9",NA,"3","C","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",0.5,9.5,0.8245,0.8245,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"19",NA,"3","F","SPCO4","Sporobolus","contractus","Poaceae","perennial","C4","grass",1.5,33,4.337325181,5.1705,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"11",NA,"4","F","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",13,735,21.437,21.437,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"4",NA,"3","F","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",5.25,45.75,12.15942856,12.7365,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"7",NA,"1","C","PAOB","Panicum","obtusum","Poaceae","perennial","C4","grass",4.15,34.7,10.0845,10.0845,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"19",NA,"1","F","HODR","Hoffmannseggia","drepanocarpa","Fabaceae","perennial","C3","forb",0.5,2.5,0.57,0.57,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"15",NA,"3","C","HODR","Hoffmannseggia","drepanocarpa","Fabaceae","perennial","C3","forb",0.25,0.75,0.285,0.285,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"20",NA,"1","C","HODR","Hoffmannseggia","drepanocarpa","Fabaceae","perennial","C3","forb",1,3.5,1.14,1.14,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"3",NA,"4","C","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",5.2,36,12.04562845,12.6152,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"8",NA,"2","F","PLJA","Pleuraphis","jamesii","Poaceae","perennial","C4","grass",0.85,7,2.397909677,1.62095,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"12",NA,"2","C","EPTO","Ephedra","torreyana","Ephedraceae","perennial","C3","shrub",4.5,85.5,32.1795,32.1795,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"11",NA,"1","F","BOBA2","Bouteloua","barbata","Poaceae","annual","C4","grass",2,36,0.450528,1.368,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"9",NA,"2","C","MELE2","Melampodium","leucanthum","Asteraceae","perennial","C3","forb",0.25,2,0.899,0.899,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"11",NA,"4","F","GAPI","Gaillardia","pinnatifida","Asteraceae","perennial","C3","forb",5,23,8.245,8.245,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"7",NA,"3","C","HYFIC","Hymenopappus","filifolius","Asteraceae","perennial","C3","forb",1.5,50,3.1024035,3.45,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"19",NA,"1","F","BOBA2","Bouteloua","barbata","Poaceae","annual","C4","grass",0.5,2.5,0.112632,0.342,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"19",NA,"1","F","SPFL2","Sporobolus","flexuosus","Poaceae","perennial","C4","grass",0.25,2,0.774066,0.6075,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"9",NA,"4","C","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",9.1,51.5,5.8155006,6.7158,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"4",NA,"4","F","SPCR","Sporobolus","cryptandrus","Poaceae","perennial","C4","grass",2.5,31.25,6.1525,6.1525,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"5",NA,"2","C","PLJA","Pleuraphis","jamesii","Poaceae","perennial","C4","grass",13.35,202.15,27.93315813,25.45845,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"13",NA,"4","C","SCBR2","Scleropogon","brevifolius","Poaceae","perennial","C4","grass",4.5,19,12.1284865,10.755,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"9",NA,"1","C","ASMIM","Astragalus","missouriensis","Fabaceae","perennial","C3","forb",0.75,5.5,0.88125,0.88125,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"20",NA,"4","C","TOAN","Townsendia","annua","Asteraceae","annual","C3","forb",1,6,0.4555,0.4555,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"5",NA,"3","C","SPCR","Sporobolus","cryptandrus","Poaceae","perennial","C4","grass",0.5,5.5,1.2305,1.2305,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"13",NA,"1","C","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",0.54,1.48,0.34509564,0.39852,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"4",NA,"2","F","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",3.25,40,7.677563254,7.8845,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"8",NA,"1","F","TILA2","Tidestromia","lanuginosa","Amaranthaceae","annual","C4","forb",0.25,1.5,0.099,0.099,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"10",NA,"2","F","EUEX4","Euphorbia","exstipulata","Euphorbiaceae","annual","C3","forb",0.1,0.7,0.04555,0.04555,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"6",NA,"4","F","SPCR","Sporobolus","cryptandrus","Poaceae","perennial","C4","grass",0.5,4.5,1.2305,1.2305,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"18",NA,"4","C","SPCO4","Sporobolus","contractus","Poaceae","perennial","C4","grass",0.75,9.25,1.919245725,2.58525,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"5",NA,"4","C","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",2,26,4.622143397,4.852,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"11",NA,"1","F","MAPIP","Machaeranthera","pinnatifida","Asteraceae","perennial","C3","forb",0.5,8.5,1.391,1.391,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"11",NA,"1","F","MELE2","Melampodium","leucanthum","Asteraceae","perennial","C3","forb",3,47,10.788,10.788,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"3",NA,"4","C","PLJA","Pleuraphis","jamesii","Poaceae","perennial","C4","grass",10.25,100.5,21.25302991,19.54675,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"9",NA,"3","C","HODR","Hoffmannseggia","drepanocarpa","Fabaceae","perennial","C3","forb",2,14,2.28,2.28,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"8",NA,"1","F","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",14.3,84.5,9.1386438,10.5534,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"3",NA,"3","C","PLJA","Pleuraphis","jamesii","Poaceae","perennial","C4","grass",10.45,148.4,21.65420269,19.92815,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"13",NA,"2","C","SOEL","Solanum","elaeagnifolium","Solanaceae","perennial","C3","forb",0.2,1.6,0.2594066,0.1504,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"19",NA,"4","F","SPFL2","Sporobolus","flexuosus","Poaceae","perennial","C4","grass",4.5,25.5,4.0570545,10.935,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"7",NA,"1","C","HODR","Hoffmannseggia","drepanocarpa","Fabaceae","perennial","C3","forb",0.5,2,0.57,0.57,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"19",NA,"4","F","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",8,80,13.192,13.192,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"6",NA,"2","F","PLJA","Pleuraphis","jamesii","Poaceae","perennial","C4","grass",15.05,270.1,31.57410182,28.70035,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"19",NA,"1","F","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",3,156,4.947,4.947,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"1",NA,"4","F","HYFIC","Hymenopappus","filifolius","Asteraceae","perennial","C3","forb",1,19,2.068269,2.3,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"5",NA,"4","C","MELE2","Melampodium","leucanthum","Asteraceae","perennial","C3","forb",0.85,6.15,3.0566,3.0566,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"13",NA,"4","C","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",1.5,10.5,3.484142309,3.639,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"7",NA,"1","C","GAPI","Gaillardia","pinnatifida","Asteraceae","perennial","C3","forb",0.25,1,0.41225,0.41225,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"8",NA,"2","F","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",12,84,7.668792,8.856,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"19",NA,"1","F","KAPA","Kallstroemia","parviflora","Zygophyllaceae","annual","C4","forb",2,10.5,2.55943725,2.356,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"9",NA,"4","C","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",0.25,6.25,0.41225,0.41225,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"6",NA,"3","F","SPCR","Sporobolus","cryptandrus","Poaceae","perennial","C4","grass",1.05,7.55,2.58405,2.58405,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"20",NA,"4","C","HODR","Hoffmannseggia","drepanocarpa","Fabaceae","perennial","C3","forb",1.5,11,1.71,1.71,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"1",NA,"2","F","SPCR","Sporobolus","cryptandrus","Poaceae","perennial","C4","grass",6.3,63,15.5043,15.5043,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"8",NA,"3","F","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",17.5,184.5,11.183655,12.915,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"17",NA,"4","F","SPCR","Sporobolus","cryptandrus","Poaceae","perennial","C4","grass",1,6,2.461,2.461,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"18",NA,"4","C","HODR","Hoffmannseggia","drepanocarpa","Fabaceae","perennial","C3","forb",1,4,1.14,1.14,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"2",NA,"4","C","BOER4","Bouteloua","eriopoda","Poaceae","perennial","C4","grass",1,7,2.766,2.766,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"2",NA,"3","C","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",2,64,3.298,3.298,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"19",NA,"2","F","CHSE7","Chamaesyce","serrula","Euphorbiaceae","annual","C4","forb",3,11.5,1.926,1.926,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"12",NA,"2","C","ARPU9","Aristida","purpurea","Poaceae","perennial","C4","grass",2.25,30,11.7045,11.7045,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"18",NA,"1","C","MAPIP","Machaeranthera","pinnatifida","Asteraceae","perennial","C3","forb",0.5,4.5,1.391,1.391,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"20",NA,"2","C","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",2.5,30,4.1225,4.1225,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"8",NA,"2","F","KAPA","Kallstroemia","parviflora","Zygophyllaceae","annual","C4","forb",1,10,1.365297,1.178,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"4",NA,"2","F","SPCR","Sporobolus","cryptandrus","Poaceae","perennial","C4","grass",4.05,38.95,9.96705,9.96705,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"17",NA,"3","F","MUAR2","Muhlenbergia","arenicola","Poaceae","perennial","C4","grass",1,12,2.633541651,2.953,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"5",NA,"3","C","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",3.2,40.2,7.563763145,7.7632,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"7",NA,"4","C","HYFIC","Hymenopappus","filifolius","Asteraceae","perennial","C3","forb",0.5,16,1.0341345,1.15,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"1",NA,"4","F","SOEL","Solanum","elaeagnifolium","Solanaceae","perennial","C3","forb",1.6,12,1.423934,1.128,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"7",NA,"4","C","BOGR2","Bouteloua","gracilis","Poaceae","perennial","C4","grass",4.9,53.5,11.50310589,11.8874,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"18",NA,"1","C","HYFIC","Hymenopappus","filifolius","Asteraceae","perennial","C3","forb",0.5,2.5,1.0341345,1.15,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"1",NA,"3","F","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",0.75,12,1.23675,1.23675,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"10",NA,"2","F","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",2.7,12.8,1.7254782,1.9926,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"18",NA,"2","C","GUSA2","Gutierrezia","sarothrae","Asteraceae","perennial","C3","shrub",0.1,0.7,0.1687,0.1687,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"11",NA,"4","F","BOER4","Bouteloua","eriopoda","Poaceae","perennial","C4","grass",4.55,30.7,12.5853,12.5853,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"8",NA,"4","F","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",4,212,6.596,6.596,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"13",NA,"2","C","SCBR2","Scleropogon","brevifolius","Poaceae","perennial","C4","grass",4.35,22.95,11.70433255,10.3965,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"2",NA,"2","C","SPPO6","Sphaeralcea","polychroma","Malvaceae","perennial","C3","forb",0.5,7,0.8245,0.8245,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"8",NA,"4","F","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",14.5,103,9.266457,10.701,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"3",NA,"3","C","DABR","Dalea","brachystachya","Fabaceae","annual","C3","forb",0.25,1.25,0.087,0.087,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"5",NA,"3","C","BOER4","Bouteloua","eriopoda","Poaceae","perennial","C4","grass",1.6,15,4.4256,4.4256,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"1",NA,"4","F","CHSES","Chamaesyce","serpyllifolia","Euphorbiaceae","annual","C4","forb",1.4,7,0.8946924,1.0332,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"19",NA,"4","F","PLJA","Pleuraphis","jamesii","Poaceae","perennial","C4","grass",0.5,6,1.233907061,0.9535,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"18",NA,"2","C","SPCO4","Sporobolus","contractus","Poaceae","perennial","C4","grass",3,52,8.674650363,10.341,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"12",NA,"2","C","DABR","Dalea","brachystachya","Fabaceae","annual","C3","forb",5.25,51.5,1.827,1.827,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"11",NA,"3","F","KAPA","Kallstroemia","parviflora","Zygophyllaceae","annual","C4","forb",7.5,96,7.93548,8.835,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"17",NA,"1","F","PLJA","Pleuraphis","jamesii","Poaceae","perennial","C4","grass",29.3,678.55,61.08156229,55.8751,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"3",NA,"2","C","BAMU","Baileya","multiradiata","Asteraceae","perennial","C3","forb",1.5,36,2.4735,2.4735,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"18",NA,"3","C","PLJA","Pleuraphis","jamesii","Poaceae","perennial","C4","grass",9.55,114.35,20.07990035,18.21185,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"10",NA,"1","F","BOER4","Bouteloua","eriopoda","Poaceae","perennial","C4","grass",5.2,57.35,14.3832,14.3832,"DeepWell","40",149.033,4107.019153,-0.604646946
"fertilizer",2004,"fall",2004-09-28,NA,NA,NA,"7",NA,"1","C","TOAN","Townsendia","annua","Asteraceae","annual","C3","forb",1.5,9,0.68325,0.68325,"DeepWell","40",149.033,4107.019153,-0.604646946
