DATE,Block-plot-rep,MONTH,YEAR,Reported_CO2_Flux_ug_C_cm-2_hr-1,Reported_CH4_Flux_ng_C_cm-2_hr-1,Reported_N2O_Flux_ng_N_cm-2_hr-1
1/21/2003,B-4-4,Jan,2003,5.83,0,0
1/21/2003,B-4-5,Jan,2003,5.9,0,0
1/21/2003,C-1-1,Jan,2003,10.35,0,0
1/21/2003,C-1-2,Jan,2003,9.27,0,0
1/21/2003,C-1-3,Jan,2003,11.59,0,0
1/21/2003,C-1-4,Jan,2003,6.34,0,0
1/21/2003,C-1-5,Jan,2003,7.24,0,0
1/21/2003,C-2-1,Jan,2003,6.07,0,0
1/21/2003,C-2-2,Jan,2003,2.25,9.33,0
1/21/2003,C-2-3,Jan,2003,8.72,0,0
1/21/2003,C-2-4,Jan,2003,11.22,0,0
1/21/2003,C-2-5,Jan,2003,,,
1/21/2003,C-3-1,Jan,2003,8.73,0,0
1/21/2003,C-3-2,Jan,2003,4.85,0,0
1/21/2003,C-3-3,Jan,2003,11.73,0,0
1/21/2003,C-3-4,Jan,2003,9.88,0,0
1/21/2003,C-3-5,Jan,2003,7.98,0,0
1/21/2003,C-4-1,Jan,2003,13.65,0,0
1/21/2003,C-4-2,Jan,2003,7.99,0,0
1/21/2003,C-4-3,Jan,2003,17.42,0,0
1/21/2003,C-4-4,Jan,2003,4.34,0,0
1/21/2003,C-4-5,Jan,2003,,,
2/21/2003,A-1-1,Feb,2003,6.1,0,-5.9
2/21/2003,A-1-2,Feb,2003,,,
2/21/2003,A-1-3,Feb,2003,7.52,0,0
2/21/2003,A-1-4,Feb,2003,9.19,0,-2.45
2/21/2003,A-1-5,Feb,2003,17.73,0,0
2/21/2003,A-2-1,Feb,2003,12.6,0,0
2/21/2003,A-2-2,Feb,2003,12.19,0,-1.49
2/21/2003,A-2-3,Feb,2003,6.69,0,0
2/21/2003,A-2-4,Feb,2003,8.32,0,-2.07
2/21/2003,A-2-5,Feb,2003,33.2,47.59,0
2/21/2003,A-3-1,Feb,2003,6.48,0,0
2/21/2003,A-3-2,Feb,2003,8.32,0,0
2/21/2003,A-3-3,Feb,2003,9.15,0,0
2/21/2003,A-3-4,Feb,2003,5.98,0,0
2/21/2003,A-3-5,Feb,2003,8.53,0,0
2/21/2003,A-4-1,Feb,2003,,,
2/21/2003,A-4-2,Feb,2003,13.62,0,0
2/21/2003,A-4-3,Feb,2003,10.86,0,0
2/21/2003,A-4-4,Feb,2003,10.47,0,0
2/21/2003,A-4-5,Feb,2003,8.56,0,0
2/19/2003,B-1-1,Feb,2003,,,
2/19/2003,B-1-2,Feb,2003,9.51,0,0
2/19/2003,B-1-3,Feb,2003,10.42,0,0
2/19/2003,B-1-4,Feb,2003,,,
2/19/2003,B-1-5,Feb,2003,7.53,0,0
2/19/2003,B-2-1,Feb,2003,16.16,0,0
2/19/2003,B-2-2,Feb,2003,31.46,0,0
2/19/2003,B-2-3,Feb,2003,6.91,0,0.72
2/19/2003,B-2-4,Feb,2003,,,
2/19/2003,B-2-5,Feb,2003,12.31,0,0
2/19/2003,B-3-1,Feb,2003,5.75,-16.16,0
2/19/2003,B-3-2,Feb,2003,,,
2/19/2003,B-3-3,Feb,2003,23.29,0,0
2/19/2003,B-3-4,Feb,2003,,,
2/19/2003,B-3-5,Feb,2003,,,
2/19/2003,B-4-1,Feb,2003,,,
2/19/2003,B-4-2,Feb,2003,,,
2/19/2003,B-4-3,Feb,2003,4.4,33.36,0
2/19/2003,B-4-4,Feb,2003,9.91,0,0
2/19/2003,B-4-5,Feb,2003,5.11,130.96,0
2/20/2003,C-1-1,Feb,2003,27.73,0,0
2/20/2003,C-1-2,Feb,2003,3.12,0,0
2/20/2003,C-1-3,Feb,2003,16.22,-78.52,0
2/20/2003,C-1-4,Feb,2003,8.04,73.9,-9.04
2/20/2003,C-1-5,Feb,2003,6.76,0,0
2/20/2003,C-2-1,Feb,2003,15.33,0,0
2/20/2003,C-2-2,Feb,2003,9.29,0,-0.31
2/20/2003,C-2-3,Feb,2003,4.36,0,0
2/20/2003,C-2-4,Feb,2003,18.21,0,-0.62
2/20/2003,C-2-5,Feb,2003,9.03,0,-1.95
2/20/2003,C-3-1,Feb,2003,3.98,0,0
2/20/2003,C-3-2,Feb,2003,,,
2/20/2003,C-3-3,Feb,2003,11.72,0,0
2/20/2003,C-3-4,Feb,2003,13.77,-105.68,0
2/20/2003,C-3-5,Feb,2003,18.17,0,-1.25
2/20/2003,C-4-1,Feb,2003,14.76,0,0
2/20/2003,C-4-2,Feb,2003,,,
2/20/2003,C-4-3,Feb,2003,,,
2/20/2003,C-4-4,Feb,2003,3.93,0,-0.67
2/20/2003,C-4-5,Feb,2003,11.28,0,0
3/20/2003,A-1-1,Mar,2003,7.87,0,0
3/20/2003,A-1-2,Mar,2003,9.94,0,0
3/20/2003,A-1-3,Mar,2003,4.5,0,0
3/20/2003,A-1-4,Mar,2003,19.18,0,0
3/20/2003,A-1-5,Mar,2003,7.66,0,0
3/20/2003,A-2-1,Mar,2003,6.5,0,0
3/20/2003,A-2-2,Mar,2003,17.37,0,0
3/20/2003,A-2-3,Mar,2003,7.15,0,0
3/20/2003,A-2-4,Mar,2003,11.58,0,0
3/20/2003,A-2-5,Mar,2003,7.34,0,0
3/20/2003,A-3-1,Mar,2003,5.85,0,-1.53
3/20/2003,A-3-2,Mar,2003,7.79,0,0
3/20/2003,A-3-3,Mar,2003,6.03,0,0
3/20/2003,A-3-4,Mar,2003,5.45,0,0
3/20/2003,A-3-5,Mar,2003,8.6,0,-1.17
3/20/2003,A-4-1,Mar,2003,18.34,0,0
3/20/2003,A-4-2,Mar,2003,7.72,0,0.4
3/20/2003,A-4-3,Mar,2003,11.26,0,0
3/20/2003,A-4-4,Mar,2003,8.81,0,0
3/20/2003,A-4-5,Mar,2003,7.82,0,0
3/19/2003,B-1-1,Mar,2003,15.12,0,0
3/19/2003,B-1-2,Mar,2003,5.64,0,0
3/19/2003,B-1-3,Mar,2003,8.41,0,0
3/19/2003,B-1-4,Mar,2003,3.96,0,0
3/19/2003,B-1-5,Mar,2003,,,
3/19/2003,B-2-1,Mar,2003,12.66,0,0
3/19/2003,B-2-2,Mar,2003,9.62,0,0
3/19/2003,B-2-3,Mar,2003,9.2,11.68,0
3/19/2003,B-2-4,Mar,2003,,,
3/19/2003,B-2-5,Mar,2003,,,
3/19/2003,B-3-1,Mar,2003,6.49,0,0
3/19/2003,B-3-2,Mar,2003,4.88,0,0
3/19/2003,B-3-3,Mar,2003,7.03,0,0
3/19/2003,B-3-4,Mar,2003,8.28,-6.4,0
3/19/2003,B-3-5,Mar,2003,15.63,0,0
3/19/2003,B-4-1,Mar,2003,5.85,0,0
3/19/2003,B-4-2,Mar,2003,7.62,0,0
3/19/2003,B-4-3,Mar,2003,5.87,0,5.49
3/19/2003,B-4-4,Mar,2003,5.47,0,0.99
3/19/2003,B-4-5,Mar,2003,9.11,0,0
3/19/2003,C-1-1,Mar,2003,,,
3/19/2003,C-1-2,Mar,2003,,,
3/19/2003,C-1-3,Mar,2003,17.49,0,0
3/19/2003,C-1-4,Mar,2003,,,
3/19/2003,C-1-5,Mar,2003,,,
3/19/2003,C-2-1,Mar,2003,6.28,0,-0.64
3/19/2003,C-2-2,Mar,2003,5.62,-4.8,1.4
3/19/2003,C-2-3,Mar,2003,12.15,-59.72,0
3/19/2003,C-2-4,Mar,2003,,,
3/19/2003,C-2-5,Mar,2003,,,
3/19/2003,C-3-1,Mar,2003,,,
3/19/2003,C-3-2,Mar,2003,,,
3/19/2003,C-3-3,Mar,2003,7.24,0,0
3/19/2003,C-3-4,Mar,2003,,,
3/19/2003,C-3-5,Mar,2003,6.35,0,0
3/19/2003,C-4-1,Mar,2003,7.52,0,0
3/19/2003,C-4-2,Mar,2003,7.14,0,0
3/19/2003,C-4-3,Mar,2003,3.67,0,0
3/19/2003,C-4-4,Mar,2003,14.52,0,0
3/19/2003,C-4-5,Mar,2003,4.26,0,0
4/21/2003,A-1-1,Apr,2003,6.41,0,0
4/21/2003,A-1-2,Apr,2003,8.76,0,0
4/21/2003,A-1-3,Apr,2003,7.17,0,-0.98
4/21/2003,A-1-4,Apr,2003,7.1,0,0
4/21/2003,A-1-5,Apr,2003,7.33,0,0
4/21/2003,A-2-1,Apr,2003,,,
4/21/2003,A-2-2,Apr,2003,7.03,0,0
4/21/2003,A-2-3,Apr,2003,,,
4/21/2003,A-2-4,Apr,2003,,,
4/21/2003,A-2-5,Apr,2003,,,
4/21/2003,A-3-1,Apr,2003,12.3,0,0
4/21/2003,A-3-2,Apr,2003,5.48,0,-1.35
4/21/2003,A-3-3,Apr,2003,9.3,0,-1.56
4/21/2003,A-3-4,Apr,2003,8.75,4.55,-0.96
4/21/2003,A-3-5,Apr,2003,10.43,0,0
4/21/2003,A-4-1,Apr,2003,14.18,0,0
4/21/2003,A-4-2,Apr,2003,15.56,0,0
4/21/2003,A-4-3,Apr,2003,15.26,0,0
4/21/2003,A-4-4,Apr,2003,,,
4/21/2003,A-4-5,Apr,2003,12.63,0,0
4/15/2003,B-1-1,Apr,2003,9.08,-4.63,0
4/15/2003,B-1-2,Apr,2003,14,22.48,0
4/15/2003,B-1-3,Apr,2003,7.31,-4.44,-0.49
4/15/2003,B-1-4,Apr,2003,9.29,-18.6,0
4/15/2003,B-1-5,Apr,2003,5,0,6.09
4/15/2003,B-2-1,Apr,2003,10.26,0,-1.85
4/15/2003,B-2-2,Apr,2003,6.92,0,0
4/15/2003,B-2-3,Apr,2003,10.1,0,-0.95
4/15/2003,B-2-4,Apr,2003,3.99,23.26,0
4/15/2003,B-2-5,Apr,2003,10.63,0,-1.01
4/15/2003,B-3-1,Apr,2003,11.73,0,2.32
4/15/2003,B-3-2,Apr,2003,6.6,0,0
4/15/2003,B-3-3,Apr,2003,10.28,0,0
4/15/2003,B-3-4,Apr,2003,4.08,0,0
4/15/2003,B-3-5,Apr,2003,9.66,0,0
4/15/2003,B-4-1,Apr,2003,18.56,0,0
4/15/2003,B-4-2,Apr,2003,12.4,0,0
4/15/2003,B-4-3,Apr,2003,6.91,0,0
4/15/2003,B-4-4,Apr,2003,,,
4/15/2003,B-4-5,Apr,2003,9.43,6.43,0
4/21/2003,C-1-1,Apr,2003,7.3,0,0
4/21/2003,C-1-2,Apr,2003,10.24,0,0
4/21/2003,C-1-3,Apr,2003,11.17,0,0
4/21/2003,C-1-4,Apr,2003,6.04,0,-1.65
4/21/2003,C-1-5,Apr,2003,7.06,19.55,-2.2
4/21/2003,C-2-1,Apr,2003,7.19,0,0
4/21/2003,C-2-2,Apr,2003,8.85,-22.56,0
4/21/2003,C-2-3,Apr,2003,6.68,0,1.19
4/21/2003,C-2-4,Apr,2003,16.85,2.97,0
4/21/2003,C-2-5,Apr,2003,7.39,26.27,0
4/21/2003,C-3-1,Apr,2003,11.35,0,0
4/21/2003,C-3-2,Apr,2003,8.89,0,0
4/21/2003,C-3-3,Apr,2003,10.22,0,0
4/21/2003,C-3-4,Apr,2003,20.31,0,0
4/21/2003,C-3-5,Apr,2003,9.29,0,0
4/21/2003,C-4-1,Apr,2003,8.83,-4.49,0
4/21/2003,C-4-2,Apr,2003,10.35,0,0
4/21/2003,C-4-3,Apr,2003,4.17,0,0
4/21/2003,C-4-4,Apr,2003,7.47,0,0
4/21/2003,C-4-5,Apr,2003,10.57,-5.65,-1.1
5/23/2003,A-1-1,May,2003,7.58,1.99,0
5/23/2003,A-1-2,May,2003,10.61,0,0
5/23/2003,A-1-3,May,2003,14.26,0,-0.8
5/23/2003,A-1-4,May,2003,9.38,0,-1.1
5/23/2003,A-1-5,May,2003,13.78,0,0
5/23/2003,A-2-1,May,2003,3.93,0,-2.22
5/23/2003,A-2-2,May,2003,14.4,-2.95,0
5/23/2003,A-2-3,May,2003,5.55,0,-0.78
5/23/2003,A-2-4,May,2003,13.59,0,-1.63
5/23/2003,A-2-5,May,2003,13.49,-14.35,-0.45
5/23/2003,A-3-1,May,2003,16.18,0,0
5/23/2003,A-3-2,May,2003,10.78,0,0
5/23/2003,A-3-3,May,2003,6.26,0,0
5/23/2003,A-3-4,May,2003,8.75,0,-1.65
5/23/2003,A-3-5,May,2003,7.61,0,0
5/23/2003,A-4-1,May,2003,8.65,0,-3.65
5/23/2003,A-4-2,May,2003,11.85,0,0
5/23/2003,A-4-3,May,2003,11.61,0,0
5/23/2003,A-4-4,May,2003,9.55,0,0.83
5/23/2003,A-4-5,May,2003,11.74,0,2.03
5/22/2003,B-1-1,May,2003,,,
5/22/2003,B-1-2,May,2003,11.54,-23.75,0
5/22/2003,B-1-3,May,2003,5.88,0,0
5/22/2003,B-1-4,May,2003,11.28,-5.63,0
5/22/2003,B-1-5,May,2003,13.34,0,0.38
5/22/2003,B-2-1,May,2003,17.07,0,-1.55
5/22/2003,B-2-2,May,2003,8.1,0,0
5/22/2003,B-2-3,May,2003,16.19,0,0
5/22/2003,B-2-4,May,2003,10.01,0,0
5/22/2003,B-2-5,May,2003,7.99,0,-4.26
5/22/2003,B-3-1,May,2003,23.39,-5.69,-2.98
5/22/2003,B-3-2,May,2003,8.1,0,4.97
5/22/2003,B-3-3,May,2003,14.19,-11.81,-0.75
5/22/2003,B-3-4,May,2003,11.34,0,-2.42
5/22/2003,B-3-5,May,2003,11.42,0,0
5/22/2003,B-4-1,May,2003,11.63,0,-2.12
5/22/2003,B-4-2,May,2003,15.7,0,0
5/22/2003,B-4-3,May,2003,8.96,0,-3.32
5/22/2003,B-4-4,May,2003,10.98,5.28,0
5/22/2003,B-4-5,May,2003,13.13,0,-0.83
5/21/2003,C-1-1,May,2003,8.52,0,0
5/21/2003,C-1-2,May,2003,4.9,0,0
5/21/2003,C-1-3,May,2003,,,
5/21/2003,C-1-4,May,2003,3.84,0,0
5/21/2003,C-1-5,May,2003,4.6,0,0
5/21/2003,C-2-1,May,2003,,,
5/21/2003,C-2-2,May,2003,3.24,0,0.79
5/21/2003,C-2-3,May,2003,4.87,0,0
5/21/2003,C-2-4,May,2003,,,
5/21/2003,C-2-5,May,2003,,,
5/21/2003,C-3-1,May,2003,12.23,0,0
5/21/2003,C-3-2,May,2003,,,
5/21/2003,C-3-3,May,2003,23.78,0,0
5/21/2003,C-3-4,May,2003,13.3,0,0
5/21/2003,C-3-5,May,2003,30.2,9.29,0
5/21/2003,C-4-1,May,2003,15.23,0,0
5/21/2003,C-4-2,May,2003,14.82,0,-1.86
5/21/2003,C-4-3,May,2003,7.13,-3.22,0
5/21/2003,C-4-4,May,2003,24.34,0,0
5/21/2003,C-4-5,May,2003,9.34,0,-1.27
6/26/2003,A-1-1,Jun,2003,9.31,0,0
6/26/2003,A-1-2,Jun,2003,19.35,0,0
6/26/2003,A-1-3,Jun,2003,6.69,0,-4.5
6/26/2003,A-1-4,Jun,2003,41.4,0,0
6/26/2003,A-1-5,Jun,2003,18.78,0,0
6/26/2003,A-2-1,Jun,2003,27.53,0,0
6/26/2003,A-2-2,Jun,2003,9.24,0,0
6/26/2003,A-2-3,Jun,2003,10.47,22.14,0
6/26/2003,A-2-4,Jun,2003,16.77,0,0
6/26/2003,A-2-5,Jun,2003,9.09,0,0
6/26/2003,A-3-1,Jun,2003,16.56,0,0
6/26/2003,A-3-2,Jun,2003,9.07,0,0
6/26/2003,A-3-3,Jun,2003,15.02,0,0
6/26/2003,A-3-4,Jun,2003,17.02,-37.41,0
6/26/2003,A-3-5,Jun,2003,40.44,0,0
6/26/2003,A-4-1,Jun,2003,28.16,0,0
6/26/2003,A-4-2,Jun,2003,19.02,-3.5,0
6/26/2003,A-4-3,Jun,2003,15.46,0,0
6/26/2003,A-4-4,Jun,2003,22.62,0,0
6/26/2003,A-4-5,Jun,2003,15.08,0,0
6/25/2003,B-1-1,Jun,2003,38.11,0,0
6/25/2003,B-1-2,Jun,2003,12.5,0,1.86
6/25/2003,B-1-3,Jun,2003,15.48,0,0
6/25/2003,B-1-4,Jun,2003,36.07,0,2.61
6/25/2003,B-1-5,Jun,2003,8.44,0,0
6/25/2003,B-2-1,Jun,2003,15.98,25.32,0
6/25/2003,B-2-2,Jun,2003,11.63,0,0
6/25/2003,B-2-3,Jun,2003,,,
6/25/2003,B-2-4,Jun,2003,12.54,0,-2.15
6/25/2003,B-2-5,Jun,2003,14.04,0,0
6/25/2003,B-3-1,Jun,2003,45.51,0,0
6/25/2003,B-3-2,Jun,2003,15.65,0,0
6/25/2003,B-3-3,Jun,2003,40.7,0,0
6/25/2003,B-3-4,Jun,2003,8.54,0,0
6/25/2003,B-3-5,Jun,2003,16.72,0,0
6/25/2003,B-4-1,Jun,2003,8.21,0,2.39
6/25/2003,B-4-2,Jun,2003,,,
6/25/2003,B-4-3,Jun,2003,13.12,0,-1.07
6/25/2003,B-4-4,Jun,2003,10.74,0,3.58
6/25/2003,B-4-5,Jun,2003,13.05,0,0
6/26/2003,C-1-1,Jun,2003,13,-7.4,0
6/26/2003,C-1-2,Jun,2003,10.91,-3.64,0
6/26/2003,C-1-3,Jun,2003,9.58,-3.04,0
6/26/2003,C-1-4,Jun,2003,13.1,0,0
6/26/2003,C-1-5,Jun,2003,,,
6/26/2003,C-2-1,Jun,2003,10.11,0,0
6/26/2003,C-2-2,Jun,2003,30.03,0,0
6/26/2003,C-2-3,Jun,2003,7.34,-3.5,0
6/26/2003,C-2-4,Jun,2003,15.48,0,0
6/26/2003,C-2-5,Jun,2003,,,
6/26/2003,C-3-1,Jun,2003,18.64,-2.48,0
6/26/2003,C-3-2,Jun,2003,16.75,0,12.86
6/26/2003,C-3-3,Jun,2003,56.29,0,0
6/26/2003,C-3-4,Jun,2003,13.06,-7.89,0
6/26/2003,C-3-5,Jun,2003,16.62,0,0
6/26/2003,C-4-1,Jun,2003,9.96,0,0
6/26/2003,C-4-2,Jun,2003,9.96,0,0
6/26/2003,C-4-3,Jun,2003,,,
6/26/2003,C-4-4,Jun,2003,,,
6/26/2003,C-4-5,Jun,2003,16.96,-2.78,0
8/4/2003,A-1-1,Jul,2003,,,
8/4/2003,A-1-2,Jul,2003,,,
8/4/2003,A-1-3,Jul,2003,,,
8/4/2003,A-1-4,Jul,2003,,,
8/4/2003,A-1-5,Jul,2003,,,
8/4/2003,A-2-1,Jul,2003,17.96,0,0
8/4/2003,A-2-2,Jul,2003,11.45,0,0
8/4/2003,A-2-3,Jul,2003,12.23,0,0
8/4/2003,A-2-4,Jul,2003,12.26,2.78,0
8/4/2003,A-2-5,Jul,2003,23.43,0,0
8/4/2003,A-3-1,Jul,2003,,,
8/4/2003,A-3-2,Jul,2003,5.54,-11.01,0
8/4/2003,A-3-3,Jul,2003,,,
8/4/2003,A-3-4,Jul,2003,,,
8/4/2003,A-3-5,Jul,2003,17.8,0,0
8/4/2003,A-4-1,Jul,2003,14.83,0,1.48
8/4/2003,A-4-2,Jul,2003,,,
8/4/2003,A-4-3,Jul,2003,12.01,0,0
8/4/2003,A-4-4,Jul,2003,17.05,0,0
8/4/2003,A-4-5,Jul,2003,12,0,0
7/24/2003,B-1-1,Jul,2003,40.31,0,0
7/24/2003,B-1-2,Jul,2003,16.37,0,5.2
7/24/2003,B-1-3,Jul,2003,16.14,0,1.94
7/24/2003,B-1-4,Jul,2003,11.55,0,0
7/24/2003,B-1-5,Jul,2003,13.02,0,4.07
7/24/2003,B-2-1,Jul,2003,29.63,-17.47,0
7/24/2003,B-2-2,Jul,2003,14.6,0,0
7/24/2003,B-2-3,Jul,2003,21.27,0,0
7/24/2003,B-2-4,Jul,2003,19.01,0,0
7/24/2003,B-2-5,Jul,2003,16.31,0,0
7/24/2003,B-3-1,Jul,2003,23.67,0,4.79
7/24/2003,B-3-2,Jul,2003,16.29,0,0
7/24/2003,B-3-3,Jul,2003,20.01,0,0
7/24/2003,B-3-4,Jul,2003,18.88,0,4.03
7/24/2003,B-3-5,Jul,2003,10.23,0,2.71
7/24/2003,B-4-1,Jul,2003,6.76,0,0
7/24/2003,B-4-2,Jul,2003,14.83,0,0
7/24/2003,B-4-3,Jul,2003,6.74,0,3.62
7/24/2003,B-4-4,Jul,2003,7.96,0,0
7/24/2003,B-4-5,Jul,2003,13.4,0,0
7/24/2003,C-1-1,Jul,2003,20.85,0,0
7/24/2003,C-1-2,Jul,2003,17.6,0,0
7/24/2003,C-1-3,Jul,2003,11.55,0,0
7/24/2003,C-1-4,Jul,2003,7.45,0,0
7/24/2003,C-1-5,Jul,2003,14.35,0,0
7/24/2003,C-2-1,Jul,2003,14.98,0,0
7/24/2003,C-2-2,Jul,2003,8.72,0,0
7/24/2003,C-2-3,Jul,2003,11.1,0,0
7/24/2003,C-2-4,Jul,2003,8.41,13.5,0.93
7/24/2003,C-2-5,Jul,2003,17.85,0,0
7/24/2003,C-3-1,Jul,2003,14.27,0,0
7/24/2003,C-3-2,Jul,2003,13.12,-10.47,0
7/24/2003,C-3-3,Jul,2003,13.51,0,0
7/24/2003,C-3-4,Jul,2003,11.84,0,0
7/24/2003,C-3-5,Jul,2003,15.67,0,0
7/24/2003,C-4-1,Jul,2003,25.65,0,0
7/24/2003,C-4-2,Jul,2003,41.33,0,0
7/24/2003,C-4-3,Jul,2003,9.82,0,3.38
7/24/2003,C-4-4,Jul,2003,19.18,0,0
7/24/2003,C-4-5,Jul,2003,11.03,0,0
8/27/2003,A-1-1,Aug,2003,20.1,0,0
8/27/2003,A-1-2,Aug,2003,13.47,0,0
8/27/2003,A-1-3,Aug,2003,21.05,0,0
8/27/2003,A-1-4,Aug,2003,12.95,0,0
8/27/2003,A-1-5,Aug,2003,13.51,0,0
8/27/2003,A-2-1,Aug,2003,10.76,0,0
8/27/2003,A-2-2,Aug,2003,15.91,0,-2.8
8/27/2003,A-2-3,Aug,2003,7.84,13.62,0
8/27/2003,A-2-4,Aug,2003,20.43,0,0
8/27/2003,A-2-5,Aug,2003,14.12,0,0
8/27/2003,A-3-1,Aug,2003,22.73,0,5.37
8/27/2003,A-3-2,Aug,2003,26.04,0,3.9
8/27/2003,A-3-3,Aug,2003,17.63,0,0
8/27/2003,A-3-4,Aug,2003,10.92,0,0
8/27/2003,A-3-5,Aug,2003,25.95,0,0
8/27/2003,A-4-1,Aug,2003,20.08,0,0
8/27/2003,A-4-2,Aug,2003,14.28,0,1.06
8/27/2003,A-4-3,Aug,2003,18.72,0,1.22
8/27/2003,A-4-4,Aug,2003,33.55,0,4.07
8/27/2003,A-4-5,Aug,2003,15.38,-3.55,0
8/28/2003,B-1-1,Aug,2003,16.74,0,0
8/28/2003,B-1-2,Aug,2003,13.38,0,1.13
8/28/2003,B-1-3,Aug,2003,12.28,0,0
8/28/2003,B-1-4,Aug,2003,16.27,0,2.37
8/28/2003,B-1-5,Aug,2003,,,
8/28/2003,B-2-1,Aug,2003,21,-9.62,1.04
8/28/2003,B-2-2,Aug,2003,11.08,0,2.8
8/28/2003,B-2-3,Aug,2003,27.82,-2.95,0
8/28/2003,B-2-4,Aug,2003,12.46,0,-0.5
8/28/2003,B-2-5,Aug,2003,35.32,0,0
8/28/2003,B-3-1,Aug,2003,26.33,0,11.88
8/28/2003,B-3-2,Aug,2003,13.49,0,0
8/28/2003,B-3-3,Aug,2003,19.53,-3.13,0
8/28/2003,B-3-4,Aug,2003,9.28,-3.04,0
8/28/2003,B-3-5,Aug,2003,19.61,9.55,0
8/28/2003,B-4-1,Aug,2003,14.27,0,5.81
8/28/2003,B-4-2,Aug,2003,17.45,0,0
8/28/2003,B-4-3,Aug,2003,8.56,0,2.78
8/28/2003,B-4-4,Aug,2003,13.22,-7.4,0
8/28/2003,B-4-5,Aug,2003,24.3,-13.01,0
8/28/2003,C-1-1,Aug,2003,15.55,0,2.48
8/28/2003,C-1-2,Aug,2003,18.21,0,0
8/28/2003,C-1-3,Aug,2003,10.99,0,0
8/28/2003,C-1-4,Aug,2003,13.11,0,0
8/28/2003,C-1-5,Aug,2003,13.26,0,0
8/28/2003,C-2-1,Aug,2003,14.17,0,0
8/28/2003,C-2-2,Aug,2003,15.77,-0.59,0
8/28/2003,C-2-3,Aug,2003,,,
8/28/2003,C-2-4,Aug,2003,12.7,0,0
8/28/2003,C-2-5,Aug,2003,18.57,0,0
8/28/2003,C-3-1,Aug,2003,15.4,0,0
8/28/2003,C-3-2,Aug,2003,13.78,-3.03,0
8/28/2003,C-3-3,Aug,2003,5.31,0,0
8/28/2003,C-3-4,Aug,2003,9.04,-3.61,0
8/28/2003,C-3-5,Aug,2003,13.35,0,0
8/28/2003,C-4-1,Aug,2003,16.44,-6.56,0
8/28/2003,C-4-2,Aug,2003,13.33,0,0
8/28/2003,C-4-3,Aug,2003,,,
8/28/2003,C-4-4,Aug,2003,9.88,0,0
8/28/2003,C-4-5,Aug,2003,5.36,0,0
9/25/2003,A-1-1,Sep,2003,15.84,0,1.32
9/25/2003,A-1-2,Sep,2003,16.12,0,0
9/25/2003,A-1-3,Sep,2003,21.24,0,0
9/25/2003,A-1-4,Sep,2003,18.27,0,0
9/25/2003,A-1-5,Sep,2003,35.03,0,0
9/25/2003,A-2-1,Sep,2003,12.74,0,0.6
9/25/2003,A-2-2,Sep,2003,49.11,0,0.96
9/25/2003,A-2-3,Sep,2003,7.04,1.56,0
9/25/2003,A-2-4,Sep,2003,21.66,0,0.88
9/25/2003,A-2-5,Sep,2003,17.32,0,2.51
9/25/2003,A-3-1,Sep,2003,26.12,-6.03,1.71
9/25/2003,A-3-2,Sep,2003,19.4,0,1.56
