DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,PLOT,REPLICATE,BURN,MOW,NUTRIENT,LVGRASS,FORBS,CUYRDD,PRYRDD,WOODY,COMMENTS
PBB01,1,1987,6,15,56,a,b,u,c,25.52,1.91,14.82,0,0,
PBB01,1,1987,6,15,56,b,b,u,c,31.8,15.91,9.61,0,0,
PBB01,1,1987,6,15,57,a,u,u,c,21.39,0.96,10.83,45.16,0,
PBB01,1,1987,6,15,57,b,u,u,c,14.81,0.21,6.79,40.71,0,
PBB01,1,1987,6,15,58,a,u,u,n+p,52.69,2.19,34.68,72.42,0,
PBB01,1,1987,6,15,58,b,u,u,n+p,18.13,35.14,23.76,36.41,0,
PBB01,1,1987,6,15,59,a,u,u,p,30.19,17.77,7.55,44.94,0,
PBB01,1,1987,6,15,59,b,u,u,p,33.32,9.69,21.31,46.45,0,
PBB01,1,1987,6,15,60,a,u,u,n,22.57,4.95,20.43,64.74,0,
PBB01,1,1987,6,15,60,b,u,u,n,37.14,33.7,12.24,46.39,0,
PBB01,1,1987,6,15,61,a,u,m,c,14.95,0.31,2.76,0,0,
PBB01,1,1987,6,15,61,b,u,m,c,22.13,0.68,4.26,0,0,
PBB01,1,1987,6,15,62,a,u,m,n+p,32.82,0.66,14.28,0,0,
PBB01,1,1987,6,15,62,b,u,m,n+p,30.57,0.94,18.46,0,0,
PBB01,1,1987,6,15,63,a,u,m,p,15.16,0.79,3.4,0,0,
PBB01,1,1987,6,15,63,b,u,m,p,14.93,0.37,12.07,0,0,
PBB01,1,1987,6,15,64,a,u,m,n,21.93,0.05,13.61,0,0,
PBB01,1,1987,6,15,64,b,u,m,n,16.07,0.5,12.21,0,0,
PBB01,1,1987,10,1,1,a,u,u,n,17.83,11.62,26.86,35.02,0,
PBB01,1,1987,10,1,1,b,u,u,n,11.61,9.58,5.51,19.89,0,
PBB01,1,1987,10,1,2,a,u,u,c,16,4.13,14,23.19,0,
PBB01,1,1987,10,1,2,b,u,u,c,9.88,3.95,5.26,28.41,0,
PBB01,1,1987,10,1,3,a,u,u,p,1.55,0.74,2.07,36.46,0,
PBB01,1,1987,10,1,3,b,u,u,p,11.01,5.23,10.44,37.61,0,
PBB01,1,1987,10,1,4,a,u,u,n+p,15.92,5.46,6.91,35.57,0,
PBB01,1,1987,10,1,4,b,u,u,n+p,25.93,24.77,4.31,36.28,0,
PBB01,1,1987,10,1,5,a,u,m,n,16.1,0.15,1.64,0,0,
PBB01,1,1987,10,1,5,b,u,m,n,12.34,1.13,4.66,0,0,
PBB01,1,1987,10,1,6,a,u,m,c,3.69,1.27,1.56,0,0,
PBB01,1,1987,10,1,6,b,u,m,c,10.85,1.97,3.01,0,0,
PBB01,1,1987,10,1,7,a,u,m,p,10.62,1.45,5.06,0,0,
PBB01,1,1987,10,1,7,b,u,m,p,16.03,0.24,3.12,0,0,
PBB01,1,1987,10,1,8,a,u,m,n+p,12.48,4.07,4.54,0,0,
PBB01,1,1987,10,1,8,b,u,m,n+p,14.74,4.48,7.1,0,0,
PBB01,1,1987,10,1,9,a,b,m,c,6.65,0.28,2.85,0,0,
PBB01,1,1987,10,1,9,b,b,m,c,17.52,0.07,2.82,0,0,
PBB01,1,1987,10,1,10,a,b,m,p,5.69,0.15,1.4,0,0,
PBB01,1,1987,10,1,10,b,b,m,p,6.2,1,0.8,0,0,
PBB01,1,1987,10,1,11,a,b,m,n+p,13.15,0.88,5.44,0,0,
PBB01,1,1987,10,1,11,b,b,m,n+p,4.98,2.99,1.58,0,0,
PBB01,1,1987,10,1,12,a,b,m,n,16.39,0.23,3.33,0,0,
PBB01,1,1987,10,1,12,b,b,m,n,9.47,0.17,2.51,0,0,
PBB01,1,1987,10,1,13,a,b,u,c,12.7,3.33,7.96,0,0,
PBB01,1,1987,10,1,13,b,b,u,c,16.17,2.8,8.98,0,0,
PBB01,1,1987,10,1,14,a,b,u,p,9.42,4.45,5.48,0,0,
PBB01,1,1987,10,1,14,b,b,u,p,15.73,2.46,6.68,0,0,
PBB01,1,1987,10,1,15,a,b,u,n+p,61.54,15.27,21.6,0,0,
PBB01,1,1987,10,1,15,b,b,u,n+p,14.74,4.43,15.67,0,0,
PBB01,1,1987,10,1,16,a,b,u,n,39.42,7.06,38.64,0,0,
PBB01,1,1987,10,1,16,b,b,u,n,13.87,5.57,3.75,0,0,
PBB01,1,1987,10,2,33,a,u,m,n+p,27.64,0.26,8.62,0,0,
PBB01,1,1987,10,2,33,b,u,m,n+p,16.24,0.76,6.57,0,0,
PBB01,1,1987,10,2,34,a,u,m,c,9.27,3.01,6.78,0,0,
PBB01,1,1987,10,2,34,b,u,m,c,16.3,1.7,7.46,0,0,
PBB01,1,1987,10,2,35,a,u,m,p,16.85,0.13,5.49,0,0,
PBB01,1,1987,10,2,35,b,u,m,p,17.74,0.2,5.29,0,0,
PBB01,1,1987,10,2,36,a,u,m,n,23.29,0.2,10.58,0,0,
PBB01,1,1987,10,2,36,b,u,m,n,62.49,0,16.3,0,0,
PBB01,1,1987,10,2,37,a,u,u,n+p,9.97,8.56,26.95,39.55,0,
PBB01,1,1987,10,2,37,b,u,u,n+p,9.1,2.79,2.88,41.6,0,
PBB01,1,1987,10,2,38,a,u,u,c,11.22,12.2,10.26,57.15,0,
PBB01,1,1987,10,2,38,b,u,u,c,17.61,0.26,8.26,48.44,0,
PBB01,1,1987,10,2,39,a,u,u,p,12.32,3.97,34.36,29.22,0,
PBB01,1,1987,10,2,39,b,u,u,p,31.98,4.83,22.9,19.83,0,
PBB01,1,1987,10,2,40,a,u,u,n,2.33,7.61,6.64,36.05,0,
PBB01,1,1987,10,2,40,b,u,u,n,24.19,9.32,10.39,37.61,0,
PBB01,1,1987,10,2,41,a,b,u,n,16.98,0,25.02,0,0,
PBB01,1,1987,10,2,41,b,b,u,n,15.39,0.69,8.37,0,0,
PBB01,1,1987,10,2,42,a,b,u,c,25.38,0.17,51.77,0,0,
PBB01,1,1987,10,2,42,b,b,u,c,46.47,0.68,25.72,0,0,
PBB01,1,1987,10,2,43,a,b,u,p,12.94,1.88,17.16,0,0,
PBB01,1,1987,10,2,43,b,b,u,p,12.87,1.64,22.18,0,0,
PBB01,1,1987,10,2,44,a,b,u,n+p,23.91,1.92,58.79,0,0,
PBB01,1,1987,10,2,44,b,b,u,n+p,54.06,4.35,50.93,0,0,
PBB01,1,1987,10,2,45,a,b,m,n,9.84,0.28,4.36,0,0,
PBB01,1,1987,10,2,45,b,b,m,n,17.76,0.2,6.43,0,0,
PBB01,1,1987,10,2,46,a,b,m,c,5.99,0.54,2.51,0,0,
PBB01,1,1987,10,2,46,b,b,m,c,8.96,0.16,3.86,0,0,
PBB01,1,1987,10,2,47,a,b,m,p,12.1,0,5.79,0,0,
PBB01,1,1987,10,2,47,b,b,m,p,11.07,0.12,5.68,0,0,
PBB01,1,1987,10,2,48,a,b,m,n+p,25.22,0.09,7.33,0,0,
PBB01,1,1987,10,2,48,b,b,m,n+p,36.62,0.45,12.08,0,0,
PBB01,1,1987,10,2,49,a,b,m,n+p,18.34,0.36,7.47,0,0,
PBB01,1,1987,10,2,49,b,b,m,n+p,14.74,0.12,7.97,0,0,
PBB01,1,1987,10,2,50,a,b,m,n,20.16,0.1,10.26,0,0,
PBB01,1,1987,10,2,50,b,b,m,n,19.08,0.31,8.34,0,0,
PBB01,1,1987,10,2,51,a,b,m,p,12.26,0.36,5.15,0,0,
PBB01,1,1987,10,2,51,b,b,m,p,15.78,0.01,5.78,0,0,
PBB01,1,1987,10,2,52,a,b,m,c,7.27,0.14,4.15,0,0,
PBB01,1,1987,10,2,52,b,b,m,c,11.85,0.38,4.55,0,0,
PBB01,1,1987,10,2,53,a,b,u,n+p,44.8,0.09,53.59,0,0,
PBB01,1,1987,10,2,53,b,b,u,n+p,40.13,0.35,70.34,0,0,
PBB01,1,1987,10,2,54,a,b,u,n,34.17,1.05,34.74,0,0,
PBB01,1,1987,10,2,54,b,b,u,n,38.6,41.4,12.93,0,0,
PBB01,1,1987,10,2,55,a,b,u,p,20.45,1.24,21.36,0,0,
PBB01,1,1987,10,2,55,b,b,u,p,16.18,0.44,26.49,0,0,
PBB01,1,1987,10,2,56,a,b,u,c,25.89,10.63,24.95,0,0,
PBB01,1,1987,10,2,56,b,b,u,c,11.91,1.1,19.8,0,0,
PBB01,1,1987,10,2,57,a,u,u,c,5.34,4.33,6.51,24.32,0,
PBB01,1,1987,10,2,57,b,u,u,c,5.1,6,21.29,44.83,0,
PBB01,1,1987,10,2,58,a,u,u,n+p,5.84,0,8.17,42.99,0,
PBB01,1,1987,10,2,58,b,u,u,n+p,10.43,0,4.92,32.84,0,
PBB01,1,1987,10,2,59,a,u,u,p,8.72,15.25,14.44,36.35,0,
PBB01,1,1987,10,2,59,b,u,u,p,16.63,0.61,19.39,34.33,0,
PBB01,1,1987,10,2,60,b,u,u,n,20.65,14.91,25.53,41.29,0,
PBB01,1,1987,10,2,60,a,u,u,n,0.29,24.48,1.76,60.08,0,
PBB01,1,1987,10,2,61,a,u,m,c,9.46,0.08,6.06,0,0,
PBB01,1,1987,10,2,61,b,u,m,c,12.32,0.1,6.41,0,0,
PBB01,1,1987,10,2,62,a,u,m,n+p,14.93,0.01,3.93,0,0,
PBB01,1,1987,10,2,62,b,u,m,n+p,21.19,0.27,8.07,0,0,
PBB01,1,1987,10,2,63,a,u,m,p,6.79,0.27,3.64,0,0,
PBB01,1,1987,10,2,63,b,u,m,p,9.79,0.81,9.29,0,0,
PBB01,1,1987,10,2,64,a,u,m,n,20.95,0,11.08,0,0,
PBB01,1,1987,10,2,64,b,u,m,n,12.85,0.27,5.93,0,0,
PBB01,1,1987,10,6,17,a,u,u,n+p,10.65,12.45,23.83,34.8,0,
PBB01,1,1987,10,6,17,b,u,u,n+p,11.64,11.4,10.84,31.24,0,
PBB01,1,1987,10,6,18,a,u,u,n,4.63,16.21,12.37,25.56,0,
PBB01,1,1987,10,6,18,b,u,u,n,27.37,4.54,23.12,55.41,0,
PBB01,1,1987,10,6,19,a,u,u,p,7.17,7.17,8.72,11.21,0,
PBB01,1,1987,10,6,19,b,u,u,p,6.01,6.39,4.18,16.12,0,
PBB01,1,1987,10,6,20,a,u,u,c,8.11,3.06,7.54,20.96,0,
PBB01,1,1987,10,6,20,b,u,u,c,10.87,0.84,9.87,48.64,0,
PBB01,1,1987,10,6,21,a,u,m,n+p,24.85,0.22,13.05,0,0,
PBB01,1,1987,10,6,21,b,u,m,n+p,6.82,0.87,2.25,0,0,
PBB01,1,1987,10,6,22,a,u,m,n,13.44,0.74,3.9,0,0,
PBB01,1,1987,10,6,22,b,u,m,n,10.4,1.07,5.32,0,0,
PBB01,1,1987,10,6,23,a,u,m,p,11.5,0.6,4.54,0,0,
