Date,Site,Treatment,Growth Form,Species,Tissue,Biomass Categroy,B1Q1,B1Q2,B1Q3,B1Q4,B1Q5,B1Q6,B1Q7,B1Q8,B2Q1,B2Q2,B2Q3,B2Q4,B2Q5,B2Q6,B2Q7,B2Q8,B3Q1,B3Q2,B3Q3,B3Q4,B3Q5,B3Q6,B3Q7,B3Q8,B4Q1,B4Q2,B4Q3,B4Q4,B4Q5,B4Q6,B4Q7,B4Q8,Average,Std. Err.,Count,B1Q1gm2,B1Q2gm2,B1Q3gm2,B1Q4gm2,B1Q5gm2,B1Q6gm2,B1Q7gm2,B2Q1gm2,B2Q2gm2,B2Q3gm2,B2Q4gm2,B2Q5gm2,B2Q6gm2,B2Q7gm2,B3Q1gm2,B3Q2gm2,B3Q3gm2,B3Q4gm2,B3Q5gm2,B3Q6gm2,B3Q7gm2,B4Q1gm2,B4Q2gm2,B4Q3gm2,B4Q4gm2,B4Q5gm2,B4Q6gm2,B4Q7gm2,Average g/m^2,StdERR g/m^2,Count  g/m^2,Species Comments,Comments
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,cys blade,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,cys sheath,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Eriophorum vaginatum,inc. cys,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Carex bigelowii,blade,new above,0.132,0.007,0.000,0.162,0.184,.,.,.,0,0.018,0.093,0.000,0.056,.,.,.,0.000,0.000,0.000,0.013,0.000,.,.,.,0.04,0.000,0.023,0.031,0.018,.,.,.,0.039,0.013,20.000,3.3,0.175,0,4.05,4.6,.,.,0,0.45,2.325,0,1.4,.,.,0,0,0,0.325,0,.,.,0.975,0,0.575,0.775,0.45,.,.,0.970,0.322,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Carex bigelowii,sheath,new above,0.047,0.004,0.000,0.145,0.177,.,.,.,0,0.011,0.059,0.000,0.026,.,.,.,0.000,0.000,0.000,0.021,0.000,.,.,.,0.03,0.000,0.016,0.059,0.044,.,.,.,0.032,0.011,20.000,1.175,0.1,0,3.625,4.425,.,.,0,0.275,1.475,0,0.65,.,.,0,0,0,0.525,0,.,.,0.75,0,0.4,1.475,1.1,.,.,0.799,0.273,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Carex bigelowii,rhizome,below,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Carex bigelowii,v1,new above,0.069,0.000,0.000,0.020,0.113,.,.,.,0,0.000,0.018,0.000,0.000,.,.,.,0.000,0.046,0.000,0.000,0.000,.,.,.,0.06,0.000,0.044,0.018,0.036,.,.,.,0.021,0.007,20.000,1.725,0,0,0.5,2.825,.,.,0,0,0.45,0,0,.,.,0,1.15,0,0,0,.,.,1.5,0,1.1,0.45,0.9,.,.,0.530,0.175,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Carex bigelowii,v0,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.012,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.002,0.005,.,.,.,0.001,0.001,20.000,0,0,0,0,0,.,.,0,0,0,0,0.3,.,.,0,0,0,0,0,.,.,0,0,0,0.05,0.125,.,.,0.024,0.016,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Carex bigelowii,buds,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Carex bigelowii,inflorescence,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.037,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.052,0.095,0.055,.,.,.,0.012,0.006,20.000,0,0,0,0,0,.,.,0,0,0.925,0,0,.,.,0,0,0,0,0,.,.,0,0,1.3,2.375,1.375,.,.,0.299,0.148,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Carex bigelowii,inc. blade,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Carex bigelowii,inc. sheath,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Carex bigelowii,cys blade,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Carex bigelowii,cys sheath,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Calamagrostis canadensis,new above,new above,0.003,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0.075,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.004,0.004,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Graminoid,Calamagrostis canadensis,rhizome,below,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Betula nana,long stem,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Betula nana,long leaf,new above,0.012,0.025,0.000,0.029,0.000,.,.,.,0,0.000,0.010,0.000,0.002,.,.,.,0.000,0.004,0.007,0.000,0.000,.,.,.,0.00,0.041,0.000,0.000,0.000,.,.,.,0.007,0.003,20.000,0.3,0.625,0,0.725,0,.,.,0,0,0.25,0,0.05,.,.,0,0.1,0.175,0,0,.,.,0,1.025,0,0,0,.,.,0.163,0.066,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Betula nana,short stem,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Betula nana,short leaf,new above,0.087,0.096,0.005,0.131,0.000,.,.,.,0.051,0.010,0.057,0.070,0.004,.,.,.,0.000,0.044,0.055,0.006,0.000,.,.,.,0.02,0.144,0.000,0.000,0.000,.,.,.,0.039,0.010,20.000,2.175,2.4,0.125,3.275,0,.,.,1.275,0.25,1.425,1.75,0.1,.,.,0,1.1,1.375,0.15,0,.,.,0.375,3.6,0,0,0,.,.,0.969,0.259,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Betula nana,inflorescence,new above,0.009,0.029,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.006,0.000,0.000,0.000,.,.,.,0.00,0.004,0.000,0.000,0.000,.,.,.,0.002,0.002,20.000,0.225,0.725,0,0,0,.,.,0,0,0,0,0,.,.,0,0.15,0,0,0,.,.,0,0.1,0,0,0,.,.,0.060,0.038,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Betula nana,old stems,old above,1.660,2.033,0.725,4.381,0.000,.,.,.,1.204,0.044,0.729,0.711,0.108,.,.,.,0.000,0.319,0.723,0.068,0.000,.,.,.,2.41,2.216,0.000,0.000,0.000,.,.,.,0.867,0.259,20.000,41.5,50.825,18.125,109.525,0,.,.,30.1,1.1,18.225,17.775,2.7,.,.,0,7.975,18.075,1.7,0,.,.,60.325,55.4,0,0,0,.,.,21.668,6.469,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Betula nana,below stems,below,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Salix pulchra,long stem,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Salix pulchra,long leaf,new above,0.000,0.015,0.000,0.000,0.006,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.001,0.001,20.000,0,0.375,0,0,0.15,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.026,0.020,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Salix pulchra,short stem,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Salix pulchra,short leaf,new above,0.000,0.011,0.000,0.000,0.004,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.02,0.000,0.000,0.000,0.000,.,.,.,0.002,0.001,20.000,0,0.275,0,0,0.1,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.425,0,0,0,0,.,.,0.040,0.025,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Salix pulchra,inflorescence,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Salix pulchra,old stems,old above,0.000,0.234,0.000,0.000,0.611,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.02,0.000,0.000,0.000,0.000,.,.,.,0.043,0.032,20.000,0,5.85,0,0,15.275,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.55,0,0,0,0,.,.,1.084,0.802,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Salix pulchra,below stems,below,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Rubus chamaemorus,inflorescence,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Rubus chamaemorus,new leaves,new above,0.000,0.000,0.006,0.000,0.000,.,.,.,0,0.000,0.000,0.003,0.000,.,.,.,0.008,0.003,0.022,0.000,0.029,.,.,.,0.00,0.007,0.000,0.000,0.000,.,.,.,0.004,0.002,20.000,0,0,0.15,0,0,.,.,0,0,0,0.075,0,.,.,0.2,0.075,0.55,0,0.725,.,.,0,0.175,0,0,0,.,.,0.098,0.044,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Rubus chamaemorus,new stems,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Rubus chamaemorus,below stems,below,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Arctostaphylos alpina,new leaves,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.022,0.000,.,.,.,0.005,0.000,0.000,0.000,0.014,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.002,0.001,20.000,0,0,0,0,0,.,.,0,0,0,0.55,0,.,.,0.125,0,0,0,0.35,.,.,0,0,0,0,0,.,.,0.051,0.032,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Arctostaphylos alpina,new stems,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Arctostaphylos alpina,old stems,old above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Arctostaphylos alpina,below stems,below,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Arctostaphylos alpina,fruit,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Vaccinium uliginosum,new leaves,new above,0.000,0.000,0.000,0.183,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.009,0.009,20.000,0,0,0,4.575,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.229,0.229,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Vaccinium uliginosum,new stems,new above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Vaccinium uliginosum,old stems,old above,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Deciduous,Vaccinium uliginosum,below stems,below,0.000,0.000,0.000,0.000,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,20.000,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0.000,0.000,20,,
01-Jun-1982,Toolik Tussock 1981 plots,Control,Forb,Polygonum bistorta,new above,new above,0.038,0.000,0.000,0.039,0.000,.,.,.,0,0.000,0.000,0.000,0.000,.,.,.,0.000,0.000,0.000,0.000,0.000,.,.,.,0.00,0.000,0.000,0.000,0.008,.,.,.,0.004,0.003,20.000,0.95,0,0,0.975,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0,.,.,0,0,0,0,0.2,.,.,0.106,0.066,20,,
