START_DATE,BLOCK,PLOT,SUB_QUAD,TAG,SPECIES,MAIN_STEM,DBH_CM,HEIGHT_Measured,HEIGHT_Estimated,SLP,A_D_NF,COMMENTS
2003-03-01,A,1,7,63,MICPRA,,4.52,6.5,,S,A,
2003-03-01,A,1,7,64,MICPRA,63,1.93,3.5,,S,A,
2003-03-01,A,1,7,65,MICPRA,,1.01,2.5,,S,A,
2003-03-01,A,1,7,66,MICPRA,,2.67,4,,S,A,
2003-03-01,A,1,7,67,MICPRA,66,2.04,3,,S,A,
2003-03-01,A,1,7,68,MICPRA,66,1.56,3.5,,S,A,
2003-03-01,A,1,7,69,MICPRA,,1.28,3,,L,A,
2003-03-01,A,1,7,70,TABHET,,1.36,3.5,,S,A,
2003-03-01,A,1,7,71,EUGSTA,,5.2,7,,S,A,TRAIL
2003-03-01,A,1,8,72,PSYBER,,1.08,2.5,,S,A,
2003-03-01,A,1,8,73,PSYBER,,1.57,3,,S,A,
2003-03-01,A,1,8,74,PSYBER,73,1.43,3,,S,A,
2003-03-01,A,1,8,75,PSYBER,,1.25,3,,S,A,
2003-03-01,A,1,8,76,PREMON,,21.4,16,,S,A,
2003-03-01,A,1,8,77,PREMON,,13.4,9.5,,S,A,
2003-03-01,A,1,8,78,PREMON,,11.2,5,,S,A,POM = 45; DTN = -10
2003-03-01,A,1,8,79,MICTET,,1.88,2.7,,S,A,
2003-03-01,A,1,9,80,DACEXC,,1.27,1.8,,S,A,
2003-03-01,A,1,9,81,TETBAL,,1.29,2.5,,S,A,CURVED @ BASE
2003-03-01,A,1,9,82,SLOBER,,1.02,1.8,,S,A,
2003-03-01,A,1,9,83,PREMON,,17.5,10,,S,A,
2003-03-01,A,1,9,84,CASSYL,,7.6,8,,S,A,
2003-03-01,A,1,9,85,ALCLAT,,17,16.5,,S,A,
2003-03-01,A,1,9,86,HOMRAC,,10.8,11,,S,A,
2003-03-01,A,1,9,87,SLOBER,,3.62,5.5,,S,A,
2003-03-01,A,1,9,88,DACEXC,,3.81,5.5,,S,A,
2003-03-01,A,1,9,89,PREMON,,10.8,5.5,,S,A,POM =116; DTN = -20
2003-03-01,A,1,10,90,PSYBER,,4.32,5.2,,S,A,
2003-03-01,A,1,10,91,MANBID,,24.6,18.5,,S,A,
2003-03-01,A,1,10,92,PREMON,,10.1,4,,S,A,POM =  62; DTN = -20
2003-03-01,A,1,10,93,PREMON,,15.1,8,,S,A,
2003-03-01,A,1,10,94,PREMON,,8.9,4.3,,S,A,POM = 93; DTN = -20
2003-03-01,A,1,10,95,MICPRA,,1.75,3.2,,S,A,
2003-03-01,A,1,10,96,MICPRA,95,1.36,2,,S,A,
2003-03-01,A,1,10,97,MICPRA,95,1.09,1.8,,L,A,
2003-03-01,A,1,11,98,CORBOR,,6,6,,S,A,
2003-03-01,A,1,11,99,SLOBER,,1.45,2.5,,S,A,
2003-03-01,A,1,11,100,TABHET,,1.03,2.3,,S,A,
2003-03-01,A,1,11,101,PSYBER,,1.85,3,,S,A,
2003-03-01,A,1,11,102,PSYBER,,2.62,4,,S,A,LEANING AT BASE
2003-03-01,A,1,11,103,TABHET,,1.27,1.8,,S,A,
2003-03-01,A,1,11,104,TABHET,,1.84,3.6,,S,A,
2003-03-01,A,1,11,105,PSYBER,,2.31,2.2,,S,A,
2003-03-01,A,1,11,106,PREMON,,16,6.7,,S,A,
2003-03-01,A,1,11,107,MANBID,,1.81,2,,S,A,
2003-03-01,A,1,12,108,MYRLEP,,1.15,2.1,,S,A,
2003-03-01,A,1,12,109,PREMON,,14.7,6.5,,S,A,
2003-03-01,A,1,12,110,PREMON,,15.6,9.5,,S,A,
2003-03-01,A,1,12,111,PREMON,,14.9,9,,S,A,
2003-03-01,A,1,13,112,PREMON,,14.8,8,,S,A,TRAIL
2003-03-01,A,1,13,113,SLOBER,,1.81,2.5,,S,A,
2003-03-01,A,1,13,114,CORBOR,,1.56,4,,S,A,
2003-03-01,A,1,13,115,PREMON,,11.6,4.2,,S,A,POM = 44; DTN = -10
2003-03-01,A,1,13,116,PSYBRA,,1.69,2.5,,S,A,
2003-03-01,A,1,13,117,CROPOE,,5.6,5,,S,A,
2003-03-01,A,1,13,118,MYRDEF,,1.61,3.7,,S,A,
2003-03-01,A,1,14,119,CORBOR,,3.19,4.2,,S,A,
2003-03-01,A,1,14,120,LAEPRO,,19.6,19,,S,A,
2003-03-01,A,1,14,121,SCHMOR,,1.28,2.5,,S,A,
2003-03-01,A,1,14,122,TABHET,,1.3,2.5,,S,A,
2003-03-01,A,1,14,123,INGLAU,,4.64,6,,S,A,
2003-03-01,A,1,14,124,PREMON,,15.3,8,,S,A,
2003-03-01,A,1,14,125,CASSYL,,1.64,2.7,,S,A,ON ROCK
2003-03-01,A,1,14,126,PREMON,,9.7,5,,S,A,POM=110;DTN= -20
2003-03-01,A,1,15,127,PREMON,,16.2,8.5,,S,A,
2003-03-01,A,1,15,128,GUAGLA,,7.5,5.5,,S,A,OLD TAG #262 NOT VOGTS; POM=131 B/C OLD TAG
2003-03-01,A,1,15,129,DACEXC,,32.2,19,,S,A,
2003-03-01,A,1,15,130,PSYBER,,1.36,2.5,,S,A,
2003-03-01,A,1,15,131,PREMON,,14.8,8,,S,A,
2003-03-01,A,1,15,132,PREMON,,15.5,10.5,,S,A,TRAIL
2003-03-01,A,1,16,133,MANBID,,41.7,21,,S,A,
2003-03-01,A,1,16,134,PSYBER,,2.99,4,,S,A,
2003-03-01,A,1,16,135,PSYBER,,1.83,3.1,,S,A,
2003-03-01,A,1,16,136,PSYBER,,1.67,3,,S,A,
2003-03-01,A,1,16,137,PSYBER,,1.13,2,,S,A,
2003-03-01,A,1,16,138,IXOFER,,6.9,5.5,,S,A,
2003-03-01,A,1,16,139,IXOFER,138,3.71,4,,S,A,POM = 124 B/C VINE STRANGLING
2003-03-01,A,1,16,140,CORSUL,,12.5,8,,S,A,
2003-03-01,A,1,16,141,PREMON,,13.5,5.5,,S,A,
2003-03-01,A,1,16,142,MICTET,,20.5,17,,S,A,TRAIL
2003-03-01,A,2,1,1,CASARB,,2,3.2,,S,A,
2003-03-01,A,2,1,2,IXOFER,,1.35,2,,S,A,
2003-03-01,A,2,1,3,PREMON,,12.4,6.5,,S,A,VOGT 1688 & EOO28
2003-03-01,A,2,1,4,DACEXC,,26.5,19,,S,A,VOGT  1675
2003-03-01,A,2,1,5,DACEXC,,27,18,,S,A,VOGT 1674
2003-03-01,A,2,1,6,PREMON,,14.2,8,,S,A,E0032
2003-03-01,A,2,1,7,IXOFER,,1.6,3,,L,A,
2003-03-01,A,2,2,8,PREMON,,17.5,11,,S,A,VOGT 1692; E0029
2003-03-01,A,2,2,9,CASARB,,20.2,14,,S,A,
2003-03-01,A,2,2,10,CASARB,9,5.5,6,,S,A,
2003-03-01,A,2,2,11,HIRRUG,,12.3,6,,S,A,VOGT 1672
2003-03-01,A,2,2,12,CORBOR,,5,5.1,,S,A,
2003-03-01,A,2,2,13,PREMON,,10.4,4.6,,S,A,
2003-03-01,A,2,2,14,ALCFLO,,15.1,14,,S,A,VOGT 1690; E0031
2003-03-01,A,2,3,15,DACEXC,,7,5.1,,S,A,TWISTED BARK; STRAGED BY VINE; VOGT 1703
2003-03-01,A,2,3,16,DACEXC,,65.6,24,,L,A,VOGT 1668; COVERED W/VINES
2003-03-01,A,2,3,17,PREMON,,9.9,4.5,,S,A,POM = 49; DTN = -20
2003-03-01,A,2,3,18,PREMON,,11.5,6,,S,A,
2003-03-01,A,2,3,19,CHIDOM,,4.9,6,,L,A,VOGT 1704; TRAIL
2003-03-01,A,2,3,20,SLOBER,,2.05,3,,S,A,
2003-03-01,A,2,3,21,SLOBER,,1.46,2.3,,S,A,TRAIL
2003-03-01,A,2,4,22,PREMON,,12.1,6,,S,A,
2003-03-01,A,2,4,23,CORBOR,,8,6.5,,S,A,VOGT 1671
2003-03-01,A,2,4,24,HELCAR,,,2.5,,S,A,1 CULM
2003-03-01,A,2,4,25,PREMON,,11,4,,S,A,POM = 41; DTN= -10
2003-03-01,A,2,4,26,DACEXC,,33.9,17,,S,A,VOGT 1708; E0061
2003-03-01,A,2,4,27,DACEXC,,6.6,6.5,,S,A,VOGT 1716; E0062
2003-03-01,A,2,4,28,RHEPOR,,1.2,2.2,,S,A,
2003-03-01,A,2,4,29,DACEXC,,13.6,9,,S,A,VOGT 1709; E0066
2003-03-01,A,2,4,30,DACEXC,,18.6,16,,S,A,VOGT 1707
2003-03-01,A,2,5,31,CECSCH,,9.9,8.1,,S,A,
2003-03-01,A,2,5,32,PREMON,,14.2,8,,S,A,VOGT 1728; E0018
2003-03-01,A,2,5,33,PREMON,,12,4.9,,S,A,
2003-03-01,A,2,5,34,PALRIP,,3.15,3.5,,S,A,
2003-03-01,A,2,6,35,PREMON,,12.5,6,,S,A,VOGT 1722
2003-03-01,A,2,6,36,PREMON,,13,7.5,,S,A,
2003-03-01,A,2,6,37,PREMON,,8.5,4,,S,A,POM=120; DTN= -20
2003-03-01,A,2,6,38,SLOBER,,5,4.5,,S,A,
2003-03-01,A,2,6,39,DRYGLA,,10,7,,S,A,VOGT 1690; E0043
2003-03-01,A,2,6,40,PREMON,,12.8,5.8,,S,A,
2003-03-01,A,2,6,41,INGLAU,,6.3,7.4,,S,A,VOGT 1695; E0041
2003-03-01,A,2,6,42,SLOBER,,8,9,,S,A,VOGT 1690; E0044
2003-03-01,A,2,7,43,PREMON,,10.8,4.5,,S,A,POM = 129; DTN= -20; TRAIL E0053 OLDTAG
2003-03-01,A,2,7,44,MICPRA,,1.06,2,,S,A,
2003-03-01,A,2,7,45,MICPRA,44,1.06,1.9,,S,A,
2003-03-01,A,2,7,46,MICTET,,1.05,2.3,,S,A,
2003-03-01,A,2,7,47,PALRIP,,1.55,2.2,,S,A,
2003-03-01,A,2,7,48,PALRIP,47,1,2.1,,S,A,
2003-03-01,A,2,7,49,SLOBER,,1.1,2,,S,A,
2003-03-01,A,2,7,50,PREMON,,13.9,7.4,,S,A,VOGT 1721; E0052
2003-03-01,A,2,7,51,MICTET,,3.25,4.6,,S,A,
2003-03-01,A,2,7,52,MICTET,51,2.15,3.2,,S,A,
2003-03-01,A,2,7,53,PSYBRA,,2.05,30,,S,A,
2003-03-01,A,2,7,54,PSYBRA,53,1.55,2.5,,S,A,
2003-03-01,A,2,7,55,DACEXC,,33.6,17,,S,A,E0054
2003-03-01,A,2,7,56,DACEXC,,11.5,10,,S,A,POM = 133 B/C NAIL; E0055; VOGT 1699 OLDTAG
2003-03-01,A,2,7,57,PREMON,,16.7,8,,S,A,OLD E0058
2003-03-01,A,2,8,58,MICPRA,,2.1,2.3,,S,A,
2003-03-01,A,2,8,59,MICPRA,58,1.27,2,,S,A,
2003-03-01,A,2,8,60,DACEXC,,47,20,,S,A,VOGT 1720; E0059
2003-03-01,A,2,8,61,DACEXC,,33.1,19,,S,A,VOGT 1719
2003-03-01,A,2,8,62,DACEXC,,7.1,8,,S,A,VOGT 1717; POM=132
2003-03-01,A,2,8,63,PREMON,,13.2,4.5,,S,A,POM = 35; DTN= -20
2003-03-01,A,2,8,64,OCOMOS,,34.1,20,,S,A,VOGT 1723; E0088; POM 150; DTN=20 BUTTRESS
2003-03-01,A,2,9,65,PREMON,,17,9.5,,S,A,OLD TAG E0017
2003-03-01,A,2,9,66,DACEXC,,38.8,20,,S,A,OLD TAG E0023
2003-03-01,A,2,9,67,CASSYL,,2.9,3,,S,A,
2003-03-01,A,2,9,68,PREMON,,10.8,4.75,,S,A,
2003-03-01,A,2,10,69,PREMON,,9.3,5.5,,S,A,POM 120; DTN = -20 TRAIL E0018
2003-03-01,A,2,10,70,PREMON,,14.2,7.5,,S,A,OLD TAG E0008
2003-03-01,A,2,10,71,LONLAT,,1.6,3,,S,A,
2003-03-01,A,2,10,72,DACEXC,,17.2,9.6,,S,A,OLD TAG E0051
2003-03-01,A,2,11,73,PREMON,,10.9,7.5,,S,A,POM =130; DTN = -20
2003-03-01,A,2,11,74,PSYBER,,2.15,3.2,,S,A,
2003-03-01,A,2,11,75,MANBID,,1.4,2,,S,A,TRAIL
2003-03-01,A,2,11,76,MANBID,,19.3,8,,S,A,TOP BROKEN; E0007
2003-03-01,A,2,11,77,PSYBER,,1.1,1.9,,S,A,
2003-03-01,A,2,11,78,MANBID,79,1.22,1.9,,S,A,
2003-03-01,A,2,12,79,MANBID,,31.6,18,,P,A,POM 300; DTN -20 POM IS IN SUB 11;E 0071; SOME VINES
2003-03-01,A,2,12,80,PREMON,,15.8,8,,S,A,
2003-03-01,A,2,12,81,CECSCH,,9.1,9,,S,A,
2003-03-01,A,2,12,82,INGLAU,,1.4,2.7,,S,A,
2003-03-01,A,2,12,83,INGLAU,82,1.35,1.8,,S,A,
2003-03-01,A,2,12,84,MICPRA,,1.7,3,,S,A,GROWING OVER ROCK
2003-03-01,A,2,12,85,PALRIP,,2.3,2.7,,S,A,TRAIL
2003-03-01,A,2,12,86,PALRIP,85,1.3,2.5,,S,A,TRAIL
2003-03-01,A,2,12,87,PSYBER,,1.14,2,,S,A,
2003-03-01,A,2,12,88,CORBOR,,2.8,4.7,,S,A,
2003-03-01,A,2,12,89,ALCLAT,,1.68,2.8,,S,A,
2003-03-01,A,2,12,90,SLOBER,,1.45,2.1,,S,A,TRAIL
2003-03-01,A,2,12,91,PREMON,,18.2,9.5,,S,A,E0070
2003-03-01,A,2,12,92,ALCLAT,,1.22,2.9,,S,A,
2003-03-01,A,2,12,134,PSYBRA,,1.33,2,,S,A,POM 133 BK BRANCK
2003-03-01,A,2,13,93,MANBID,,20,10,,S,A,E0022
2003-03-01,A,2,13,94,MANBID,93,8.1,8,,S,A,
2003-03-01,A,2,13,95,BUCTET,,16.8,16.5,,S,A,E0021
2003-03-01,A,2,13,96,DACEXC,,35.3,18.5,,S,A,OLD DETACHED TAG E0016
2003-03-01,A,2,13,97,PREMON,,13.1,6.5,,S,A,
2003-03-01,A,2,13,98,PREMON,,9.7,3,,S,A,POM 50; DTN -20
2003-03-01,A,2,14,99,PREMON,,11.4,7.2,,S,A,
2003-03-01,A,2,14,100,INGVER,,23.8,17,,S,A,E0013
2003-03-01,A,2,14,101,PREMON,,13.8,5.9,,S,A,
2003-03-01,A,2,15,102,PREMON,,9.8,3,,S,A,POM 45; DTN -20
2003-03-01,A,2,15,103,PREMON,,12.8,6.1,,S,A,
2003-03-01,A,2,15,104,DACEXC,,8.8,9,,S,A,
2003-03-01,A,2,15,105,MANBID,,48.4,20.5,,S,A,E0006; POM 190; DTN -10
2003-03-01,A,2,15,106,MANBID,,13.5,10,,S,A,E0072; DYING
2003-03-01,A,2,15,107,TABHET,,1.76,3,,S,A,
2003-03-01,A,2,15,108,CROPOE,,1.6,2.9,,S,A,
2003-03-01,A,2,15,109,HELCAR,,,3,,S,A,2 CULMS
2003-03-01,A,2,15,110,PSYBRA,,1.15,2.3,,S,A,
2003-03-01,A,2,15,111,TABHET,,1.79,2.8,,S,A,
2003-03-01,A,2,15,112,HELCAR,,,4,,S,A,2 CULMS; TRAIL
2003-03-01,A,2,15,113,INGLAU,,5.5,6,,S,A,TRAIL
2003-03-01,A,2,15,114,TABHET,,1.72,3,,S,A,
2003-03-01,A,2,15,115,FAROCC,,1.1,2.3,,S,A,TRAIL
2003-03-01,A,2,15,116,MICPRA,,1.7,2.5,,S,A,TRAIL
2003-03-01,A,2,15,117,MYRDEF,,6.8,6.5,,S,A,E0057
2003-03-01,A,2,15,118,GUTCAR,,1.58,3.3,,S,A,TRAIL
2003-03-01,A,2,16,119,SLOBER,,6.4,7,,S,A,
2003-03-01,A,2,16,120,SLOBER,119,1.5,1.9,,S,A,
2003-03-01,A,2,16,121,SCHMOR,,1.81,4,,S,A,ON ROCK
2003-03-01,A,2,16,122,CECSCH,,2.48,3.8,,S,A,ON ROCK
2003-03-01,A,2,16,123,CECSCH,,2.05,2.1,,S,A,
2003-03-01,A,2,16,124,PSYBRA,,1.32,2.4,,S,A,
2003-03-01,A,2,16,125,CECSCH,,2.42,4,,S,A,
2003-03-01,A,2,16,126,SCHMOR,,1,1.6,,S,A,TRAIL
2003-03-01,A,2,16,127,CECSCH,,3.1,4.4,,L,A,
2003-03-01,A,2,16,128,SLOBER,,8.5,8,,P,A,
2003-03-01,A,2,16,129,SLOBER,128,1.6,3,,S,A,MEASURE FROM BASE OF SPROUT
2003-03-01,A,2,16,130,SLOBER,128,2.2,3.5,,S,A,MEASURE FROM BASE OF SPROUT
2003-03-01,A,2,16,131,SLOBER,128,1.4,2.3,,S,A,MEASURE FROM BASE OF SPROUT
2003-03-01,A,2,16,132,SLOBER,128,2.45,4,,S,A,MEASURE FROM BASE OF SPROUT
2003-03-01,A,2,16,133,SLOBER,128,1.8,3,,S,A,MEASURE FROM BASE OF SPROUT
2003-03-01,A,3,1,1,PSYBER,,5.4,5,,S,A,
2003-03-01,A,3,1,2,INGVER,,1.1,1.9,,S,A,
2003-03-01,A,3,1,3,INGVER,,4.39,6,,S,A,
2003-03-01,A,3,2,4,CASARB,,13.4,9,,S,A,
2003-03-01,A,3,2,5,CASARB,4,4.15,6,,S,A,
2003-03-01,A,3,2,6,CASARB,4,3.8,4.5,,S,A,
2003-03-01,A,3,2,7,CASARB,4,1.35,3.2,,S,A,
2003-03-01,A,3,2,8,CASARB,4,2.35,3.6,,S,A,
2003-03-01,A,3,2,9,CASARB,4,3.15,4.5,,S,A,
2003-03-01,A,3,2,10,SLOBER,,1.44,1.9,,S,A,
2003-03-01,A,3,2,11,MICPRA,,3.3,5.2,,S,A,
2003-03-01,A,3,2,12,MICPRA,11,1.15,2.3,,S,A,
2003-03-01,A,3,2,13,MANBID,,36.2,17,,S,A,
2003-03-01,A,3,3,14,MANBID,,4.95,5.2,,S,A,
2003-03-01,A,3,3,15,LAEPRO,,2,2.9,,S,A,
2003-03-01,A,3,3,16,CASARB,,1.15,3.1,,S,A,
2003-03-01,A,3,3,17,SCHMOR,,6.5,6.3,,S,A,
2003-03-01,A,3,3,18,HELCAR,,,3,,S,A,2 CULMS
2003-03-01,A,3,3,19,HELCAR,,,3,,S,A,1 CULMS
2003-03-01,A,3,3,20,DACEXC,,37,18,,S,A,
2003-03-01,A,3,4,21,MANBID,,7.9,9,,S,A,
2003-03-01,A,3,4,22,BUCTET,,37.7,18,,S,A,POM 150; DTN 20 BUTTRESS
2003-03-01,A,3,4,23,MANBID,,11.9,9,,L,A,
2003-03-01,A,3,4,24,MANBID,23,2.45,3.2,,S,A,MEASURE FROM GROUND
2003-03-01,A,3,4,25,PREMON,,9.6,6.3,,S,A,POM  98; DTN -20
2003-03-01,A,3,5,26,MANBID,,20.9,8,,S,A,TOP BROKEN
2003-03-01,A,3,5,27,MANBID,26,1.65,2,,S,A,
2003-03-01,A,3,5,28,CECSCH,,14.4,14,,S,A,
2003-03-01,A,3,5,29,SLOBER,,1.07,2,,S,A,
2003-03-01,A,3,5,30,SLOBER,,2.75,3.9,,S,A,
2003-03-01,A,3,5,31,SLOBER,,1.65,2.8,,S,A,
2003-03-01,A,3,5,32,DACEXC,,1.5,3.1,,S,A,
2003-03-01,A,3,6,33,SLOBER,,1.73,3.3,,S,A,
2003-03-01,A,3,6,34,OCOLEU,,1.3,1.9,,S,A,
2003-03-01,A,3,6,35,CASARB,,2.96,4.5,,S,A,
2003-03-01,A,3,6,36,PREMON,,10.5,3.5,,S,A,POM 40; DTN -20
2003-03-01,A,3,6,37,PSYBRA,,1.5,1.9,,S,A,
2003-03-01,A,3,6,38,PSYBRA,,1.92,1.8,,L,A,
2003-03-01,A,3,6,39,MANBID,,22.9,16.5,,S,A,
2003-03-01,A,3,6,40,MANBID,,4.3,5,,S,A,
2003-03-01,A,3,6,41,MANBID,40,1.16,2,,S,A,
2003-03-01,A,3,6,42,PREMON,,10,4,,S,A,POM  80; DTN -20
2003-03-01,A,3,7,43,MANBID,,15,8.9,,S,A,
2003-03-01,A,3,7,44,TETBAL,,1.44,2.4,,S,A,
2003-03-01,A,3,7,45,SLOBER,,1.44,2,,S,A,
2003-03-01,A,3,8,46,TETBAL,,21,15,,L,A,
2003-03-01,A,3,8,47,DACEXC,,1.2,2.5,,S,A,
2003-03-01,A,3,8,48,BUCTET,,30.2,20,,S,A,
2003-03-01,A,3,8,49,MANBID,,7.2,8,,S,A,
2003-03-01,A,3,8,50,MYRLEP,,5,6,,S,A,
2003-03-01,A,3,8,51,TETBAL,,8.6,5.5,,S,A,
2003-03-01,A,3,8,52,PREMON,,12.5,6.4,,S,A,
2003-03-01,A,3,9,53,MANBID,,49.2,18.5,,S,A,
2003-03-01,A,3,9,54,ALCFLO,,3.92,3,,S,A,DAMAGED @POM
2003-03-01,A,3,9,55,SLOBER,,3.63,4.6,,S,A,
2003-03-01,A,3,9,56,SCHMOR,,9.2,8.5,,S,A,
2003-03-01,A,3,9,57,SCHMOR,,4.31,5,,S,A,
2003-03-01,A,3,9,58,INGLAU,,24.3,16.5,,S,A,
2003-03-01,A,3,9,59,SCHMOR,,5.4,5.9,,S,A,
2003-03-01,A,3,9,60,SAMSPI,,1.5,3,,S,A,
2003-03-01,A,3,9,61,SLOBER,,1.43,2.1,,S,A,TRAIL
2003-03-01,A,3,10,62,PSYBER,,2.81,4.5,,S,A,
2003-03-01,A,3,10,63,PSYBER,,5.4,4.7,,S,A,
2003-03-01,A,3,10,64,ORMKRU,,5.1,4,,L,A,MEASURE FROM BASE OF DEAD TRUNK PRONE
2003-03-01,A,3,10,65,ORMKRU,64,1,2,,S,A,
2003-03-01,A,3,10,66,PREMON,,13,6.9,,S,A,
2003-03-01,A,3,10,67,SLOBER,,2.3,4,,S,A,
2003-03-01,A,3,11,68,PREMON,,12.5,6,,S,A,
2003-03-01,A,3,11,69,PREMON,,10.4,5.9,,S,A,
2003-03-01,A,3,11,70,PREMON,,15.5,8,,S,A,
2003-03-01,A,3,11,71,PREMON,,14.2,7,,S,A,
2003-03-01,A,3,12,72,SLOBER,,1.8,2,,S,A,
2003-03-01,A,3,12,73,CORBOR,,3.85,4.2,,S,A,
2003-03-01,A,3,12,74,ALCFLO,,1.25,2.2,,S,A,
2003-03-01,A,3,12,75,CORBOR,,4.3,4.5,,S,A,
2003-03-01,A,3,13,76,CORSUL,,1.78,3.1,,S,A,
2003-03-01,A,3,13,77,PALRIP,,1.65,1.7,,S,A,TOP BROKEN; DYING
2003-03-01,A,3,13,78,PALRIP,,3.25,4.3,,S,A,
2003-03-01,A,3,13,79,PREMON,,9.7,4.8,,S,A,POM 60; DTN -20
2003-03-01,A,3,13,80,PREMON,,9.9,6.2,,S,A,POM 130; DTN -20
2003-03-01,A,3,13,81,SCHMOR,,5.4,8,,S,A,
2003-03-01,A,3,13,82,MANBID,,3.65,4,,L,A,
2003-03-01,A,3,13,83,PREMON,,8.8,4,,S,A,POM 40; DTN -20
2003-03-01,A,3,14,84,LAEPRO,,5.9,7.5,,S,A,
2003-03-01,A,3,14,85,CECSCH,,13,12.5,,S,A,
