"Data set title: Christopher B. Craft. 2024. Percent cover measurements of four site-dominant species from the GCE-LTER Seawater Addition Long-Term Experiment (SALTEx) Project. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCED-2404; /data/PLT-GCED-2404)",,,,
,,,,,
"Date","Treatment","Replicate","Percent_Cover","Species"
2015-07-20,"Freshwater addition",1,10,"Persicaria hydropiperoides"
2015-07-20,"Freshwater addition",2,90,"Persicaria hydropiperoides"
2015-07-20,"Freshwater addition",3,100,"Persicaria hydropiperoides"
2015-07-20,"Freshwater addition",4,100,"Persicaria hydropiperoides"
2015-07-20,"Freshwater addition",5,80,"Persicaria hydropiperoides"
2015-07-20,"Freshwater addition",6,100,"Persicaria hydropiperoides"
2015-07-20,"Press of saline addition",1,0,"Persicaria hydropiperoides"
2015-07-20,"Press of saline addition",2,0,"Persicaria hydropiperoides"
2015-07-20,"Press of saline addition",3,0,"Persicaria hydropiperoides"
2015-07-20,"Press of saline addition",4,0,"Persicaria hydropiperoides"
2015-07-20,"Press of saline addition",5,0,"Persicaria hydropiperoides"
2015-07-20,"Press of saline addition",6,0,"Persicaria hydropiperoides"
2015-07-20,"Pulse of saline addition",1,90,"Persicaria hydropiperoides"
2015-07-20,"Pulse of saline addition",2,60,"Persicaria hydropiperoides"
2015-07-20,"Pulse of saline addition",3,90,"Persicaria hydropiperoides"
2015-07-20,"Pulse of saline addition",4,80,"Persicaria hydropiperoides"
2015-07-20,"Pulse of saline addition",5,80,"Persicaria hydropiperoides"
2015-07-20,"Pulse of saline addition",6,90,"Persicaria hydropiperoides"
2016-07-13,"Control",1,40,"Persicaria hydropiperoides"
2016-07-13,"Control ",2,100,"Persicaria hydropiperoides"
2016-07-13,"Control",3,100,"Persicaria hydropiperoides"
2016-07-13,"Control",4,100,"Persicaria hydropiperoides"
2016-07-13,"Control ",5,100,"Persicaria hydropiperoides"
2016-07-13,"Control",6,80,"Persicaria hydropiperoides"
2016-07-13,"Control with frame",1,100,"Persicaria hydropiperoides"
2016-07-13,"Control with frame",2,100,"Persicaria hydropiperoides"
2016-07-13,"Control with frame",3,10,"Persicaria hydropiperoides"
2016-07-13,"Control with frame",4,100,"Persicaria hydropiperoides"
2016-07-13,"Control with frame",5,90,"Persicaria hydropiperoides"
2016-07-13,"Control with frame",6,90,"Persicaria hydropiperoides"
2016-07-13,"Control with frame",7,0,"Persicaria hydropiperoides"
2016-07-13,"Freshwater addition",1,30,"Persicaria hydropiperoides"
2016-07-13,"Freshwater addition",2,100,"Persicaria hydropiperoides"
2016-07-13,"Freshwater addition",3,100,"Persicaria hydropiperoides"
2016-07-13,"Freshwater addition",4,100,"Persicaria hydropiperoides"
2016-07-13,"Freshwater addition",5,100,"Persicaria hydropiperoides"
2016-07-13,"Freshwater addition",6,90,"Persicaria hydropiperoides"
2016-07-13,"Press of saline water",1,0,"Persicaria hydropiperoides"
2016-07-13,"Press of saline water",2,0,"Persicaria hydropiperoides"
2016-07-13,"Press of saline water",3,0,"Persicaria hydropiperoides"
2016-07-13,"Press of saline water",4,0,"Persicaria hydropiperoides"
2016-07-13,"Press of saline water",5,0,"Persicaria hydropiperoides"
2016-07-13,"Press of saline water",6,0,"Persicaria hydropiperoides"
2016-07-13,"Pulse of saline water",1,100,"Persicaria hydropiperoides"
2016-07-13,"Pulse of saline water",2,90,"Persicaria hydropiperoides"
2016-07-13,"Pulse of saline water",3,90,"Persicaria hydropiperoides"
2016-07-13,"Pulse of saline water",4,100,"Persicaria hydropiperoides"
2016-07-13,"Pulse of saline water",5,100,"Persicaria hydropiperoides"
2016-07-13,"Pulse of saline water",6,90,"Persicaria hydropiperoides"
2017-07-07,"Control",1,90,"Persicaria hydropiperoides"
2017-07-07,"Control ",2,95,"Persicaria hydropiperoides"
2017-07-07,"Control",3,95,"Persicaria hydropiperoides"
2017-07-07,"Control",4,95,"Persicaria hydropiperoides"
2017-07-07,"Control ",5,100,"Persicaria hydropiperoides"
2017-07-07,"Control",6,40,"Persicaria hydropiperoides"
2017-07-07,"Control with frame",1,95,"Persicaria hydropiperoides"
2017-07-07,"Control with frame",2,95,"Persicaria hydropiperoides"
2017-07-07,"Control with frame",3,50,"Persicaria hydropiperoides"
2017-07-07,"Control with frame",4,100,"Persicaria hydropiperoides"
2017-07-07,"Control with frame",5,95,"Persicaria hydropiperoides"
2017-07-07,"Control with frame",6,90,"Persicaria hydropiperoides"
2017-07-07,"Control with frame",7,30,"Persicaria hydropiperoides"
2017-07-07,"Freshwater addition",1,45,"Persicaria hydropiperoides"
2017-07-07,"Freshwater addition",2,95,"Persicaria hydropiperoides"
2017-07-07,"Freshwater addition",3,95,"Persicaria hydropiperoides"
2017-07-07,"Freshwater addition",4,100,"Persicaria hydropiperoides"
2017-07-07,"Freshwater addition",5,95,"Persicaria hydropiperoides"
2017-07-07,"Freshwater addition",6,65,"Persicaria hydropiperoides"
2017-07-07,"Press of saline water",1,5,"Persicaria hydropiperoides"
2017-07-07,"Press of saline water",2,0,"Persicaria hydropiperoides"
2017-07-07,"Press of saline water",3,1,"Persicaria hydropiperoides"
2017-07-07,"Press of saline water",4,0,"Persicaria hydropiperoides"
2017-07-07,"Press of saline water",5,0,"Persicaria hydropiperoides"
2017-07-07,"Press of saline water",6,0,"Persicaria hydropiperoides"
2017-07-07,"Pulse of saline water",1,95,"Persicaria hydropiperoides"
2017-07-07,"Pulse of saline water",2,85,"Persicaria hydropiperoides"
2017-07-07,"Pulse of saline water",3,95,"Persicaria hydropiperoides"
2017-07-07,"Pulse of saline water",4,100,"Persicaria hydropiperoides"
2017-07-07,"Pulse of saline water",5,100,"Persicaria hydropiperoides"
2017-07-07,"Pulse of saline water",6,90,"Persicaria hydropiperoides"
2018-07-17,"Control",1,80,"Persicaria hydropiperoides"
2018-07-17,"Control",2,80,"Persicaria hydropiperoides"
2018-07-20,"Control",3,60,"Persicaria hydropiperoides"
2018-07-20,"Control",4,60,"Persicaria hydropiperoides"
2018-07-17,"Control",5,60,"Persicaria hydropiperoides"
2018-07-25,"Control",6,10,"Persicaria hydropiperoides"
2018-07-17,"Control with frame",1,50,"Persicaria hydropiperoides"
2018-07-17,"Control with frame",4,40,"Persicaria hydropiperoides"
2018-07-20,"Control with frame",5,50,"Persicaria hydropiperoides"
2018-07-20,"Control with frame",6,80,"Persicaria hydropiperoides"
2018-07-17,"Control with frame",7,0,"Persicaria hydropiperoides"
2018-07-17,"Control with frame",8,50,"Persicaria hydropiperoides"
2018-07-17,"Control with frame",9,50,"Persicaria hydropiperoides"
2018-07-20,"Freshwater addition",2,40,"Persicaria hydropiperoides"
2018-07-17,"Freshwater addition",3,60,"Persicaria hydropiperoides"
2018-07-17,"Freshwater addition",4,40,"Persicaria hydropiperoides"
2018-07-25,"Freshwater addition",5,80,"Persicaria hydropiperoides"
2018-07-20,"Freshwater addition",6,50,"Persicaria hydropiperoides"
2018-07-17,"Freshwater addition",7,70,"Persicaria hydropiperoides"
2018-07-20,"Pulse of saline addition",1,70,"Persicaria hydropiperoides"
2018-07-17,"Pulse of saline addition",2,60,"Persicaria hydropiperoides"
2018-07-20,"Pulse of saline addition",3,80,"Persicaria hydropiperoides"
2018-07-25,"Pulse of saline addition",4,80,"Persicaria hydropiperoides"
2018-07-25,"Pulse of saline addition",5,60,"Persicaria hydropiperoides"
2018-07-20,"Pulse of saline addition",6,60,"Persicaria hydropiperoides"
2018-07-20,"Press of saline addition",3,1,"Persicaria hydropiperoides"
2018-07-20,"Press of saline addition",4,5,"Persicaria hydropiperoides"
2018-07-20,"Press of saline addition",5,5,"Persicaria hydropiperoides"
2018-07-20,"Press of saline addition",6,0,"Persicaria hydropiperoides"
2018-07-17,"Press of saline addition",7,0,"Persicaria hydropiperoides"
2018-07-20,"Press of saline addition",8,1,"Persicaria hydropiperoides"
2019-07-24,"Press of saline addition",3,10,"Persicaria hydropiperoides"
2019-07-24,"Press of saline addition",4,30,"Persicaria hydropiperoides"
2019-07-24,"Press of saline addition",5,50,"Persicaria hydropiperoides"
2019-07-24,"Press of saline addition",6,30,"Persicaria hydropiperoides"
2019-07-24,"Press of saline addition",7,10,"Persicaria hydropiperoides"
2019-07-24,"Press of saline addition",8,40,"Persicaria hydropiperoides"
2019-07-24,"Pulse of saline addition",1,95,"Persicaria hydropiperoides"
2019-07-24,"Pulse of saline addition",2,90,"Persicaria hydropiperoides"
2019-07-24,"Pulse of saline addition",3,90,"Persicaria hydropiperoides"
2019-07-24,"Pulse of saline addition",4,100,"Persicaria hydropiperoides"
2019-07-24,"Pulse of saline addition",5,95,"Persicaria hydropiperoides"
2019-07-24,"Pulse of saline addition",6,80,"Persicaria hydropiperoides"
2019-07-24,"Freshwater addition",2,80,"Persicaria hydropiperoides"
2019-07-24,"Freshwater addition",3,60,"Persicaria hydropiperoides"
2019-07-24,"Freshwater addition",4,90,"Persicaria hydropiperoides"
2019-07-24,"Freshwater addition",5,80,"Persicaria hydropiperoides"
2019-07-24,"Freshwater addition",6,70,"Persicaria hydropiperoides"
2019-07-24,"Freshwater addition",7,30,"Persicaria hydropiperoides"
2019-07-24,"Control",1,5,"Persicaria hydropiperoides"
2019-07-24,"Control",2,30,"Persicaria hydropiperoides"
2019-07-24,"Control",3,90,"Persicaria hydropiperoides"
2019-07-24,"Control",4,80,"Persicaria hydropiperoides"
2019-07-24,"Control",5,90,"Persicaria hydropiperoides"
2019-07-24,"Control",6,30,"Persicaria hydropiperoides"
2019-07-24,"Control with frame",1,60,"Persicaria hydropiperoides"
2019-07-24,"Control with frame",4,90,"Persicaria hydropiperoides"
2019-07-24,"Control with frame",5,40,"Persicaria hydropiperoides"
2019-07-24,"Control with frame",6,30,"Persicaria hydropiperoides"
2019-07-24,"Control with frame",7,0,"Persicaria hydropiperoides"
2019-07-24,"Control with frame",8,60,"Persicaria hydropiperoides"
2019-07-24,"Control with frame",9,90,"Persicaria hydropiperoides"
2020-07-20,"Press of saline addition",3,15,"Persicaria hydropiperoides"
2020-07-20,"Press of saline addition",4,90,"Persicaria hydropiperoides"
2020-07-20,"Press of saline addition",5,100,"Persicaria hydropiperoides"
2020-07-20,"Press of saline addition",6,90,"Persicaria hydropiperoides"
2020-07-20,"Press of saline addition",7,5,"Persicaria hydropiperoides"
2020-07-20,"Press of saline addition",8,30,"Persicaria hydropiperoides"
2020-07-20,"Pulse of saline addition",1,90,"Persicaria hydropiperoides"
2020-07-20,"Pulse of saline addition",2,40,"Persicaria hydropiperoides"
2020-07-20,"Pulse of saline addition",3,90,"Persicaria hydropiperoides"
2020-07-20,"Pulse of saline addition",4,60,"Persicaria hydropiperoides"
2020-07-20,"Pulse of saline addition",5,90,"Persicaria hydropiperoides"
2020-07-20,"Pulse of saline addition",6,70,"Persicaria hydropiperoides"
2020-07-20,"Freshwater addition",2,80,"Persicaria hydropiperoides"
2020-07-20,"Freshwater addition",3,40,"Persicaria hydropiperoides"
2020-07-20,"Freshwater addition",4,10,"Persicaria hydropiperoides"
2020-07-20,"Freshwater addition",5,80,"Persicaria hydropiperoides"
2020-07-20,"Freshwater addition",6,60,"Persicaria hydropiperoides"
2020-07-20,"Freshwater addition",7,20,"Persicaria hydropiperoides"
2020-07-20,"Control",1,20,"Persicaria hydropiperoides"
2020-07-20,"Control",2,10,"Persicaria hydropiperoides"
2020-07-20,"Control",3,90,"Persicaria hydropiperoides"
2020-07-20,"Control",4,15,"Persicaria hydropiperoides"
2020-07-20,"Control",5,90,"Persicaria hydropiperoides"
2020-07-20,"Control",6,0,"Persicaria hydropiperoides"
2020-07-20,"Control with frame",1,80,"Persicaria hydropiperoides"
2020-07-20,"Control with frame",4,70,"Persicaria hydropiperoides"
2020-07-20,"Control with frame",5,5,"Persicaria hydropiperoides"
2020-07-20,"Control with frame",6,20,"Persicaria hydropiperoides"
2020-07-20,"Control with frame",7,0,"Persicaria hydropiperoides"
2020-07-20,"Control with frame",8,20,"Persicaria hydropiperoides"
2020-07-20,"Control with frame",9,80,"Persicaria hydropiperoides"
2021-07-14,"Press of saline addition",3,30,"Persicaria hydropiperoides"
2021-07-14,"Press of saline addition",4,95,"Persicaria hydropiperoides"
2021-07-14,"Press of saline addition",5,90,"Persicaria hydropiperoides"
2021-07-14,"Press of saline addition",6,90,"Persicaria hydropiperoides"
2021-07-14,"Press of saline addition",7,5,"Persicaria hydropiperoides"
2021-07-14,"Press of saline addition",8,20,"Persicaria hydropiperoides"
2021-07-14,"Pulse of saline addition",1,80,"Persicaria hydropiperoides"
2021-07-14,"Pulse of saline addition",2,40,"Persicaria hydropiperoides"
2021-07-14,"Pulse of saline addition",3,80,"Persicaria hydropiperoides"
2021-07-14,"Pulse of saline addition",4,90,"Persicaria hydropiperoides"
2021-07-14,"Pulse of saline addition",5,90,"Persicaria hydropiperoides"
2021-07-14,"Pulse of saline addition",6,80,"Persicaria hydropiperoides"
2021-07-14,"Freshwater addition",2,20,"Persicaria hydropiperoides"
2021-07-14,"Freshwater addition",3,40,"Persicaria hydropiperoides"
2021-07-14,"Freshwater addition",4,70,"Persicaria hydropiperoides"
2021-07-14,"Freshwater addition",5,60,"Persicaria hydropiperoides"
2021-07-14,"Freshwater addition",6,40,"Persicaria hydropiperoides"
2021-07-14,"Freshwater addition",7,40,"Persicaria hydropiperoides"
2021-07-14,"Control",1,80,"Persicaria hydropiperoides"
2021-07-14,"Control",2,5,"Persicaria hydropiperoides"
2021-07-14,"Control",3,70,"Persicaria hydropiperoides"
2021-07-14,"Control",4,90,"Persicaria hydropiperoides"
2021-07-14,"Control",5,70,"Persicaria hydropiperoides"
2021-07-14,"Control",6,5,"Persicaria hydropiperoides"
2021-07-14,"Control with frame",1,70,"Persicaria hydropiperoides"
2021-07-14,"Control with frame",4,60,"Persicaria hydropiperoides"
2021-07-14,"Control with frame",5,20,"Persicaria hydropiperoides"
2021-07-14,"Control with frame",6,60,"Persicaria hydropiperoides"
2021-07-14,"Control with frame",7,0,"Persicaria hydropiperoides"
2021-07-14,"Control with frame",8,10,"Persicaria hydropiperoides"
2021-07-14,"Control with frame",9,70,"Persicaria hydropiperoides"
2022-07-13,"Press of saline addition",3,15,"Persicaria hydropiperoides"
2022-07-13,"Press of saline addition",4,95,"Persicaria hydropiperoides"
2022-07-13,"Press of saline addition",5,90,"Persicaria hydropiperoides"
2022-07-13,"Press of saline addition",6,90,"Persicaria hydropiperoides"
2022-07-13,"Press of saline addition",7,5,"Persicaria hydropiperoides"
2022-07-13,"Press of saline addition",8,90,"Persicaria hydropiperoides"
2022-07-13,"Pulse of saline addition",1,60,"Persicaria hydropiperoides"
2022-07-13,"Pulse of saline addition",2,70,"Persicaria hydropiperoides"
2022-07-13,"Pulse of saline addition",3,95,"Persicaria hydropiperoides"
2022-07-13,"Pulse of saline addition",4,70,"Persicaria hydropiperoides"
2022-07-13,"Pulse of saline addition",5,90,"Persicaria hydropiperoides"
2022-07-13,"Pulse of saline addition",6,40,"Persicaria hydropiperoides"
2022-07-13,"Freshwater addition",2,20,"Persicaria hydropiperoides"
2022-07-13,"Freshwater addition",3,10,"Persicaria hydropiperoides"
2022-07-13,"Freshwater addition",4,90,"Persicaria hydropiperoides"
2022-07-13,"Freshwater addition",5,60,"Persicaria hydropiperoides"
2022-07-13,"Freshwater addition",6,30,"Persicaria hydropiperoides"
2022-07-13,"Freshwater addition",7,60,"Persicaria hydropiperoides"
2022-07-13,"Control",1,90,"Persicaria hydropiperoides"
2022-07-13,"Control",2,20,"Persicaria hydropiperoides"
2022-07-13,"Control",3,90,"Persicaria hydropiperoides"
2022-07-13,"Control",4,70,"Persicaria hydropiperoides"
2022-07-13,"Control",5,95,"Persicaria hydropiperoides"
2022-07-13,"Control",6,20,"Persicaria hydropiperoides"
2022-07-13,"Control with frame",1,75,"Persicaria hydropiperoides"
2022-07-13,"Control with frame",4,30,"Persicaria hydropiperoides"
2022-07-13,"Control with frame",5,15,"Persicaria hydropiperoides"
2022-07-13,"Control with frame",6,50,"Persicaria hydropiperoides"
2022-07-13,"Control with frame",7,5,"Persicaria hydropiperoides"
2022-07-13,"Control with frame",8,20,"Persicaria hydropiperoides"
2022-07-13,"Control with frame",9,60,"Persicaria hydropiperoides"
2013-07-15,"Control",1,60,"Pontederia cordata"
2013-07-15,"Control",2,5,"Pontederia cordata"
2013-07-15,"Control",3,40,"Pontederia cordata"
2013-07-15,"Control",4,30,"Pontederia cordata"
2013-07-15,"Control",5,0,"Pontederia cordata"
2013-07-15,"Control",6,40,"Pontederia cordata"
2013-07-15,"Control with frame",1,50,"Pontederia cordata"
2013-07-15,"Control with frame",2,50,"Pontederia cordata"
2013-07-15,"Control with frame",3,30,"Pontederia cordata"
2013-07-15,"Control with frame",4,20,"Pontederia cordata"
2013-07-15,"Control with frame",5,50,"Pontederia cordata"
2013-07-15,"Control with frame",6,30,"Pontederia cordata"
2013-07-15,"Freshwater addition",1,10,"Pontederia cordata"
2013-07-15,"Freshwater addition",2,60,"Pontederia cordata"
2013-07-15,"Freshwater addition",3,30,"Pontederia cordata"
2013-07-15,"Freshwater addition",4,60,"Pontederia cordata"
2013-07-15,"Freshwater addition",5,50,"Pontederia cordata"
2013-07-15,"Freshwater addition",6,30,"Pontederia cordata"
2013-07-15,"Press of saline addition",1,50,"Pontederia cordata"
2013-07-15,"Press of saline addition",2,50,"Pontederia cordata"
2013-07-15,"Press of saline addition",3,65,"Pontederia cordata"
2013-07-15,"Press of saline addition",4,50,"Pontederia cordata"
2013-07-15,"Press of saline addition",5,50,"Pontederia cordata"
2013-07-15,"Press of saline addition",6,60,"Pontederia cordata"
2013-07-15,"Pulse of saline addition",1,10,"Pontederia cordata"
2013-07-15,"Pulse of saline addition",2,50,"Pontederia cordata"
2013-07-15,"Pulse of saline addition",3,30,"Pontederia cordata"
2013-07-15,"Pulse of saline addition",4,50,"Pontederia cordata"
2013-07-15,"Pulse of saline addition",5,25,"Pontederia cordata"
2013-07-15,"Pulse of saline addition",6,30,"Pontederia cordata"
2014-07-31,"Control",1,5,"Pontederia cordata"
2014-07-31,"Control",2,40,"Pontederia cordata"
2014-07-31,"Control",3,30,"Pontederia cordata"
2014-07-31,"Control",4,5,"Pontederia cordata"
2014-07-31,"Control",5,70,"Pontederia cordata"
2014-07-31,"Control",6,80,"Pontederia cordata"
2014-07-31,"Control with frame",1,40,"Pontederia cordata"
2014-07-31,"Control with frame",2,50,"Pontederia cordata"
2014-07-31,"Control with frame",3,0,"Pontederia cordata"
2014-07-31,"Control with frame",4,10,"Pontederia cordata"
2014-07-31,"Control with frame",5,30,"Pontederia cordata"
2014-07-31,"Control with frame",6,50,"Pontederia cordata"
2014-07-31,"Freshwater addition",1,60,"Pontederia cordata"
2014-07-31,"Freshwater addition",2,60,"Pontederia cordata"
2014-07-31,"Freshwater addition",3,60,"Pontederia cordata"
2014-07-31,"Freshwater addition",4,50,"Pontederia cordata"
2014-07-31,"Freshwater addition",5,60,"Pontederia cordata"
2014-07-31,"Freshwater addition",6,10,"Pontederia cordata"
2014-07-31,"Press of saline addition",1,60,"Pontederia cordata"
2014-07-31,"Press of saline addition",2,20,"Pontederia cordata"
2014-07-31,"Press of saline addition",3,20,"Pontederia cordata"
2014-07-31,"Press of saline addition",4,5,"Pontederia cordata"
2014-07-31,"Press of saline addition",5,0,"Pontederia cordata"
2014-07-31,"Press of saline addition",6,5,"Pontederia cordata"
2014-07-31,"Pulse of saline addition",1,30,"Pontederia cordata"
2014-07-31,"Pulse of saline addition",2,30,"Pontederia cordata"
2014-07-31,"Pulse of saline addition",3,30,"Pontederia cordata"
2014-07-31,"Pulse of saline addition",4,50,"Pontederia cordata"
2014-07-31,"Pulse of saline addition",5,50,"Pontederia cordata"
2014-07-31,"Pulse of saline addition",6,20,"Pontederia cordata"
2015-07-20,"Control",1,50,"Pontederia cordata"
2015-07-20,"Control",2,5,"Pontederia cordata"
2015-07-20,"Control",3,40,"Pontederia cordata"
2015-07-20,"Control",4,50,"Pontederia cordata"
2015-07-20,"Control",5,5,"Pontederia cordata"
2015-07-20,"Control",6,70,"Pontederia cordata"
2015-07-20,"Control with frame",1,30,"Pontederia cordata"
2015-07-20,"Control with frame",2,10,"Pontederia cordata"
2015-07-20,"Control with frame",3,40,"Pontederia cordata"
2015-07-20,"Control with frame",4,10,"Pontederia cordata"
2015-07-20,"Control with frame",5,30,"Pontederia cordata"
2015-07-20,"Control with frame",6,50,"Pontederia cordata"
2015-07-20,"Control with frame",7,10,"Pontederia cordata"
2015-07-20,"Freshwater addition",1,10,"Pontederia cordata"
2015-07-20,"Freshwater addition",2,60,"Pontederia cordata"
2015-07-20,"Freshwater addition",3,10,"Pontederia cordata"
2015-07-20,"Freshwater addition",4,60,"Pontederia cordata"
2015-07-20,"Freshwater addition",5,50,"Pontederia cordata"
2015-07-20,"Freshwater addition",6,40,"Pontederia cordata"
2015-07-20,"Press of saline addition",1,10,"Pontederia cordata"
2015-07-20,"Press of saline addition",2,0,"Pontederia cordata"
2015-07-20,"Press of saline addition",3,10,"Pontederia cordata"
2015-07-20,"Press of saline addition",4,0,"Pontederia cordata"
2015-07-20,"Press of saline addition",5,0,"Pontederia cordata"
2015-07-20,"Press of saline addition",6,5,"Pontederia cordata"
2015-07-20,"Pulse of saline addition",1,15,"Pontederia cordata"
2015-07-20,"Pulse of saline addition",2,10,"Pontederia cordata"
2015-07-20,"Pulse of saline addition",3,60,"Pontederia cordata"
2015-07-20,"Pulse of saline addition",4,60,"Pontederia cordata"
2015-07-20,"Pulse of saline addition",5,70,"Pontederia cordata"
2015-07-20,"Pulse of saline addition",6,5,"Pontederia cordata"
2016-07-13,"Control",1,60,"Pontederia cordata"
2016-07-13,"Control ",2,0,"Pontederia cordata"
2016-07-13,"Control",3,60,"Pontederia cordata"
2016-07-13,"Control",4,50,"Pontederia cordata"
2016-07-13,"Control ",5,0,"Pontederia cordata"
2016-07-13,"Control",6,60,"Pontederia cordata"
2016-07-13,"Control with frame",1,80,"Pontederia cordata"
2016-07-13,"Control with frame",2,40,"Pontederia cordata"
2016-07-13,"Control with frame",3,70,"Pontederia cordata"
2016-07-13,"Control with frame",4,40,"Pontederia cordata"
2016-07-13,"Control with frame",5,40,"Pontederia cordata"
2016-07-13,"Control with frame",6,80,"Pontederia cordata"
2016-07-13,"Control with frame",7,10,"Pontederia cordata"
2016-07-13,"Freshwater addition",1,10,"Pontederia cordata"
2016-07-13,"Freshwater addition",2,40,"Pontederia cordata"
2016-07-13,"Freshwater addition",3,30,"Pontederia cordata"
