"LTER_site","local_site","year","date","block","plot","code","snow","N","temp","spp","mass","notes"
"NWT","itex",2007,2007-07-23,2,17,"XNX","X","N","X","live","149.75",""
"NWT","itex",2007,2007-07-23,2,18,"XXW","X","X","W","litter","412.5",""
"NWT","itex",2007,2007-07-23,2,18,"XXW","X","X","W","live","255.75",""
"NWT","itex",2007,2007-07-23,2,19,"XNW","X","N","W","litter","280.25",""
"NWT","itex",2007,2007-07-23,2,19,"XNW","X","N","W","live","306.75",""
"NWT","itex",2007,2007-07-23,2,20,"XNX","X","N","X","litter","302.75",""
"NWT","itex",2007,2007-07-23,2,20,"XNX","X","N","X","live","269.5",""
"NWT","itex",2007,2007-07-23,2,21,"XXW","X","X","W","litter","37.25",""
"NWT","itex",2007,2007-07-23,2,21,"XXW","X","X","W","live","237.5",""
"NWT","itex",2007,2007-07-23,2,22,"XXX","X","X","X","litter","502.25",""
"NWT","itex",2007,2007-07-23,2,22,"XXX","X","X","X","live","134.25",""
"NWT","itex",2007,2007-07-24,2,23,"XNW","X","N","W","litter","221.75",""
"NWT","itex",2007,2007-07-24,2,23,"XNW","X","N","W","live","325",""
"NWT","itex",2007,2007-07-23,2,24,"XXX","X","X","X","litter","128.25",""
"NWT","itex",2007,2007-07-23,2,24,"XXX","X","X","X","live","175.5",""
"NWT","itex",2007,2007-07-24,2,25,"PNX","P","N","X","litter","94.5",""
"NWT","itex",2007,2007-07-24,2,25,"PNX","P","N","X","live","214.75",""
"NWT","itex",2007,2007-07-24,2,26,"PXX","P","X","X","litter","165",""
"NWT","itex",2007,2007-07-24,2,26,"PXX","P","X","X","live","206",""
"NWT","itex",2007,2007-07-25,2,27,"PNW","P","N","W","litter","98.75",""
"NWT","itex",2007,2007-07-25,2,27,"PNW","P","N","W","live","197",""
"NWT","itex",2007,2007-07-25,2,28,"PXW","P","X","W","litter","104.25",""
"NWT","itex",2007,2007-07-25,2,28,"PXW","P","X","W","live","171.5",""
"NWT","itex",2007,2007-07-25,2,29,"PXW","P","X","W","litter","126.75",""
"NWT","itex",2007,2007-07-25,2,29,"PXW","P","X","W","live","121.5",""
"NWT","itex",2007,2007-07-25,2,30,"PNW","P","N","W","litter","82.5",""
"NWT","itex",2007,2007-07-25,2,30,"PNW","P","N","W","live","146",""
"NWT","itex",2007,2007-07-25,2,31,"PXX","P","X","X","litter","204.25",""
"NWT","itex",2007,2007-07-25,2,31,"PXX","P","X","X","live","248.5",""
"NWT","itex",2007,2007-07-25,2,32,"PNX","P","N","X","litter","27.75",""
"NWT","itex",2007,2007-07-25,2,32,"PNX","P","N","X","live","115.5",""
"NWT","itex",2007,2007-07-25,3,33,"XXX","X","X","X","litter","266.75",""
"NWT","itex",2007,2007-07-25,3,33,"XXX","X","X","X","live","362.5",""
"NWT","itex",2007,2007-07-25,3,34,"XNW","X","N","W","litter","86.75",""
"NWT","itex",2007,2007-07-25,3,34,"XNW","X","N","W","live","231",""
"NWT","itex",2007,2007-07-25,3,35,"XNX","X","N","X","litter","103.25",""
"NWT","itex",2007,2007-07-25,3,35,"XNX","X","N","X","live","225.25",""
"NWT","itex",2007,2007-07-25,3,36,"XNW","X","N","W","litter","141",""
"NWT","itex",2007,2007-07-25,3,36,"XNW","X","N","W","live","354.75",""
"NWT","itex",2007,2007-07-25,3,37,"XNX","X","N","X","litter","144.75",""
"NWT","itex",2007,2007-07-25,3,37,"XNX","X","N","X","live","122.75",""
"NWT","itex",2007,2007-07-25,3,38,"XXW","X","X","W","litter","80.25",""
"NWT","itex",2007,2007-07-25,3,38,"XXW","X","X","W","live","235.25",""
"NWT","itex",2007,2007-07-25,3,39,"XXX","X","X","X","litter","73.25",""
"NWT","itex",2007,2007-07-25,3,39,"XXX","X","X","X","live","213",""
"NWT","itex",2007,2007-07-25,3,40,"XXW","X","X","W","litter","94.75",""
"NWT","itex",2007,2007-07-25,3,40,"XXW","X","X","W","live","195.25",""
"NWT","itex",2007,2007-07-25,3,41,"PXX","P","X","X","litter","123.25",""
"NWT","itex",2007,2007-07-25,3,41,"PXX","P","X","X","live","237.25",""
"NWT","itex",2007,2007-07-26,3,42,"PNW","P","N","W","litter","185.25",""
"NWT","itex",2007,2007-07-26,3,42,"PNW","P","N","W","live","333.5",""
"NWT","itex",2007,2007-07-26,3,43,"PNX","P","N","X","litter","8.5",""
"NWT","itex",2007,2007-07-26,3,43,"PNX","P","N","X","live","276.25",""
"NWT","itex",2007,2007-07-26,3,44,"PXW","P","X","W","litter","86",""
"NWT","itex",2007,2007-07-26,3,44,"PXW","P","X","W","live","174.75",""
"NWT","itex",2007,2007-07-27,3,45,"PXW","P","X","W","litter","162.75",""
"NWT","itex",2007,2007-07-27,3,45,"PXW","P","X","W","live","254.5",""
"NWT","itex",2007,2007-07-27,3,46,"PXX","P","X","X","litter","9.5",""
"NWT","itex",2007,2007-07-27,3,46,"PXX","P","X","X","live","100.25",""
"NWT","itex",2007,2007-07-27,3,47,"PNX","P","N","X","litter","118.25",""
"NWT","itex",2007,2007-07-27,3,47,"PNX","P","N","X","live","311.5",""
"NWT","itex",2007,2007-07-27,3,48,"PNW","P","N","W","litter","78.75",""
"NWT","itex",2007,2007-07-27,3,48,"PNW","P","N","W","live","164.75",""
"NWT","itex",2008,2008-08-13,1,1,"XXW","X","X","W","litter","65.5",""
"NWT","itex",2008,2008-08-13,1,1,"XXW","X","X","W","live","301.25",""
"NWT","itex",2008,2008-08-13,1,2,"XNW","X","N","W","litter","325",""
"NWT","itex",2008,2008-08-13,1,2,"XNW","X","N","W","live","357.5",""
"NWT","itex",2008,2008-08-13,1,3,"XNW","X","N","W","litter","199.5",""
"NWT","itex",2008,2008-08-13,1,3,"XNW","X","N","W","live","220.25",""
"NWT","itex",2008,2008-08-13,1,4,"XXX","X","X","X","litter","68.75",""
"NWT","itex",2008,2008-08-13,1,4,"XXX","X","X","X","live","337.75",""
"NWT","itex",2008,2008-08-13,1,5,"XNX","X","N","X","litter","206.5",""
"NWT","itex",2008,2008-08-13,1,5,"XNX","X","N","X","live","272.75",""
"NWT","itex",2008,2008-08-13,1,6,"XXX","X","X","X","litter","168.25",""
"NWT","itex",2008,2008-08-13,1,6,"XXX","X","X","X","live","358.25",""
"NWT","itex",2008,2008-08-13,1,7,"XNX","X","N","X","litter","213",""
"NWT","itex",2008,2008-08-13,1,7,"XNX","X","N","X","live","240.25",""
"NWT","itex",2008,2008-08-13,1,8,"XXW","X","X","W","litter","128.25",""
"NWT","itex",2008,2008-08-13,1,8,"XXW","X","X","W","live","440.5",""
"NWT","itex",2008,2008-08-13,1,9,"PNW","P","N","W","litter","106.5",""
"NWT","itex",2008,2008-08-13,1,9,"PNW","P","N","W","live","234.25",""
"NWT","itex",2008,2008-08-13,1,10,"PNX","P","N","X","litter","84.5",""
"NWT","itex",2008,2008-08-13,1,10,"PNX","P","N","X","live","368.75",""
"NWT","itex",2008,2008-08-13,1,11,"PXW","P","X","W","litter","34.5",""
"NWT","itex",2008,2008-08-13,1,11,"PXW","P","X","W","live","234.75",""
"NWT","itex",2008,2008-08-13,1,12,"PXX","P","X","X","litter","144.75",""
"NWT","itex",2008,2008-08-13,1,12,"PXX","P","X","X","live","308.25",""
"NWT","itex",2008,2008-08-13,1,13,"PNW","P","N","W","litter","74.5",""
"NWT","itex",2008,2008-08-13,1,13,"PNW","P","N","W","live","166.25",""
"NWT","itex",2008,2008-08-13,1,14,"PXW","P","X","W","litter","96.5",""
"NWT","itex",2008,2008-08-13,1,14,"PXW","P","X","W","live","203.5",""
"NWT","itex",2008,2008-08-13,1,15,"PNX","P","N","X","litter","94.25",""
"NWT","itex",2008,2008-08-13,1,15,"PNX","P","N","X","live","408.75",""
"NWT","itex",2008,2008-08-13,1,16,"PXX","P","X","X","litter","34",""
"NWT","itex",2008,2008-08-13,1,16,"PXX","P","X","X","live","303.75",""
"NWT","itex",2008,2008-08-06,2,17,"XNX","X","N","X","litter","174.75",""
"NWT","itex",2008,2008-08-06,2,17,"XNX","X","N","X","live","160.5",""
"NWT","itex",2008,2008-08-06,2,18,"XXW","X","X","W","litter","918.75",""
"NWT","itex",2008,2008-08-06,2,18,"XXW","X","X","W","live","357.5",""
"NWT","itex",2008,2008-08-06,2,19,"XNW","X","N","W","litter","356.25",""
"NWT","itex",2008,2008-08-06,2,19,"XNW","X","N","W","live","566.5",""
"NWT","itex",2008,2008-08-06,2,20,"XNX","X","N","X","litter","521",""
"NWT","itex",2008,2008-08-06,2,20,"XNX","X","N","X","live","529.25",""
"NWT","itex",2008,2008-08-06,2,21,"XXW","X","X","W","litter","140.5",""
"NWT","itex",2008,2008-08-06,2,21,"XXW","X","X","W","live","267.5",""
"NWT","itex",2008,2008-08-06,2,22,"XXX","X","X","X","litter","633.25",""
"NWT","itex",2008,2008-08-06,2,22,"XXX","X","X","X","live","268",""
"NWT","itex",2008,2008-08-06,2,23,"XNW","X","N","W","litter","361",""
"NWT","itex",2008,2008-08-06,2,23,"XNW","X","N","W","live","532.5",""
"NWT","itex",2008,2008-08-06,2,24,"XXX","X","X","X","litter","102.75",""
"NWT","itex",2008,2008-08-06,2,24,"XXX","X","X","X","live","234.75",""
"NWT","itex",2008,2008-08-06,2,25,"PNX","P","N","X","litter","309",""
"NWT","itex",2008,2008-08-06,2,25,"PNX","P","N","X","live","316.5",""
"NWT","itex",2008,2008-08-06,2,26,"PXX","P","X","X","litter","168.75",""
"NWT","itex",2008,2008-08-06,2,26,"PXX","P","X","X","live","264.5",""
"NWT","itex",2008,2008-08-06,2,27,"PNW","P","N","W","litter","169",""
"NWT","itex",2008,2008-08-06,2,27,"PNW","P","N","W","live","260.25",""
"NWT","itex",2008,2008-08-06,2,28,"PXW","P","X","W","litter","43",""
"NWT","itex",2008,2008-08-06,2,28,"PXW","P","X","W","live","113.5",""
"NWT","itex",2008,2008-08-06,2,29,"PXW","P","X","W","litter","70.75",""
"NWT","itex",2008,2008-08-06,2,29,"PXW","P","X","W","live","174.75",""
"NWT","itex",2008,2008-08-06,2,30,"PNW","P","N","W","litter","245.5",""
"NWT","itex",2008,2008-08-06,2,30,"PNW","P","N","W","live","236.75",""
"NWT","itex",2008,2008-08-06,2,31,"PXX","P","X","X","litter","177.25",""
"NWT","itex",2008,2008-08-06,2,31,"PXX","P","X","X","live","254.5",""
"NWT","itex",2008,2008-08-06,2,32,"PNX","P","N","X","litter","137.25",""
"NWT","itex",2008,2008-08-06,2,32,"PNX","P","N","X","live","379.75",""
"NWT","itex",2008,2008-08-13,3,33,"XXX","X","X","X","litter","133.5",""
"NWT","itex",2008,2008-08-13,3,33,"XXX","X","X","X","live","252.25",""
"NWT","itex",2008,2008-08-13,3,34,"XNW","X","N","W","litter","57.25",""
"NWT","itex",2008,2008-08-13,3,34,"XNW","X","N","W","live","145.75",""
"NWT","itex",2008,2008-08-13,3,35,"XNX","X","N","X","litter","55.25",""
"NWT","itex",2008,2008-08-13,3,35,"XNX","X","N","X","live","321.5",""
"NWT","itex",2008,2008-08-13,3,36,"XNW","X","N","W","litter","75.5",""
"NWT","itex",2008,2008-08-13,3,36,"XNW","X","N","W","live","470.5",""
"NWT","itex",2008,2008-08-13,3,37,"XNX","X","N","X","litter","42.5",""
"NWT","itex",2008,2008-08-13,3,37,"XNX","X","N","X","live","240.25",""
"NWT","itex",2008,2008-08-13,3,38,"XXW","X","X","W","litter","56.25",""
"NWT","itex",2008,2008-08-13,3,38,"XXW","X","X","W","live","212",""
"NWT","itex",2008,2008-08-13,3,39,"XXX","X","X","X","litter","27.5",""
"NWT","itex",2008,2008-08-13,3,39,"XXX","X","X","X","live","308.75",""
"NWT","itex",2008,2008-08-13,3,40,"XXW","X","X","W","litter","135.75",""
"NWT","itex",2008,2008-08-13,3,40,"XXW","X","X","W","live","182",""
"NWT","itex",2008,2008-08-13,3,41,"PXX","P","X","X","litter","59.5",""
"NWT","itex",2008,2008-08-13,3,41,"PXX","P","X","X","live","374.5",""
"NWT","itex",2008,2008-08-13,3,42,"PNW","P","N","W","litter","19.5",""
"NWT","itex",2008,2008-08-13,3,42,"PNW","P","N","W","live","215.75",""
"NWT","itex",2008,2008-08-13,3,43,"PNX","P","N","X","litter","33.75",""
"NWT","itex",2008,2008-08-13,3,43,"PNX","P","N","X","live","303.75",""
"NWT","itex",2008,2008-08-14,3,44,"PXW","P","X","W","litter","20.5",""
"NWT","itex",2008,2008-08-14,3,44,"PXW","P","X","W","live","119.25",""
"NWT","itex",2008,2008-08-14,3,45,"PXW","P","X","W","litter","23.25",""
"NWT","itex",2008,2008-08-14,3,45,"PXW","P","X","W","live","143.25",""
"NWT","itex",2008,2008-08-14,3,46,"PXX","P","X","X","litter","16.5",""
"NWT","itex",2008,2008-08-14,3,46,"PXX","P","X","X","live","208.25",""
"NWT","itex",2008,2008-08-14,3,47,"PNX","P","N","X","litter","44.5",""
"NWT","itex",2008,2008-08-14,3,47,"PNX","P","N","X","live","215.25",""
"NWT","itex",2008,2008-08-14,3,48,"PNW","P","N","W","litter","91.25",""
"NWT","itex",2008,2008-08-14,3,48,"PNW","P","N","W","live","248.75",""
"NWT","itex",2009,2009-08-11,1,1,"XXW","X","X","W","litter","145",""
"NWT","itex",2009,2009-08-11,1,1,"XXW","X","X","W","live","354.25",""
"NWT","itex",2009,2009-08-11,1,2,"XNW","X","N","W","litter","128",""
"NWT","itex",2009,2009-08-11,1,2,"XNW","X","N","W","live","425",""
"NWT","itex",2009,2009-08-12,1,3,"XNW","X","N","W","litter","411.75",""
"NWT","itex",2009,2009-08-12,1,3,"XNW","X","N","W","live","751",""
"NWT","itex",2009,2009-08-12,1,4,"XXX","X","X","X","litter","242.5",""
"NWT","itex",2009,2009-08-12,1,4,"XXX","X","X","X","live","355.5",""
"NWT","itex",2009,2009-08-11,1,5,"XNX","X","N","X","litter","290",""
"NWT","itex",2009,2009-08-11,1,5,"XNX","X","N","X","live","328.5",""
"NWT","itex",2009,2009-08-12,1,6,"XXX","X","X","X","litter","194.25",""
"NWT","itex",2009,2009-08-12,1,6,"XXX","X","X","X","live","366.5",""
"NWT","itex",2009,2009-08-12,1,7,"XNX","X","N","X","litter","415.25",""
"NWT","itex",2009,2009-08-12,1,7,"XNX","X","N","X","live","221.75",""
"NWT","itex",2009,2009-08-12,1,8,"XXW","X","X","W","litter","508",""
"NWT","itex",2009,2009-08-12,1,8,"XXW","X","X","W","live","328.75",""
"NWT","itex",2009,2009-08-12,1,9,"PNW","P","N","W","litter","602.5",""
"NWT","itex",2009,2009-08-12,1,9,"PNW","P","N","W","live","480.25",""
"NWT","itex",2009,2009-08-12,1,10,"PNX","P","N","X","litter","18.5",""
"NWT","itex",2009,2009-08-12,1,10,"PNX","P","N","X","live","225.25",""
"NWT","itex",2009,2009-08-12,1,11,"PXW","P","X","W","litter","423.75",""
"NWT","itex",2009,2009-08-12,1,11,"PXW","P","X","W","live","298.5",""
"NWT","itex",2009,2009-08-12,1,12,"PXX","P","X","X","litter","42",""
"NWT","itex",2009,2009-08-12,1,12,"PXX","P","X","X","live","276.75",""
"NWT","itex",2009,2009-08-12,1,13,"PNW","P","N","W","litter","443.5",""
"NWT","itex",2009,2009-08-12,1,13,"PNW","P","N","W","live","177",""
"NWT","itex",2009,2009-08-12,1,14,"PXW","P","X","W","litter","87.75",""
"NWT","itex",2009,2009-08-12,1,14,"PXW","P","X","W","live","309.5",""
"NWT","itex",2009,2009-08-12,1,15,"PNX","P","N","X","litter","617.25",""
"NWT","itex",2009,2009-08-12,1,15,"PNX","P","N","X","live","231",""
"NWT","itex",2009,2009-08-12,1,16,"PXX","P","X","X","litter","82.5",""
"NWT","itex",2009,2009-08-12,1,16,"PXX","P","X","X","live","383.25",""
"NWT","itex",2009,2009-08-12,2,17,"XNX","X","N","X","litter","174",""
"NWT","itex",2009,2009-08-12,2,17,"XNX","X","N","X","live","311",""
"NWT","itex",2009,2009-08-12,2,18,"XXW","X","X","W","litter","160.25",""
"NWT","itex",2009,2009-08-12,2,18,"XXW","X","X","W","live","310.75",""
"NWT","itex",2009,2009-08-12,2,19,"XNW","X","N","W","litter","172",""
"NWT","itex",2009,2009-08-12,2,19,"XNW","X","N","W","live","388.5",""
"NWT","itex",2009,2009-08-12,2,20,"XNX","X","N","X","litter","157",""
"NWT","itex",2009,2009-08-12,2,20,"XNX","X","N","X","live","306.75",""
"NWT","itex",2009,2009-08-12,2,21,"XXW","X","X","W","litter","51",""
"NWT","itex",2009,2009-08-12,2,21,"XXW","X","X","W","live","163.25",""
"NWT","itex",2009,2009-08-12,2,22,"XXX","X","X","X","litter","382.75",""
"NWT","itex",2009,2009-08-12,2,22,"XXX","X","X","X","live","406.75",""
"NWT","itex",2009,2009-08-12,2,23,"XNW","X","N","W","litter","140.5",""
"NWT","itex",2009,2009-08-12,2,23,"XNW","X","N","W","live","421.75",""
"NWT","itex",2009,2009-08-12,2,24,"XXX","X","X","X","litter","23.75",""
"NWT","itex",2009,2009-08-12,2,24,"XXX","X","X","X","live","290.25",""
"NWT","itex",2009,2009-08-12,2,25,"PNX","P","N","X","litter","151.75",""
"NWT","itex",2009,2009-08-12,2,25,"PNX","P","N","X","live","200.75",""
"NWT","itex",2009,2009-08-13,2,26,"PXX","P","X","X","litter","125.25",""
"NWT","itex",2009,2009-08-13,2,26,"PXX","P","X","X","live","177",""
"NWT","itex",2009,2009-08-13,2,27,"PNW","P","N","W","litter","220.75",""
"NWT","itex",2009,2009-08-13,2,27,"PNW","P","N","W","live","530.25",""
"NWT","itex",2009,2009-08-13,2,28,"PXW","P","X","W","litter","182.5",""
"NWT","itex",2009,2009-08-13,2,28,"PXW","P","X","W","live","194.25",""
"NWT","itex",2009,2009-08-13,2,29,"PXW","P","X","W","litter","24",""
"NWT","itex",2009,2009-08-13,2,29,"PXW","P","X","W","live","108.25",""
"NWT","itex",2009,2009-08-13,2,30,"PNW","P","N","W","litter","114",""
"NWT","itex",2009,2009-08-13,2,30,"PNW","P","N","W","live","477",""
"NWT","itex",2009,2009-08-13,2,31,"PXX","P","X","X","litter","63.5",""
"NWT","itex",2009,2009-08-13,2,31,"PXX","P","X","X","live","239.5",""
"NWT","itex",2009,2009-08-13,2,32,"PNX","P","N","X","litter","147.75",""
"NWT","itex",2009,2009-08-13,2,32,"PNX","P","N","X","live","345.25",""
"NWT","itex",2009,2009-08-10,3,33,"XXX","X","X","X","litter","83",""
"NWT","itex",2009,2009-08-10,3,33,"XXX","X","X","X","live","292",""
"NWT","itex",2009,2009-08-10,3,34,"XNW","X","N","W","litter","108",""
"NWT","itex",2009,2009-08-10,3,34,"XNW","X","N","W","live","229",""
"NWT","itex",2009,2009-08-10,3,35,"XNX","X","N","X","litter","76.5",""
"NWT","itex",2009,2009-08-10,3,35,"XNX","X","N","X","live","350.5",""
"NWT","itex",2009,2009-08-10,3,36,"XNW","X","N","W","litter","90",""
"NWT","itex",2009,2009-08-10,3,36,"XNW","X","N","W","live","304",""
"NWT","itex",2009,2009-08-10,3,37,"XNX","X","N","X","litter","155.75",""
"NWT","itex",2009,2009-08-10,3,37,"XNX","X","N","X","live","287",""
"NWT","itex",2009,2009-08-10,3,38,"XXW","X","X","W","litter","36",""
"NWT","itex",2009,2009-08-10,3,38,"XXW","X","X","W","live","175.5",""
"NWT","itex",2009,2009-08-10,3,39,"XXX","X","X","X","litter","43.5",""
"NWT","itex",2009,2009-08-10,3,39,"XXX","X","X","X","live","175",""
"NWT","itex",2009,2009-08-10,3,40,"XXW","X","X","W","litter","136.5",""
"NWT","itex",2009,2009-08-10,3,40,"XXW","X","X","W","live","292",""
"NWT","itex",2009,2009-08-10,3,41,"PXX","P","X","X","litter","83.5",""
"NWT","itex",2009,2009-08-10,3,41,"PXX","P","X","X","live","232.5",""
"NWT","itex",2009,2009-08-10,3,42,"PNW","P","N","W","litter","93.75",""
"NWT","itex",2009,2009-08-10,3,42,"PNW","P","N","W","live","435.25",""
"NWT","itex",2009,2009-08-10,3,43,"PNX","P","N","X","litter","94.25",""
"NWT","itex",2009,2009-08-10,3,43,"PNX","P","N","X","live","463.5",""
"NWT","itex",2009,2009-08-10,3,44,"PXW","P","X","W","litter","18",""
"NWT","itex",2009,2009-08-10,3,44,"PXW","P","X","W","live","213.5",""
"NWT","itex",2009,2009-08-11,3,45,"PXW","P","X","W","litter","76.25",""
"NWT","itex",2009,2009-08-11,3,45,"PXW","P","X","W","live","364.25",""
"NWT","itex",2009,2009-08-11,3,46,"PXX","P","X","X","litter","69.75",""
"NWT","itex",2009,2009-08-11,3,46,"PXX","P","X","X","live","262",""
"NWT","itex",2009,2009-08-11,3,47,"PNX","P","N","X","litter","204.25",""
"NWT","itex",2009,2009-08-11,3,47,"PNX","P","N","X","live","479.75",""
"NWT","itex",2009,2009-08-11,3,48,"PNW","P","N","W","litter","137.25",""
"NWT","itex",2009,2009-08-11,3,48,"PNW","P","N","W","live","389.25",""
"NWT","itex",2010,2010-08-02,1,1,"XXW","X","X","W","litter","226.25",""
"NWT","itex",2010,2010-08-02,1,1,"XXW","X","X","W","live","349.5",""
"NWT","itex",2010,2010-08-02,1,2,"XNW","X","N","W","litter","145.75",""
"NWT","itex",2010,2010-08-02,1,2,"XNW","X","N","W","live","383.25",""
"NWT","itex",2010,2010-08-02,1,3,"XNW","X","N","W","litter","276",""
"NWT","itex",2010,2010-08-02,1,3,"XNW","X","N","W","live","473.25",""
