Lake,Year,DOY,BGA_HYLB,Manual_Chl,DO_Sat,pH
L,2011,220,NA,2.94864,82.97110941463205,6.291511601548611
L,2011,221,NA,5.23351,82.15355057256613,6.272655992420139
L,2011,222,NA,4.00385,81.96874100227426,6.269911494392361
L,2011,223,NA,3.4805,85.00041187971766,6.346054194170139
L,2011,224,NA,4.59528,89.0549198086643,6.420213084628473
L,2011,225,NA,3.48476,90.73248254338094,6.446119203034722
L,2011,226,NA,4.33148,90.30773733763029,6.427752734857639
L,2011,227,NA,3.68048,93.94955234630132,6.486189438899306
L,2011,228,NA,3.34434,95.94933842201822,6.485495752454861
L,2011,229,NA,3.4805,95.37900474988888,6.438448415232639
L,2011,230,NA,3.76558,92.68271900555634,6.519741187902778
L,2011,231,NA,4.45487,87.31411144763115,6.5900694444444445
L,2011,232,NA,5.03779,88.4278006449163,6.601597222222222
L,2011,233,NA,5.0463,89.49665759038253,6.605486111111111
L,2011,234,NA,5.21224,90.06901687879287,6.602777777777778
L,2011,235,NA,5.46753,90.84619995165286,6.579270833333333
L,2011,236,NA,4.46338,91.29734735330628,6.536666666666667
L,2011,237,NA,3.98258,90.16128843638396,6.359297472696181
L,2011,238,NA,4.57826,89.47624779023776,6.207790000649306
L,2011,239,NA,3.39966,89.8123049709372,6.240376533232639
L,2011,240,NA,2.46784,88.30827030293706,6.219212244059028
L,2011,241,NA,2.42529,87.42599593214203,6.184019194684028
L,2011,242,NA,2.88907,87.96568646422365,6.179449754899306
L,2011,243,NA,3.59113,86.11383718413201,6.144845651743055
L,2011,244,NA,3.09331,84.48101165899661,6.097324934371528
L,2011,245,NA,3.54007,87.51579095018492,6.130548887152777
L,2011,246,NA,3.51879,86.4280158254282,6.1381482695869565
L,2013,137,NA,NA,103.932190956807,6.35451683934233
L,2013,138,NA,NA,103.730044921532,6.45824500320549
L,2013,139,NA,NA,104.433090935997,6.68844742598381
L,2013,140,NA,NA,109.361540016257,6.64094875208753
L,2013,141,NA,NA,105.858056147986,6.58883928188897
L,2013,142,NA,NA,95.4762294538759,6.6185558200179
L,2013,143,NA,NA,96.8331848785852,6.64958968602656
L,2013,144,NA,3.745475445,98.1558943919034,6.59080264394963
L,2013,145,174.600733678513,NA,100.320843984309,6.53982933934233
L,2013,146,186.478905874868,NA,100.379792832165,6.50295433934233
L,2013,147,160.434770527993,1.751687982,99.4108981179381,6.50066520870876
L,2013,148,141.078235659047,2.141552024,97.6178482945435,6.50820207357792
L,2013,149,152.045326913709,11.98771606,97.5183723600789,6.4716323808581
L,2013,150,156.340277777778,1.946677454,102.706631188342,6.54139183934233
L,2013,151,162.520636524225,1.208716414,101.280210023641,6.55960375513406
L,2013,152,163.258499433722,1.510794978,95.1424452522481,6.49594045045344
L,2013,153,249.321968988093,6.319233067,95.9563478558461,6.50257239489788
L,2013,154,161.50770460956,1.810977651,97.8097147259208,6.54785017267566
L,2013,155,138.894743195628,2.302472918,96.8258136931904,6.54373156087215
L,2013,156,172.014025063382,3.405881228,94.962147796605,6.52816267267566
L,2013,157,176.871527777778,3.096563809,95.0210049486991,6.54291961712011
L,2013,158,156.797247929369,3.105238945,97.0311066546802,6.55118350600899
L,2013,159,156.52932696819,1.801555649,99.1657614605376,6.5361643621978
L,2013,160,164.4375,3.330217959,99.5213569399205,6.53410017267566
L,2013,161,182.894547749712,2.457935944,100.115964374193,6.57114878378677
L,2013,162,323.875251506787,1.77403651,103.49612867879,6.60088279197176
L,2013,163,170.066657009875,2.163613296,100.965071840696,6.57041961712011
L,2013,164,169.2536606326,2.03572686,100.572173952114,6.57259415881487
L,2013,165,205.973770556867,1.618918191,99.8803484948716,6.56923906156455
L,2013,166,154.125,2.953912407,99.058135249652,6.55778072823122
L,2013,167,260.186341889772,2.158385235,96.9948431485262,6.4947946171201
L,2013,168,165.581683782198,2.662404869,96.9073494606246,6.5314934582617
L,2013,169,212.746441573528,1.942081356,96.6460124767463,6.42429286567765
L,2013,170,143.050291627068,2.033658616,97.2305189893774,6.38489878378677
L,2013,171,116.795138888889,1.586688052,96.0230108644614,6.39965572823122
L,2013,172,138.934931798144,2.871125186,92.9721742612086,6.38298906156455
L,2013,173,129.329790823867,2.449375711,90.7907710151271,6.32989878378677
L,2013,174,143.212114504445,1.73244182,93.6545333148273,6.35552378378677
L,2013,175,117.173687084391,1.787652452,94.0900971671422,6.34559322823122
L,2013,176,106.586805555556,2.285122646,93.3620722823991,6.31882239489788
L,2013,177,110.923403653801,1.260020362,92.3604666000732,6.29889561960251
L,2013,178,119.626342607522,1.630982949,88.3588246661063,6.29930850600899
L,2013,179,137.855753183555,2.282077731,88.821351566594,6.3173987837867696
L,2013,180,152.995349099487,2.354753536,89.2551547374218,6.32132239489788
L,2013,181,156.048291904226,1.67682903,91.0758129938903,6.34208628378677
L,2013,182,146.71808673893,1.717274696,93.4720709110409,6.38154299513928
L,2013,183,138.523288356652,2.35211078,91.885454397464,6.35562795045344
L,2013,184,129.257445526098,1.753095537,92.0522941096052,6.35354461712011
L,2013,185,124.481396938344,1.716929988,92.3232381099321,6.36146128378677
L,2013,186,136.563117496147,2.476205435,92.5323675508699,6.38833628378677
L,2013,187,142.197716969749,2.03480764,91.742274724854,6.40416961712011
L,2013,188,181.547451875673,2.29649799,91.8965239043841,6.43552378378677
L,2013,189,150.85292010367,2.363083965,91.0756660808571,6.36701683934233
L,2013,190,162.647382443977,2.986717059,88.0181924202308,6.30184322823122
L,2013,191,176.156884069619,2.938860185,87.0369913785129,6.30650877930093
L,2013,192,147.449764495756,1.909391607,87.3978301529708,6.31396128378677
L,2013,193,146.90625,1.710035841,89.6292896682409,6.33357933934233
L,2013,194,154.267170072888,1.446219796,89.2118286334887,6.35323211712011
L,2013,195,178.739424278532,2.195268924,89.5670579194429,6.35225989489788
L,2013,196,209.362504235064,1.72169844,88.6625818878228,6.29949559078
L,2013,197,203.153346655328,1.453286297,89.9893305813193,6.34951388888889
L,2013,198,173.34285675468,1.673152152,88.5334046726415,6.36048611111111
L,2013,199,189.593452652641,2.182055141,88.2076199097679,6.35809027777778
L,2013,200,204.896149262055,2.704516621,88.6460032684663,6.40416666666667
L,2013,201,158.466063542053,2.798162124,87.8081476658292,6.4078125
L,2013,202,158.271290081415,2.690038911,87.2388818404612,6.39631944444444
L,2013,203,165.763618171839,2.726175734,87.1218756872074,6.37298149130853
L,2013,204,182.700506402952,3.62046157,87.9149630369186,6.3696875
L,2013,205,160.452319789834,2.389281725,88.53653674098,6.36878472222222
L,2013,206,166.034722222222,2.540263556,88.2153608132953,6.35565972222222
L,2013,207,185.192374727233,3.432366245,88.1119632662222,6.3578125
L,2013,208,199.746344588327,3.834122692,87.4774967079564,6.34402777777778
L,2013,209,217.685800875581,4.076854135,87.588546215857,6.32625
L,2013,210,194.94112308588,3.046523789,89.0216527497485,6.33001748844341
L,2013,211,204.149769762774,4.056458949,91.4981985131573,6.34954861111111
L,2013,212,200.755433419599,4.185724215,93.2836694712009,6.40736111111111
L,2013,213,187.732238315213,1.96046575,94.6411119862358,6.42739583333333
L,2013,214,190.725468175387,2.567840146,94.6966625113507,6.43760416666667
L,2013,215,214.84008884008,1.913585546,93.6830164595089,6.43621527777778
L,2013,216,159.415332634095,1.54831063,92.6379135523075,6.41371527777778
L,2013,217,174.055555555556,3.287014635,91.4310039504568,6.40944444444444
L,2013,218,158.927401269795,3.329183837,91.5153212203997,6.39842852243703
L,2013,219,178.042991154645,4.72668499,94.1550185525592,6.41972222222222
L,2013,220,146.464616931283,2.302875076,92.1874315212499,6.41194444444444
L,2013,221,177.929958307411,2.217789806,92.0265110731656,6.41864583333333
L,2013,222,153.760682584945,2.063992865,91.501719319115,6.40774305555556
L,2013,223,138.399750052206,1.647299098,91.8429461710483,6.36642134489465
L,2013,224,150.949028401558,1.130410388,93.941375497331,6.44798611111111
L,2013,225,155.167733876718,1.670222139,92.0749164728007,6.45597222222222
L,2013,226,144.111533811658,1.979999167,91.8217555806192,6.45909722222222
L,2013,227,143.325255269895,1.795006209,92.1768913146415,6.458125
L,2013,228,138.320200386377,1.385608749,93.4839311297007,6.47427083333333
L,2013,229,143.975718085786,1.015220673,94.6747160042793,6.4665314025327
L,2013,230,145.086100787606,1.603521262,95.0586929477335,6.48503472222222
L,2013,231,160.063736713323,1.939553502,95.0272098473157,6.49354166666667
L,2013,232,138.495382440156,1.256630739,95.7668193275089,6.52940972222222
L,2013,233,129.670138888889,1.532224286,95.5659569965243,6.54159722222222
L,2013,234,150.08818207954,1.437314855,93.4800327509067,6.48706118603423
L,2013,235,148.638888888889,1.28983755,92.2142968436948,6.45347222222222
L,2013,236,161.041666666667,1.429731293,93.6673963434877,6.48538194444444
L,2013,237,167.286889997051,1.412898083,93.5462163278975,6.49399305555556
L,2013,238,182.913985701186,2.731633601,94.0152237431754,6.53149305555556
L,2013,239,168.972222222222,2.289144233,93.9030683638491,6.53399305555556
L,2013,240,161.982638888889,0.895262507,92.7599158226694,6.50173611111111
L,2013,241,172.009944514243,2.234680467,90.933860244191,6.46291666666667
L,2013,242,175.511151994519,2.98723412,88.1794067081014,6.42743055555556
L,2013,243,172.961869443593,1.923352255,86.4721989461944,6.39069444444444
L,2013,244,184.948986909735,2.789372086,86.4047232367281,6.40958333333333
L,2013,245,206.343303015998,NA,82.9298721393551,6.37305597049291
L,2013,246,204.526527551241,NA,82.8616546459901,6.36506944444444
L,2013,247,220.901123969614,NA,85.0722301695505,6.38979166666667
L,2013,248,198.920138888889,NA,84.6386638741379,6.39142361111111
L,2013,249,199.502810248453,NA,85.6718924150827,6.40069444444444
L,2014,136,244.772385112042,NA,96.2174032975349,6.42430555555556
L,2014,137,234.895631510927,NA,99.2103598068645,6.46184027777778
L,2014,138,252.10250529324,NA,102.990664999537,6.50638888888889
L,2014,139,357.784722222222,NA,107.689412332681,6.58482638888889
L,2014,140,383.505053798665,NA,106.124692074212,6.67222222222222
L,2014,141,295.013831841019,NA,108.830378012956,6.71975694444444
L,2014,142,257.138964134459,NA,108.601823751887,6.7271875
L,2014,143,164.614487094071,NA,108.892863279808,6.68788194444444
L,2014,144,123.680592513206,NA,109.520083679666,6.63270833333333
L,2014,145,110.922650787585,NA,108.539919868324,6.53114583333333
L,2014,146,103.830599559322,2.16131524725275,107.298447308798,6.50618055555556
L,2014,147,117.117368244253,2.76886199737762,100.972584732505,6.40333333333333
L,2014,148,104.556158849067,2.14606194586663,101.012634420972,6.40934027777778
L,2014,149,73.8929372979469,0.716784517565768,100.403232841867,6.39197916666667
L,2014,150,72.4526139577356,1.4201082121004,99.3898096764566,6.34597222222222
L,2014,151,74.5514691575626,1.06609373699217,97.9836739076157,6.33329861111111
L,2014,152,82.1423611111111,1.57824272082085,95.8953601134292,6.359375
L,2014,153,98.2342483686282,2.15657552083333,94.0259117644463,6.36163194444444
L,2014,154,106.876892809406,1.92260538940226,95.4214740248762,6.37854166666667
L,2014,155,121.369395542615,1.78360214004745,97.2472999484145,6.42361111111111
L,2014,156,139.907601104003,1.08134703837829,97.2580374841267,6.41739583333333
L,2014,157,92.3575212489575,1.96793440934066,97.0749692428743,6.38704861111111
L,2014,158,89.2395833333333,1.72732866092241,95.8977255761172,6.3803125
L,2014,159,126.118197457424,1.84504622981186,96.684551761282,6.39489583333333
L,2014,160,110.541666666667,1.88985818868631,96.2070973038829,6.39555555555556
L,2014,161,110.484117162276,1.8592654090701,97.3790554954041,6.40472222222222
L,2014,162,97.7921142289588,1.33961903981435,98.8510616318935,6.41690972222222
L,2014,163,106.658074804321,1.80997225430819,97.7471927545888,6.39225694444444
L,2014,164,171.430676323767,2.16303878413253,99.3315372457316,6.42638888888889
L,2014,165,114.704861111111,2.24482060907842,99.0152664492302,6.46711805555556
L,2014,166,132.586531782743,2.00636928175991,98.7640520812435,6.46402777777778
L,2014,167,131.350744301477,2.08461785610223,100.140849546863,6.47930555555556
L,2014,168,120.808511168829,1.50033885385448,100.265720314616,6.46322916666667
L,2014,169,128.504245994437,1.64994185501998,96.9465237483868,6.40907733093919
L,2014,170,117.242019365459,1.94794138153513,97.8071058729369,6.41569444444444
L,2014,171,109.084483083509,1.93354984858891,95.7414578571207,6.41499473122734
L,2014,172,126.486111111111,2.13063629079254,95.1136919974788,6.40725694444444
L,2014,173,130.135464102612,1.57048680486181,96.5611646876887,6.41496527777778
L,2014,174,127.673746764878,2.08901287514569,96.1878859289857,6.36281441885645
L,2014,175,108.979805345861,2.27679221819847,95.6202444180771,6.35246527777778
L,2014,176,117.996527777778,2.248267682838,93.5513479576039,6.3877922234662
L,2014,177,111.85681409648,1.77903476731602,94.2070796917564,6.38392361111111
L,2014,178,111.377318573851,1.48784321147602,96.166849372414,6.400625
L,2014,179,129.085328488626,1.51102478250916,97.4645512914885,6.41447916666667
L,2014,180,137.237059751061,2.47775661838162,95.0377613960338,6.36125
L,2014,181,219.229234801012,2.26162509365634,93.8519563697601,6.35065972222222
L,2014,182,153.137408350104,2.31091824841825,91.827532150183,6.34701388888889
L,2014,183,147.323903212935,2.44423382606976,91.7136053637174,6.3140625
L,2014,184,157.469738079491,1.75102729301948,92.3708745969603,6.32802083333333
L,2014,185,131.396828181919,2.04075384251166,92.3367925239021,6.3215625
L,2014,186,179.616207450223,2.42691228042791,94.2630804840839,6.31697916666667
L,2014,187,124.263888888889,1.95190551635864,92.4891699501235,6.29954861111111
L,2014,188,199.086845434246,2.08634139298202,93.191232945184,6.28236111111111
L,2014,189,155.16977231762,3.70379457781802,90.6419592947337,6.26586805555556
L,2014,190,187.573523059985,2.64554293362887,90.7883083161417,6.24517361111111
L,2014,191,163.816235787067,2.63571877341409,91.1556984737877,6.24722222222222
L,2014,192,155.086805555556,3.01334570377539,92.7011370808457,6.23857638888889
L,2014,193,135.96875,2.31272796214202,91.361244201463,6.19364583333333
L,2014,194,235.15129167497,2.37917030885781,92.5194338112598,6.16722222222222
L,2014,195,132.503472222222,2.17320765172328,89.7971092095344,6.10854166666667
L,2014,196,136.342188272846,2.56246845602314,90.5190037129274,6.03059027777778
L,2014,197,129.933418580366,2.17932620764652,91.5257740239526,6.04013888888889
L,2014,198,126.897080564101,1.78601509167915,91.7108238728047,6.01899305555556
L,2014,199,173.157132366523,1.88330874854312,93.6522101494929,6.02475694444444
L,2014,200,155.440171470104,1.8131607975358,94.7489475811751,6.04204861111111
L,2014,201,115.232444925744,2.1018532249001,93.9613962161442,6.04468218618582
L,2014,202,111.15699890116,1.81505668810356,94.732635192757,6.13070759485108
L,2014,203,118.867323151957,2.34952547452547,95.0745865577766,6.15421453929552
L,2014,204,126.062213783813,1.83953091179654,92.9575555799173,6.12959648373997
L,2014,205,136.915686001772,2.27886046245421,91.7778560466007,6.11029092818441
L,2014,206,133.711717829312,2.65467767909174,92.834354084901,6.1263673170733
L,2014,207,227.227212253327,2.49550904824342,92.5440051758434,6.10470065040663
L,2014,208,154.767330827482,3.10090137726857,91.2991037260709,6.10291134234523
L,2014,209,156.975889350092,2.68949312406344,91.0721035468711,6.09970065040663
L,2014,210,140.227094813351,2.51283059388528,92.5450630513409,6.13095065040663
L,2014,211,134.139759312278,1.7848086158633,92.8347065863809,6.1316798170733
L,2014,212,147.288187736615,1.81600463338745,92.9972205441988,6.12015203929552
L,2014,213,125.26996818112,2.20414513871545,93.2382688219065,6.13126315040663
L,2014,214,125.234272123109,1.5988389865343,92.7887042520012,6.11966592818441
L,2014,215,131.1184445918,1.57410623230936,94.1022143982173,6.12786037262885
L,2014,216,134.740555684153,1.67372666396104,93.1069321464353,6.1276173170733
L,2014,217,143.519969831256,1.62831146717865,91.8830995593275,6.10834648373997
L,2014,218,139.690681055079,1.3958063420954,91.5677447179993,6.0866798170733
L,2014,219,136.653695726423,1.57927684294872,91.7109732724239,6.0760548170733
L,2014,220,134.016841377131,1.24447980405012,92.313979955185,6.08643676151774
L,2014,221,133.559733634367,1.62650175345488,91.9918940620651,6.08171453929552
L,2014,222,132.508011363988,1.79221982444639,91.90318990342,6.07661037262885
L,2014,223,156.371815429366,2.648086012295,90.0842038130423,6.0351173170733
L,2014,224,144.223445423828,2.31643184289669,92.065945199981,5.96522148373997
L,2014,225,146.886397394463,1.81953788399101,97.0733007912492,5.96994773824932
L,2014,226,140.621150077968,1.65855953941891,97.3870063707446,5.98301874384968
L,2014,227,142.209753057868,1.94139194139194,97.5723312059029,5.99281041051635
L,2014,228,158.539713016725,2.14752695221445,98.84525609917,6.00301874384968
L,2014,229,156.497947502312,2.39183830492424,97.3024308946043,6.01472013273857
L,2014,230,171.320864168979,2.84125054632867,96.5282709475082,6.0102409660719
L,2014,231,177.779197502312,2.95328130528326,96.0545638201965,6.00440763273857
L,2014,232,168.127024639136,2.90954741872711,95.391278790961593,5.98765723252417
L,2014,233,172.412469802057,2.90846848464036,95.6162071610856,5.98801874384968
L,2014,234,175.979827332012,6.35993726325758,96.5858556765853,6.00416457718301
L,2014,235,190.51584446584,2.29385523330836,98.125989366519,6.03013679940524
L,2014,236,181.787017877247,3.35124510905761,100.163633153945,6.03753263273857
L,2014,237,185.015308613423,3.13287298638861,101.725820933446,6.09739374384968
L,2014,238,181.758364168979,2.52877331002331,100.389599166881,6.09121318829413
L,2014,239,181.220169724535,2.46862187291875,97.6413076446671,6.04013679940524
L,2014,240,169.719424617954,1.88020638215951,95.6111266118333,6.00333124384968
L,2014,241,187.397253057868,1.94940638788295,95.2528495017878,6.00864374384968
L,2014,242,205.480586391201,NA,91.9419985419647,5.95062291051635
L,2014,243,196.185447502312,NA,91.7749173373274,5.92176874384968
L,2014,244,199.621413169215,NA,94.2123453621767,5.96732429940524
L,2014,245,171.067391946757,NA,92.8161779255859,5.95603957718301
L,2014,246,169.622947502312,NA,93.9682377106787,5.96989374384968
L,2014,247,180.890308613423,NA,92.7197155574748,5.96298402162746
L,2014,248,183.33822528009,NA,90.7321789214826,5.93548402162746
L,2014,249,179.03292153291,NA,90.6579600604954,5.92531041051635
L,2014,250,169.253064535326,NA,91.1822490242095,5.93590068829413
L,2015,129,170.828072966079,NA,98.8058401978214,6.93973289201623
L,2015,130,162.050096051102,NA,99.2783101547552,6.97019734716325
L,2015,131,153.086805555556,NA,98.7145392445212,6.98460706938547
L,2015,132,164.765458863996,NA,98.2322133917894,6.99054456938547
L,2015,133,155.044520193821,NA,99.9617632484095,7.0491904027188
L,2015,134,145.833234302354,NA,99.90971669508,7.04332234716325
L,2015,135,143.15625,NA,98.6060290438674,7.02665568049658
L,2015,136,143.09375,NA,100.279195952348,7.03113484716325
L,2015,137,142.735415066402,NA,103.57514973042,7.02384318049658
L,2015,138,157.097222222222,NA,100.683836729,6.97689873605214
L,2015,139,229.578038924795,NA,98.0722607396361,7.00405151382992
L,2015,140,152.274713918289,NA,99.2818429970122,7.05401679160769
L,2015,141,203.463411463607,NA,101.183744166994,7.04280151382992
L,2015,142,203.123337401299,NA,102.46811683338,7.02974595827436
L,2015,143,237.593208438511,NA,103.441035958242,7.0454404027188
L,2015,144,146.701910327138,NA,102.97418255146,7.01203762494103
L,2015,145,164.267361111111,1.91511200384333,101.604058258263,7.00405151382992
L,2015,146,151.086805555556,1.99701529940664,99.8989222764525,6.9626279027188
L,2015,147,232.153117213644,2.14971126932026,101.044849448333,6.96415568049658
L,2015,148,177.266162842625,1.9832239905868,101.376752843521,6.94696818049658
L,2015,149,141.954861111111,2.88330317246662,100.039620353606,6.9304404027188
L,2015,150,303.652783072431,2.59818686515699,97.4056329540834,6.89665568049658
L,2015,151,224.003937800435,2.01497309118135,97.3687184088743,6.95960706938547
L,2015,152,228.409292913719,2.27514367659526,96.9980566946158,6.95960706938547
L,2015,153,161.333800347544,2.02693765372067,99.5659394598633,6.95985012494103
L,2015,154,136.741362189388,2.2400914183428,98.3688733772156,6.92800984716325
L,2015,155,158.282791278092,2.02528372889906,98.8076466262149,6.91905151382992
L,2015,156,326.904031078128,2.40072466340506,98.6258744539728,6.86078762494103
L,2015,157,237.698509808779,2.0375743844174,98.982529781116,6.87019734716325
L,2015,158,163.419676659098,1.88298676242648,97.4035761580082,6.85776679160769
L,2015,159,179.835481435706,2.05422936827115,96.9392798107827,6.85235012494103
L,2015,160,142.271600279469,1.68708151779976,96.5233127460882,6.85432929160769
L,2015,161,204.587929854951,1.82313345182535,97.906116169058,6.81745867456159
L,2015,162,127.6875,1.80391195200727,96.1227936580207,6.80412095827436
L,2015,163,134.92331025451,1.6277279036341,96.412781429962,6.80311401382992
L,2015,164,139.327287395471,1.93132985106575,95.7314715440227,6.79667898265712
L,2015,165,138.512483018428,2.05429818405569,94.3142789006781,6.77745429160769
L,2015,166,130.534722222222,2.36990379390426,94.0225086094325,6.77196818049658
L,2015,167,140.525657751486,1.59332001136415,94.5883271275487,6.76453762494103
L,2015,168,156.214555411075,2.49089680107888,93.8643651053038,6.75974595827436
L,2015,169,150.833255262341,1.66581118439652,93.6214747711834,6.74123901382992
L,2015,170,175.695154896808,1.73118617970942,94.6191120792132,6.73752373605214
L,2015,171,148.479166666667,2.16081563455284,94.0590080256281,6.72366956938547
L,2015,172,183.475872260495,2.51122873742021,94.120109613474,6.74648206938547
L,2015,173,155.96932346621,2.157453045081,94.8432854283429,6.77290568049658
L,2015,174,154.144731334807,2.07112051538549,95.2173590992114,6.78151679160769
L,2015,175,129.045901822453,1.64383705319685,96.0887708375092,6.79113484716325
L,2015,176,138.8088023688,2.27583183444066,95.3415819798232,6.77342651382992
L,2015,177,135.191206565047,1.94177812035255,95.8085309149903,6.76290568049658
L,2015,178,124.670250580235,1.66635858268263,96.2784969741457,6.76408623605214
L,2015,179,118.410448737145,1.73642556330507,95.9993286114069,6.75884318049658
L,2015,180,122.503472222222,2.03353771305609,94.6864422479851,6.7560654027188
L,2015,181,185.545596881696,2.26641892991217,91.6961952627756,6.6960654027188
L,2015,182,132.015546880012,1.94822490816785,92.1507859158639,6.71634318049658
L,2015,183,183.21929485451,2.53073019236176,92.2903820402125,6.72307929160769
L,2015,184,119.892361111111,1.86827035050311,92.4742121776249,6.70991956938547
L,2015,185,125.452420617403,1.71492063063635,92.5304113505288,6.71790568049658
L,2015,186,145.977096146277,1.59660440108082,94.4888367133976,6.70186401382992
L,2015,187,139.16019765498,2.07088591612002,91.3953693306392,6.68217651382992
L,2015,188,205.351008677008,2.18153856966997,89.6438372324908,6.55971123605214
L,2015,189,160.078978016604,2.08572588365654,90.1728871307858,6.58804456938547
L,2015,190,130.186011262431,2.21120521078463,91.5373312650166,6.63363530022836
