"","source","Date","Replicate","Treatment","Biomass"
"24","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/1999","6","Camb Nenrich S    ","551.022"
"25","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","1","Cenrich Namb M    ","690.4292"
"26","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","1","Cenrich Namb S    ","228.468"
"27","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","1","Cenrich Nenrich M    ","715.9546154"
"28","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","1","Cenrich Nenrich S    ","463.946"
"29","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","2","Camb Namb M    ","670.064"
"30","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","2","Camb Namb S    ","260.972"
"31","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","2","Camb Nenrich M    ","636.84"
"32","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","2","Camb Nenrich S    ","253.2716667"
"33","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","3","Cenrich Namb M    ","706.8561538"
"34","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","3","Cenrich Namb S    ","160.634"
"35","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","3","Cenrich Nenrich M    ","681.5373077"
"36","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","3","Cenrich Nenrich S    ","292.664"
"37","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","4","Camb Namb M    ","707.5976923"
"38","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","4","Camb Namb S    ","353.4683333"
"39","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","4","Camb Nenrich M    ","737.8884"
"40","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","4","Camb Nenrich S    ","329.906"
"41","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","5","Cenrich Namb M    ","735.3980769"
"42","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","5","Cenrich Namb S    ","369.778"
"43","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","5","Cenrich Nenrich M    ","770.2356"
"44","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","5","Cenrich Nenrich S    ","455.466"
"45","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","6","Camb Namb M    ","746.7003846"
"46","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","6","Camb Namb S    ","277.7"
"47","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","6","Camb Nenrich M    ","785.9453846"
"48","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2002","6","Camb Nenrich S    ","489.322"
"49","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","1","Cenrich Namb M    ","525.4845833"
"50","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","1","Cenrich Namb S    ","482.72"
"51","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","1","Cenrich Nenrich M    ","540.6315385"
"52","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","1","Cenrich Nenrich S    ","580.51"
"53","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","2","Camb Namb M    ","372.5366667"
"54","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","2","Camb Namb S    ","366.624"
"55","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","2","Camb Nenrich M    ","427.5073077"
"56","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","2","Camb Nenrich S    ","387.2266667"
"57","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","3","Cenrich Namb M    ","471.7657692"
"58","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","3","Cenrich Namb S    ","583.54"
"59","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","3","Cenrich Nenrich M    ","529.8430769"
"60","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","3","Cenrich Nenrich S    ","551.454"
"61","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","4","Camb Namb M    ","375.9503846"
"62","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","4","Camb Namb S    ","447.2266667"
"63","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","4","Camb Nenrich M    ","416.8233333"
"64","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","4","Camb Nenrich S    ","422.31"
"65","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","5","Cenrich Namb M    ","462.5836"
"66","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","5","Cenrich Namb S    ","347.652"
"67","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","5","Cenrich Nenrich M    ","908.3504"
"68","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","5","Cenrich Nenrich S    ","533.062"
"69","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","6","Camb Namb M    ","400.1396154"
"70","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","6","Camb Namb S    ","402.9883333"
"71","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","6","Camb Nenrich M    ","946.2392"
"72","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2004","6","Camb Nenrich S    ","511.462"
"73","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","1","Cenrich Namb M    ","257.2775"
"74","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","1","Cenrich Namb S    ","204.092"
"75","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","1","Cenrich Nenrich M    ","376.6046154"
"76","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","1","Cenrich Nenrich S    ","286.9"
"77","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","2","Camb Namb M    ","262.0758333"
"78","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","2","Camb Namb S    ","234.96"
"79","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","2","Camb Nenrich M    ","257.0988"
"80","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","2","Camb Nenrich S    ","369.75"
"81","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","3","Cenrich Namb M    ","344.9554167"
"82","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","3","Cenrich Namb S    ","166.96"
"83","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","3","Cenrich Nenrich M    ","335.1356"
"84","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","3","Cenrich Nenrich S    ","396.84"
"85","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","4","Camb Namb M    ","274.8192308"
"86","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","4","Camb Namb S    ","339.485"
"87","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","4","Camb Nenrich M    ","294.9978261"
"88","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","4","Camb Nenrich S    ","314.52"
"89","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","5","Cenrich Namb M    ","347.7408"
"90","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","5","Cenrich Namb S    ","318.82"
"91","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","5","Cenrich Nenrich M    ","337.9454545"
"92","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","5","Cenrich Nenrich S    ","378.32"
"93","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","6","Camb Namb M    ","262.2807692"
"94","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","6","Camb Namb S    ","272.5566667"
"95","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","6","Camb Nenrich M    ","292.95"
"96","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2005","6","Camb Nenrich S    ","273.12"
"97","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","1","Cenrich Namb M    ","553.728"
"98","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","1","Cenrich Namb S    ","624.2"
"99","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","1","Cenrich Nenrich M    ","678.4076923"
"100","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","1","Cenrich Nenrich S    ","652.12"
"101","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","2","Camb Namb M    ","524.2541667"
"102","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","2","Camb Namb S    ","335.28"
"103","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","2","Camb Nenrich M    ","596.732"
"104","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","2","Camb Nenrich S    ","421.5666667"
"105","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","3","Cenrich Namb M    ","627.2003846"
"106","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","3","Cenrich Namb S    ","405.92"
"107","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","3","Cenrich Nenrich M    ","679.2230769"
"108","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","3","Cenrich Nenrich S    ","743.86"
"109","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","4","Camb Namb M    ","524.2164"
"110","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","4","Camb Namb S    ","624.9666667"
"111","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","4","Camb Nenrich M    ","502.4288"
"112","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","4","Camb Nenrich S    ","408.42"
"113","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","5","Cenrich Namb M    ","623.0461538"
"114","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","5","Cenrich Namb S    ","652.602"
"115","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","5","Cenrich Nenrich M    ","801.9913043"
"116","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","5","Cenrich Nenrich S    ","574.24"
"117","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","6","Camb Namb M    ","554.892"
"118","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","6","Camb Namb S    ","439.985"
"119","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","6","Camb Nenrich M    ","655.26"
"120","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2006","6","Camb Nenrich S    ","1032.362"
"121","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","1","Cenrich Namb M    ","301.1914286"
"122","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","1","Cenrich Namb M H2Oamb  ","714.4"
"123","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","1","Cenrich Namb M H2Oneg  ","463.5"
"124","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","1","Cenrich Namb S    ","412.44"
"125","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","1","Cenrich Nenrich M    ","359.8318182"
"126","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","1","Cenrich Nenrich M H2Oamb  ","512.05"
"127","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","1","Cenrich Nenrich M H2Oneg  ","744.7"
"128","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","1","Cenrich Nenrich S    ","498.76"
"129","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","2","Camb Namb M    ","216.42"
"130","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","2","Camb Namb M H2Oamb  ","411.4333333"
"131","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","2","Camb Namb M H2Oneg  ","374.85"
"132","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","2","Camb Namb S    ","245.278"
"133","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","2","Camb Nenrich M    ","283.043913"
"134","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","2","Camb Nenrich M H2Oamb  ","491.9"
"135","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","2","Camb Nenrich M H2Oneg  ","246.55"
"136","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","2","Camb Nenrich S    ","279.05"
"137","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","3","Cenrich Namb M    ","324.5381818"
"138","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","3","Cenrich Namb M H2Oamb  ","427.85"
"139","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","3","Cenrich Namb M H2Oneg  ","453.65"
"140","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","3","Cenrich Namb S    ","196.1"
"141","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","3","Cenrich Nenrich M    ","338.4231818"
"142","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","3","Cenrich Nenrich M H2Oamb  ","208.85"
"143","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","3","Cenrich Nenrich M H2Oneg  ","541.9"
"144","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","3","Cenrich Nenrich S    ","411.16"
"145","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","4","Camb Namb M    ","277.2521739"
"146","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","4","Camb Namb M H2Oamb  ","434.6"
"147","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","4","Camb Namb M H2Oneg  ","219.15"
"148","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","4","Camb Namb S    ","254.7166667"
"149","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","4","Camb Nenrich M    ","283.924"
"150","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","4","Camb Nenrich M H2Oamb  ","350.0666667"
"151","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","4","Camb Nenrich M H2Oneg  ","254.05"
"152","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","4","Camb Nenrich S    ","177"
"153","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","5","Cenrich Namb M    ","314.7045455"
"154","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","5","Cenrich Namb M H2Oamb  ","441.55"
"155","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","5","Cenrich Namb M H2Oneg  ","518.6"
"156","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","5","Cenrich Namb S    ","263.1"
"157","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","5","Cenrich Nenrich M    ","293.5128571"
"158","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","5","Cenrich Nenrich M H2Oamb  ","442.95"
"159","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","5","Cenrich Nenrich M H2Oneg  ","300.3"
"160","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","5","Cenrich Nenrich S    ","343.282"
"161","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","6","Camb Namb M    ","268.5318182"
"162","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","6","Camb Namb M H2Oamb  ","202.2"
"163","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","6","Camb Namb M H2Oneg  ","300.1"
"164","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","6","Camb Namb S    ","270.9833333"
"165","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","6","Camb Nenrich M    ","266.1272727"
"166","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","6","Camb Nenrich M H2Oamb  ","558.85"
"167","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","6","Camb Nenrich M H2Oneg  ","434.75"
"168","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2007","6","Camb Nenrich S    ","295.1"
"169","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","1","Cenrich Namb M    ","301.6171429"
"170","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","1","Cenrich Namb M H2Oamb  ","680.09"
"171","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","1","Cenrich Namb M H2Oneg  ","508.55"
"172","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","1","Cenrich Namb S    ","279.078"
"173","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","1","Cenrich Nenrich M    ","334.9759091"
"174","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","1","Cenrich Nenrich M H2Oamb  ","843.55"
"175","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","1","Cenrich Nenrich M H2Oneg  ","598.65"
"176","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","1","Cenrich Nenrich S    ","231.38"
"177","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","2","Camb Namb M    ","231.98605"
"178","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","2","Camb Namb M H2Oamb  ","358.3"
"179","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","2","Camb Namb M H2Oneg  ","504.5"
"180","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","2","Camb Namb S    ","209.684"
"181","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","2","Camb Nenrich M    ","328.6352609"
"182","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","2","Camb Nenrich M H2Oamb  ","551.07"
"183","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","2","Camb Nenrich M H2Oneg  ","509.5"
"184","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","2","Camb Nenrich S    ","306.625"
"185","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","3","Cenrich Namb M    ","386.6118182"
"186","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","3","Cenrich Namb M H2Oamb  ","382.955"
"187","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","3","Cenrich Namb M H2Oneg  ","405.05"
"188","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","3","Cenrich Namb S    ","346.144"
"189","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","3","Cenrich Nenrich M    ","469.6918182"
"190","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","3","Cenrich Nenrich M H2Oamb  ","350.405"
"191","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","3","Cenrich Nenrich M H2Oneg  ","893.9"
"192","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","3","Cenrich Nenrich S    ","283.378"
"193","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","4","Camb Namb M    ","279.6947826"
"194","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","4","Camb Namb M H2Oamb  ","416"
"195","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","4","Camb Namb M H2Oneg  ","570.2"
"196","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","4","Camb Namb S    ","305.7066667"
"197","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","4","Camb Nenrich M    ","343.361"
"198","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","4","Camb Nenrich M H2Oamb  ","401.6"
"199","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","4","Camb Nenrich M H2Oneg  ","369.4"
"200","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","4","Camb Nenrich S    ","309.016"
"201","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","5","Cenrich Namb M    ","368.2304545"
"202","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","5","Cenrich Namb M H2Oamb  ","679.5"
"203","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","5","Cenrich Namb M H2Oneg  ","594.6"
"204","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","5","Cenrich Namb S    ","311.51"
"205","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","5","Cenrich Nenrich M    ","425.1257143"
"206","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","5","Cenrich Nenrich M H2Oamb  ","776.4"
"207","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","5","Cenrich Nenrich M H2Oneg  ","665.4"
"208","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","5","Cenrich Nenrich S    ","509.08"
"209","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","6","Camb Namb M    ","363.8540909"
"210","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","6","Camb Namb M H2Oamb  ","368.15"
"211","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","6","Camb Namb M H2Oneg  ","528.84"
"212","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","6","Camb Namb S    ","483.3333333"
"213","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","6","Camb Nenrich M    ","413.3431818"
"214","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","6","Camb Nenrich M H2Oamb  ","386.8"
"215","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","6","Camb Nenrich M H2Oneg  ","568.7"
"216","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2008","6","Camb Nenrich S    ","330.214"
"217","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","1","Cenrich Namb M    ","177.8142857"
"218","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","1","Cenrich Namb M H2Oamb  ","512.55"
"219","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","1","Cenrich Namb M H2Oneg  ","221.9"
"220","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","1","Cenrich Namb S    ","169.56"
"221","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","1","Cenrich Nenrich M    ","241.3881818"
"222","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","1","Cenrich Nenrich M H2Oamb  ","301.95"
"223","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","1","Cenrich Nenrich M H2Oneg  ","321.75"
"224","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","1","Cenrich Nenrich S    ","256.44"
"225","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","2","Camb Namb M    ","203.055"
"226","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","2","Camb Namb M H2Oamb  ","342.0333333"
"227","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","2","Camb Namb M H2Oneg  ","335.2"
"228","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","2","Camb Namb S    ","223"
"229","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","2","Camb Nenrich M    ","245.1917391"
"230","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","2","Camb Nenrich M H2Oamb  ","129"
"231","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","2","Camb Nenrich M H2Oneg  ","358.45"
"232","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","2","Camb Nenrich S    ","226.2"
"233","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","3","Cenrich Namb M    ","249.4668182"
"234","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","3","Cenrich Namb M H2Oamb  ","227.1"
"235","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","3","Cenrich Namb M H2Oneg  ","229.45"
"236","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","3","Cenrich Namb S    ","163.472"
"237","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","3","Cenrich Nenrich M    ","240.5363636"
"238","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","3","Cenrich Nenrich M H2Oamb  ","98.05"
"239","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","3","Cenrich Nenrich M H2Oneg  ","438.2"
"240","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","3","Cenrich Nenrich S    ","256.058"
"241","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","4","Camb Namb M    ","343.903913"
"242","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","4","Camb Namb M H2Oamb  ","620"
"243","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","4","Camb Namb M H2Oneg  ","630.25"
"244","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","4","Camb Namb S    ","424.1516667"
"245","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","4","Camb Nenrich M    ","192.3395"
"246","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","4","Camb Nenrich M H2Oamb  ","521.5333333"
"247","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","4","Camb Nenrich M H2Oneg  ","150.5"
"248","CDR_Biomass_1998-2021_gm2_processed.csv","6/1/2009","4","Camb Nenrich S    ","234.908"
